
Episode	Episode_Length	Episode_Reward	Training_Update_Count	Average_Training_Loss
1	28.0	4.0	0	0
2	37.0	2.0	34	0.07948414554052494
3	96.0	4.0	96	0.029982947766256984
4	37.0	3.0	37	0.023491887992398965
5	27.0	1.0	27	0.0408571966820293
6	56.0	1.0	56	0.02235832074490775
7	66.0	4.0	66	0.02040120519725888
8	66.0	3.0	66	0.015045325606920276
9	37.0	3.0	37	0.016371395942327137
10	17.0	2.0	17	0.014159202931777519
11	27.0	1.0	27	0.014847959115825317
12	58.0	2.0	58	0.021070625657087255
13	17.0	2.0	17	0.015166629982345244
14	27.0	1.0	27	0.013326502939755167
15	67.0	7.0	67	0.02426032909650856
16	105.0	9.0	105	0.031809224884602284
17	76.0	5.0	76	0.03821951785664025
18	88.0	8.0	88	0.0344562179684131
19	17.0	1.0	17	0.03718538965810748
20	57.0	5.0	57	0.027578220939623158
21	99.0	10.0	99	0.03484282895659256
22	17.0	3.0	17	0.05719817385954015
23	37.0	3.0	37	0.03723750162769009
24	67.0	1.0	67	0.03445235463276283
25	105.0	6.0	105	0.044502305487791695
26	17.0	1.0	17	0.04643343104159131
27	57.0	8.0	57	0.046041313003291166
28	37.0	2.0	37	0.05111666748652587
29	28.0	3.0	28	0.04367108563227313
30	128.0	13.0	128	0.05877461054478772
31	37.0	2.0	37	0.06540441392241297
32	17.0	2.0	17	0.06590275115826551
33	126.0	8.0	126	0.07126426863824091
34	46.0	5.0	46	0.08119439977504637
35	89.0	10.0	89	0.07408936621014321
36	167.0	15.0	167	0.08730366710060371
37	38.0	3.0	38	0.10945588026783969
38	56.0	3.0	56	0.07463840661304337
39	17.0	2.0	17	0.08286078427644337
40	38.0	3.0	38	0.0961353886676462
41	39.0	7.0	39	0.11058927929172149
42	46.0	6.0	46	0.13215035329694333
43	17.0	1.0	17	0.1118630175204838
44	57.0	6.0	57	0.12926884936658958
45	17.0	2.0	17	0.10568379369728706
46	27.0	1.0	27	0.1397625112699138
47	38.0	5.0	38	0.13904961022107223
48	28.0	2.0	28	0.11461604000734431
49	56.0	4.0	56	0.14693790494597384
50	17.0	2.0	17	0.10099995968972936
51	27.0	3.0	27	0.141306199685291
52	48.0	6.0	48	0.17696725639204183
53	362.0	21.0	362	0.15463127841071858
54	97.0	8.0	97	0.12560406841875352
55	17.0	2.0	17	0.15066367037156048
56	17.0	1.0	17	0.16726982746930683
57	17.0	1.0	17	0.1760068846976056
58	126.0	8.0	126	0.13619739177917678
59	37.0	4.0	37	0.1487510608056107
60	17.0	1.0	17	0.14930827433572097
