episode,length,reward
1,5000.0,4.0
2,17.0,1.0
3,58.0,5.0
4,28.0,3.0
5,17.0,1.0
6,87.0,8.0
7,87.0,2.0
8,18.0,1.0
9,125.0,8.0
10,17.0,1.0
11,86.0,6.0
12,27.0,1.0
13,18.0,1.0
14,17.0,1.0
15,27.0,0.0
16,96.0,3.0
17,38.0,5.0
18,17.0,1.0
19,235.0,13.0
20,156.0,10.0
21,27.0,2.0
22,37.0,2.0
23,37.0,4.0
24,57.0,3.0
25,66.0,0.0
26,38.0,5.0
27,17.0,1.0
28,86.0,5.0
29,27.0,1.0
30,39.0,4.0
31,135.0,7.0
32,17.0,1.0
33,56.0,1.0
34,46.0,2.0
35,48.0,6.0
36,27.0,3.0
37,56.0,1.0
38,37.0,1.0
39,156.0,13.0
40,76.0,1.0
41,46.0,1.0
42,17.0,2.0
43,96.0,4.0
44,27.0,3.0
45,17.0,2.0
46,97.0,4.0
47,78.0,8.0
48,116.0,8.0
49,256.0,18.0
50,68.0,4.0
51,28.0,3.0
52,155.0,6.0
53,137.0,11.0
54,156.0,7.0
55,115.0,6.0
56,38.0,5.0
57,27.0,3.0
58,27.0,1.0
59,115.0,13.0
60,17.0,1.0
61,46.0,4.0
62,57.0,4.0
63,99.0,11.0
64,88.0,10.0
65,17.0,2.0
66,105.0,11.0
67,17.0,0.0
68,37.0,3.0
69,27.0,1.0
70,27.0,3.0
71,27.0,2.0
72,28.0,3.0
73,28.0,2.0
74,56.0,4.0
75,17.0,0.0
76,46.0,3.0
77,27.0,3.0
78,56.0,2.0
79,17.0,1.0
80,28.0,4.0
81,68.0,2.0
82,137.0,12.0
83,86.0,10.0
84,58.0,3.0
85,47.0,2.0
86,186.0,10.0
87,17.0,2.0
88,28.0,3.0
89,67.0,8.0
90,17.0,1.0
91,56.0,8.0
92,78.0,9.0
93,66.0,5.0
94,18.0,2.0
95,86.0,8.0
96,116.0,8.0
97,67.0,6.0
98,27.0,2.0
99,46.0,2.0
100,67.0,6.0
101,27.0,2.0
102,78.0,3.0
103,38.0,3.0
104,38.0,5.0
105,37.0,5.0
106,38.0,3.0
107,17.0,2.0
108,128.0,13.0
109,27.0,1.0
110,17.0,2.0
111,47.0,5.0
112,67.0,5.0
113,67.0,6.0
114,48.0,3.0
115,56.0,7.0
116,17.0,2.0
117,118.0,9.0
118,47.0,5.0
119,27.0,3.0
120,57.0,4.0
121,157.0,15.0
122,18.0,2.0
123,17.0,2.0
124,56.0,4.0
125,136.0,12.0
126,17.0,1.0
