Episode	Episode_Length	Episode_Reward	Training_Update_Count	Average_Training_Loss
1	67.0	1.0	60	0.09754562702704182
2	17.0	2.0	17	0.05090910601275562
3	47.0	5.0	47	0.08103179566170822
4	46.0	0.0	46	0.07351802650373429
5	115.0	13.0	115	0.0794462522400705
6	17.0	1.0	17	0.08159318478668437
7	79.0	9.0	79	0.105191405178814
8	27.0	4.0	27	0.12396486503658471
9	127.0	5.0	127	0.10519498811418733
10	27.0	3.0	27	0.1183063298187874
11	146.0	9.0	146	0.12327000019076752
12	48.0	7.0	48	0.16531040410821637
13	46.0	5.0	46	0.15027553855401019
14	27.0	3.0	27	0.1775775220659044
15	40.0	5.0	40	0.1500965841114521
16	47.0	8.0	47	0.24014622817172648
17	66.0	9.0	66	0.3282523069982276
18	27.0	4.0	27	0.30854448427756626
19	126.0	12.0	126	0.29380180074700285
20	37.0	5.0	37	0.3345235409970219
21	46.0	5.0	46	0.3592504847632802
22	37.0	4.0	37	0.2838615307936797
23	156.0	8.0	156	0.3096257231365412
24	37.0	1.0	37	0.3235219224683336
25	37.0	4.0	37	0.45954320579767227
26	37.0	3.0	37	0.590349396741068
27	27.0	3.0	27	0.7087622113801815
28	17.0	0.0	17	0.6815278153209126
29	37.0	4.0	37	0.5912664675632039
30	115.0	8.0	115	0.7087353999847951
31	27.0	2.0	27	0.695398427270077
32	17.0	2.0	17	0.5680668257615146
33	86.0	6.0	86	0.8446407221084418
34	46.0	4.0	46	0.6580824494037939
35	17.0	2.0	17	0.6248879099593443
36	37.0	6.0	37	0.72542597313185
37	27.0	3.0	27	0.5853347781079786
38	27.0	3.0	27	0.6485159435757885
39	147.0	13.0	147	0.7170687484599295
40	27.0	2.0	27	0.5411180666199437
41	37.0	1.0	37	0.5927917577729032
42	37.0	2.0	37	0.6412011300389832
43	29.0	4.0	29	0.5095182785700108
44	46.0	4.0	46	0.6333555026060861
45	86.0	9.0	86	0.6965911464635716
46	17.0	2.0	17	0.47867769441183877
47	204.0	7.0	204	0.6307033151936006
48	66.0	6.0	66	0.5741663569528045
49	108.0	6.0	108	0.5376513072599968
50	27.0	4.0	27	0.543026911439719
51	37.0	6.0	37	0.4748443794008848
52	263.0	11.0	263	0.629495853069504
53	17.0	3.0	17	0.5820849599207149
54	38.0	6.0	38	0.7000365984675131
55	40.0	5.0	40	0.7483332399278879
56	236.0	13.0	236	0.7369710755439759
57	135.0	8.0	135	0.6151128033245051
58	17.0	2.0	17	0.6093154532067916
59	165.0	7.0	165	0.6119850294833834
60	18.0	3.0	18	0.5009501816497909
61	17.0	1.0	17	0.5132182656842119
62	46.0	3.0	46	0.6015068214872609
63	57.0	7.0	57	0.5171634492121244
64	38.0	4.0	38	0.8132513220372953
65	17.0	3.0	17	0.514025859096471
66	18.0	1.0	18	0.6723436398638619
67	66.0	3.0	66	0.6635379719011711
68	194.0	5.0	194	0.6316701421110901
69	37.0	4.0	37	0.7582637981788533
70	37.0	6.0	37	0.7760456800460815
71	157.0	14.0	157	0.8745650266101406
72	37.0	5.0	37	0.6804147326462978
73	46.0	3.0	46	0.7286078925042049
74	66.0	5.0	66	0.7202713058301897
75	274.0	6.0	274	0.592670578292034
76	157.0	12.0	157	0.5869211292807843
77	28.0	4.0	28	0.8626282630222184
78	27.0	3.0	27	0.5317504323191113
79	17.0	2.0	17	0.860534185434089
80	27.0	2.0	27	0.8501940640034499
81	88.0	8.0	88	0.801291814412583
82	27.0	2.0	27	0.5324711145626174
83	37.0	2.0	37	0.8381243569625391
84	47.0	6.0	47	0.45608892307636584
85	86.0	2.0	86	0.6272157787583595
86	76.0	4.0	76	0.6676112669274995
87	17.0	2.0	17	0.7025541720144889
88	158.0	9.0	158	0.5812108024860485
89	86.0	7.0	86	0.5044651082608589
90	166.0	10.0	166	0.47143219945481024
91	39.0	5.0	39	0.43401486178239185
92	46.0	6.0	46	0.5007094375627197
93	46.0	6.0	46	0.587428785212662
94	96.0	5.0	96	0.5000051676761359
95	97.0	4.0	97	0.5122176213285972
96	56.0	5.0	56	0.5762030676539455
97	17.0	2.0	17	0.9399466926560682
98	28.0	2.0	28	0.7990412946258273
99	37.0	2.0	37	0.5498208685501201
100	37.0	3.0	37	0.6741379282965854
101	155.0	8.0	155	0.5849417321383953
102	27.0	2.0	27	0.6692815721035004
103	46.0	2.0	46	0.6990163608089738
104	47.0	3.0	47	0.6156406182240932
105	204.0	8.0	204	0.663908626884222
106	58.0	7.0	58	0.8086938941530113
107	147.0	9.0	147	0.6699587116081293
108	17.0	1.0	17	0.695290331454838
109	37.0	6.0	37	0.6429479021478344
110	17.0	3.0	17	0.8390938744825476
111	58.0	6.0	58	0.585837077606341
112	126.0	8.0	126	0.6380365529348926
113	125.0	6.0	125	0.7904668018817902
114	56.0	6.0	56	0.7076200884766877
115	125.0	5.0	125	0.6211769123673438
116	18.0	3.0	18	0.6745897336966462
117	37.0	4.0	37	0.5803364650220484
118	46.0	5.0	46	0.8156999281567076
119	17.0	3.0	17	0.6331787788692642
120	66.0	8.0	66	0.6708565234121951
121	27.0	2.0	27	0.5992403947920711
122	18.0	3.0	18	0.7678957728462087
123	37.0	5.0	37	0.6400771978739146
124	125.0	8.0	125	0.6705428422689438
125	76.0	9.0	76	0.7635714452909795
126	17.0	2.0	17	0.7048080721322227
127	196.0	12.0	196	0.652659651956388
128	49.0	5.0	49	0.5855499852676781
129	17.0	1.0	17	0.6284807683790431
130	58.0	8.0	58	0.7346405758169191
131	76.0	5.0	76	0.5948446806226122
132	17.0	2.0	17	0.7448479655910941
133	37.0	6.0	37	0.5040685519374706
134	27.0	2.0	27	1.034835190132812
135	79.0	10.0	79	0.6635738388647007
136	27.0	4.0	27	0.6423592650228076
137	165.0	8.0	165	0.6449079164952943
138	165.0	11.0	165	0.6784364846393918
139	56.0	2.0	56	0.6991310159542731
140	46.0	6.0	46	0.821740554564673
141	46.0	7.0	46	0.9644878386803295
142	27.0	3.0	27	0.7209763013654285
143	27.0	1.0	27	0.7760329293432059
144	224.0	22.0	224	0.8723123046636049
145	66.0	7.0	66	0.9888240330372796
146	187.0	15.0	187	1.051227630897958
147	28.0	4.0	28	1.028793463749545
148	46.0	5.0	46	1.1229998372171237
149	136.0	9.0	136	1.0410719030701063
150	56.0	7.0	56	0.9720921649464539
151	156.0	11.0	156	1.3029124839947774
152	47.0	2.0	47	1.0546756462847933
153	38.0	4.0	38	1.0693079821373288
154	58.0	7.0	58	0.9582799051342339
155	27.0	2.0	27	1.5627876740914803
156	29.0	3.0	29	0.9893412769868456
157	48.0	6.0	48	0.9131005564704537
158	58.0	8.0	58	1.1157167484534198
159	29.0	3.0	29	1.1336430578396237
160	17.0	2.0	17	0.8532689494245193
161	17.0	2.0	17	1.0327046561767073
162	46.0	5.0	46	1.0400390701125497
163	224.0	15.0	224	0.9341395585465112
164	38.0	2.0	38	0.7704463032515425
165	86.0	10.0	86	0.9923951235101667
166	167.0	13.0	167	0.9146936156167955
167	135.0	7.0	135	0.8212814071664104
168	126.0	6.0	126	0.8169805054508504
169	37.0	5.0	37	1.1010595850042395
170	135.0	5.0	135	0.7940835650872301
171	18.0	2.0	18	0.7438503520356284
172	165.0	11.0	165	0.695571780204773
173	105.0	8.0	105	0.9758795914905412
174	18.0	2.0	18	0.6410987828340795
175	47.0	4.0	47	0.8056542924109925
176	138.0	12.0	138	0.6700123050452574
177	40.0	5.0	40	0.4809034472331405
178	156.0	11.0	156	0.6932241735167992
179	47.0	7.0	47	0.8656045661327687
180	18.0	2.0	18	0.6968601151472993
181	106.0	8.0	106	0.7362070851168543
182	27.0	3.0	27	0.9247628406242088
183	158.0	14.0	158	0.8854795994260644
184	234.0	10.0	234	0.8449619150855857
185	158.0	10.0	158	0.6377076823971694
186	58.0	7.0	58	0.8242679758575456
187	38.0	5.0	38	0.6703132459599721
188	353.0	11.0	353	0.6801535107153165
189	167.0	10.0	167	0.7577402454739559
190	47.0	6.0	47	0.6566250783965942
191	136.0	8.0	136	0.7454500508987728
192	174.0	10.0	174	0.6651875897813803
193	147.0	10.0	147	0.519949384971338
194	46.0	5.0	46	0.520593946394713
195	46.0	6.0	46	0.5916502049759679
196	27.0	2.0	27	0.6032394099014776
197	47.0	6.0	47	0.7179112957513079
198	223.0	7.0	223	0.6767489282339143
199	156.0	8.0	156	0.7928073673437421
200	156.0	12.0	156	0.7083028283638831
201	46.0	6.0	46	0.6583246055828489
202	98.0	9.0	98	0.7189567027499482
