Episode	Episode_Length	Episode_Reward	Training_Update_Count	Average_Training_Loss
1	146.0	10.0	115	0.051583243052110726
2	17.0	0.0	17	0.02493135240750716
3	27.0	2.0	27	0.02566423825919628
4	37.0	5.0	37	0.043839356585128886
5	17.0	0.0	17	0.042844718103023136
6	17.0	2.0	17	0.030258546035517666
7	27.0	1.0	27	0.03554960771429318
8	27.0	0.0	27	0.04241141963198229
9	17.0	1.0	17	0.03977822775349898
10	56.0	6.0	56	0.03944728229128357
11	96.0	7.0	96	0.04212820216586503
12	17.0	2.0	17	0.03347633973530987
13	126.0	8.0	126	0.04443304002698925
14	148.0	12.0	148	0.03584404470952782
15	48.0	3.0	48	0.04858154229198893
16	97.0	5.0	97	0.057995156970681604
17	47.0	4.0	47	0.04133092877554133
18	37.0	4.0	37	0.04548941514882687
19	135.0	15.0	135	0.07949667496399747
20	18.0	2.0	18	0.05937343178730872
21	56.0	1.0	56	0.06585836916097573
22	236.0	16.0	236	0.08307184554020858
23	37.0	1.0	37	0.10129853423584152
24	47.0	2.0	47	0.09126558753245688
25	56.0	6.0	56	0.09587309260054358
26	96.0	4.0	96	0.09405504646323
27	48.0	5.0	48	0.1101643736474216
28	46.0	5.0	46	0.12814198685405048
29	253.0	17.0	253	0.12898381515277232
30	28.0	2.0	28	0.1344734558037349
31	17.0	2.0	17	0.084707531858893
32	17.0	1.0	17	0.10193088300087873
33	46.0	5.0	46	0.15533622629616572
34	56.0	6.0	56	0.13252347977166729
35	57.0	4.0	57	0.13191290193221025
36	27.0	1.0	27	0.16250977941133357
37	148.0	13.0	148	0.16204665910855337
38	66.0	4.0	66	0.1288238223077673
39	68.0	7.0	68	0.1414311633390539
40	79.0	9.0	79	0.15233742037811612
41	29.0	3.0	29	0.1526553012944501
42	37.0	2.0	37	0.1653950623161084
43	17.0	2.0	17	0.11946476601502475
44	38.0	4.0	38	0.134527494150557
45	67.0	8.0	67	0.19084162971199448
46	56.0	3.0	56	0.23171180067583919
47	37.0	4.0	37	0.2310476826654898
48	17.0	2.0	17	0.2608995656756794
49	136.0	9.0	136	0.24595655614564962
50	66.0	6.0	66	0.2504417474071185
51	17.0	2.0	17	0.1915894527645672
52	17.0	0.0	17	0.17836388814098694
53	105.0	5.0	105	0.2780862020594733
54	68.0	3.0	68	0.3139539444271256
55	27.0	1.0	27	0.24284782784956474
56	127.0	6.0	127	0.30165040695409134
57	27.0	2.0	27	0.28962942709525424
58	28.0	4.0	28	0.42784504539200235
59	78.0	7.0	78	0.3367211278050374
