Episode	Episode_Length	Episode_Reward	Training_Update_Count	Average_Training_Loss
1	6.0	0.0	0	0
2	6.0	0.0	0	0
3	6.0	0.0	0	0
4	6.0	0.0	0	0
5	6.0	0.0	0	0
6	16.0	1.0	15	0.016412287942754726
7	16.0	1.0	16	0.023260177702468354
8	6.0	0.0	6	0.03599156136624515
9	6.0	0.0	6	0.016717685153707862
10	16.0	1.0	16	0.039694524253718555
11	16.0	1.0	16	0.019368788960491656
12	6.0	0.0	6	0.025423254041622084
13	6.0	0.0	6	0.010569574660621583
14	6.0	0.0	6	0.016100145022695262
15	6.0	0.0	6	0.008344689772153894
16	6.0	0.0	6	0.008403301918103049
17	6.0	0.0	6	0.003495236897530655
18	6.0	0.0	6	0.002783943908677126
19	6.0	0.0	6	0.0010692931003480528
20	6.0	0.0	6	0.0036133237881585956
21	6.0	0.0	6	0.0031759372989957533
22	6.0	0.0	6	0.0009397965186508372
23	16.0	1.0	16	0.0017474178475822555
24	16.0	1.0	16	0.005676451834006002
25	6.0	0.0	6	0.02147848391905427
26	6.0	0.0	6	0.024028553472210962
27	16.0	1.0	16	0.01455146263469942
28	6.0	0.0	6	0.011844372376799583
29	6.0	0.0	6	0.010968686081469059
30	6.0	0.0	6	0.007069976961550613
31	6.0	0.0	6	0.005258413206320256
32	6.0	0.0	6	0.002044678335854163
33	6.0	0.0	6	0.0014252833013112347
34	6.0	0.0	6	0.0026590158813633025
35	16.0	1.0	16	0.004399546694912715
36	16.0	1.0	16	0.006775811030820478
37	28.0	2.0	28	0.008603046298958361
38	6.0	0.0	6	0.004543983959592879
39	16.0	1.0	16	0.004433762158441823
40	6.0	0.0	6	0.004577191158508261
41	6.0	0.0	6	0.005941954169732829
42	6.0	0.0	6	0.00266145031976824
43	6.0	0.0	6	0.0018499428018306692
44	16.0	1.0	16	0.0034733513311948627
45	6.0	0.0	6	0.00827633251901716
46	6.0	0.0	6	0.015258108576138815
47	6.0	0.0	6	0.008534787533183893
48	6.0	0.0	6	0.00712050253059715
49	6.0	0.0	6	0.005671793750176827
50	6.0	0.0	6	0.004167653465022643
51	6.0	0.0	6	0.0025704730166277536
52	16.0	1.0	16	0.002105027004290605
53	6.0	0.0	6	0.0017911074100993574
54	6.0	0.0	6	0.002479906329729905
55	26.0	2.0	26	0.0016715675827491884
