Episode	Episode_Length	Episode_Reward	Training_Update_Count	Average_Training_Loss
1	6.0	0.0	0	0
2	6.0	0.0	0	0
3	6.0	0.0	0	0
4	6.0	0.0	0	0
5	6.0	0.0	0	0
6	6.0	0.0	5	0.005096943204989657
7	6.0	0.0	6	0.006737877867029359
8	6.0	0.0	6	0.010571256590386232
9	6.0	0.0	6	0.004404769104439765
10	16.0	1.0	16	0.0076888499133929145
11	6.0	0.0	6	0.022299767316629488
12	6.0	0.0	6	0.007357240538112819
13	6.0	0.0	6	0.014742649199130634
14	16.0	1.0	16	0.020076812641491415
15	6.0	0.0	6	0.025017650545729946
16	6.0	0.0	6	0.006079198656758915
17	6.0	0.0	6	0.014828444274219995
18	6.0	0.0	6	0.027387541796391208
19	28.0	2.0	28	0.014405676733336545
20	6.0	0.0	6	0.04704868382153412
21	16.0	1.0	16	0.007675043460039888
22	6.0	0.0	6	0.008334989019203931
23	16.0	1.0	16	0.020029324063216336
24	6.0	0.0	6	0.03139438961322109
25	6.0	0.0	6	0.02194872770148019
26	6.0	0.0	6	0.030610525514930487
27	6.0	0.0	6	0.02023880247725174
28	6.0	0.0	6	0.018894853186793625
29	6.0	0.0	6	0.023149727116106078
30	6.0	0.0	6	0.0156780865509063
31	16.0	1.0	16	0.018170695548178628
32	6.0	0.0	6	0.008878981927409768
33	28.0	2.0	28	0.011866545836840357
34	6.0	0.0	6	0.014245853604127964
35	6.0	0.0	6	0.024912776076234877
36	16.0	1.0	16	0.018220247759018093
37	6.0	0.0	6	0.010452355452192327
38	6.0	0.0	6	0.008114567686182758
39	6.0	0.0	6	0.008137254199633995
40	6.0	0.0	6	0.007313169344949226
41	6.0	0.0	6	0.007001059440275033
42	6.0	0.0	6	0.007504417832630376
43	6.0	0.0	6	0.004419339956560482
44	26.0	2.0	26	0.010264538215079274
45	6.0	0.0	6	0.0046097761757361395
46	6.0	0.0	6	0.011886742082424462
47	16.0	1.0	16	0.02691761337337084
48	6.0	0.0	6	0.020195200418432552
49	6.0	0.0	6	0.011899688591559729
50	16.0	1.0	16	0.008398841775488108
51	16.0	1.0	16	0.008395603188546374
52	6.0	0.0	6	0.00729784326783071
53	6.0	0.0	6	0.005877314562288423
54	6.0	0.0	6	0.004299895391644289
55	16.0	1.0	16	0.0061750667191518005
