Episode	Episode_Length	Episode_Reward	Training_Update_Count	Average_Training_Loss
1	33.0	0.0	2	0.0013425977667793632
2	71.0	0.0	71	0.001356274272810379
3	84.0	1.0	84	0.002113316569231453
4	321.0	4.0	321	0.006179420104575985
5	172.0	2.0	172	0.007481823124053758
6	121.0	0.0	121	0.009545044812339181
7	61.0	0.0	61	0.013513929664813837
8	41.0	0.0	41	0.007834651382503712
9	123.0	0.0	123	0.008108096763234192
10	30.0	0.0	30	0.00677232798965027
11	41.0	0.0	41	0.006085543038618819
12	82.0	0.0	82	0.008115229164193407
13	75.0	0.0	75	0.009081040108576417
14	101.0	0.0	101	0.012005636082399674
15	50.0	0.0	50	0.010250106137245894
16	26.0	0.0	26	0.012577038356819404
17	39.0	0.0	39	0.011017888187406918
18	51.0	0.0	51	0.00944174370755825
19	30.0	0.0	30	0.006362067240600785
20	25.0	0.0	25	0.012008637092076242
21	83.0	1.0	83	0.013297342442828848
22	45.0	1.0	45	0.014492727319399516
23	91.0	0.0	91	0.014417480392084753
24	44.0	1.0	44	0.015117981830950488
25	30.0	0.0	30	0.024982220803697903
26	43.0	0.0	43	0.017420560370610898
27	35.0	0.0	35	0.028604552562215498
28	65.0	0.0	65	0.024302962837884058
29	31.0	0.0	31	0.02843701746314764
30	189.0	1.0	189	0.03419560850129793
31	31.0	0.0	31	0.02356702582009377
32	153.0	1.0	153	0.03915347517133246
33	45.0	0.0	45	0.03802540006322993
34	49.0	0.0	49	0.03902639509463797
35	101.0	1.0	101	0.03729339848078861
36	106.0	1.0	106	0.035411502146777116
37	114.0	1.0	114	0.03512011992892152
38	84.0	0.0	84	0.05488669018571576
39	21.0	0.0	21	0.03211254176373283
40	168.0	2.0	168	0.03132737778304588
41	42.0	0.0	42	0.028378149117564873
42	18.0	0.0	18	0.03043381952577167
43	61.0	1.0	61	0.030423438909356712
44	46.0	0.0	46	0.02873350499683748
45	46.0	0.0	46	0.028614471696884088
46	92.0	1.0	92	0.031571471182953406
47	53.0	0.0	53	0.040742913647642674
48	90.0	2.0	90	0.03774731740769413
49	14.0	0.0	14	0.0323576073694442
50	27.0	0.0	27	0.04255956062978065
51	48.0	0.0	48	0.040589175322869174
52	41.0	0.0	41	0.049836914736504964
53	20.0	0.0	20	0.03712638597935438
54	116.0	1.0	116	0.04348188336810161
55	19.0	0.0	19	0.047783969068213514
56	77.0	0.0	77	0.05226262955164367
57	31.0	0.0	31	0.054526394353278225
58	31.0	0.0	31	0.048150228456624096
59	30.0	0.0	30	0.052742655078570046
60	114.0	0.0	114	0.062249006384885626
61	98.0	0.0	98	0.06369767606030313
62	67.0	2.0	67	0.05810183080941884
63	21.0	0.0	21	0.06613726922798724
64	101.0	1.0	101	0.057133229578485586
65	71.0	1.0	71	0.06092062374760567
66	141.0	3.0	141	0.07433809359815527
67	102.0	2.0	102	0.06312854186284776
68	222.0	4.0	222	0.07234124368610415
69	56.0	1.0	56	0.08966746008289712
70	72.0	0.0	72	0.08470785488478011
71	91.0	1.0	91	0.0915418825429547
72	54.0	0.0	54	0.10020044821969888
73	79.0	0.0	79	0.0906444389042975
74	16.0	0.0	16	0.07035972957964987
75	71.0	0.0	71	0.09544710222054535
76	111.0	3.0	111	0.09184428265838472
77	57.0	1.0	57	0.09490052806703668
78	96.0	1.0	96	0.09458458066607515
79	41.0	0.0	41	0.08506073975344984
80	62.0	0.0	62	0.08907499957469202
81	16.0	0.0	16	0.06852990970946848
82	25.0	0.0	25	0.08527875669300557
83	91.0	0.0	91	0.09785739266937905
84	91.0	1.0	91	0.09107746009888885
85	36.0	0.0	36	0.09979923152261311
86	63.0	0.0	63	0.08231895257319723
87	75.0	1.0	75	0.12448187778393427
88	74.0	0.0	74	0.10608548484742641
89	47.0	0.0	47	0.09333965376495047
90	51.0	1.0	51	0.0968863005001171
91	101.0	0.0	101	0.11772990687796385
92	61.0	1.0	61	0.11200479308112724
93	45.0	1.0	45	0.09360889171560606
94	35.0	0.0	35	0.11167850185717855
95	56.0	0.0	56	0.10547808271699718
96	80.0	0.0	80	0.11148296869359911
97	35.0	0.0	35	0.14679278454610278
98	92.0	2.0	92	0.13853072698997415
99	71.0	0.0	71	0.13538881559187257
100	105.0	0.0	105	0.1293355725350834
101	35.0	0.0	35	0.09898910756622042
102	34.0	0.0	34	0.1274073681629756
103	23.0	0.0	23	0.1438146513765273
104	192.0	1.0	192	0.13030262538813986
105	55.0	0.0	55	0.15670642104338517
106	58.0	0.0	58	0.15602599000879402
107	63.0	0.0	63	0.13271303800126863
108	141.0	2.0	141	0.14057805040415297
109	11.0	0.0	11	0.12976330586455084
110	134.0	2.0	134	0.14750141981266326
111	38.0	0.0	38	0.14610236912573638
112	16.0	0.0	16	0.23206238355487585
113	61.0	0.0	61	0.1545978744865441
114	111.0	1.0	111	0.14263497131901817
115	29.0	0.0	29	0.2029041857298078
116	80.0	0.0	80	0.15785590638406574
117	232.0	2.0	232	0.1771023196232473
118	59.0	1.0	59	0.15696098901710268
119	81.0	0.0	81	0.16674292851009487
120	96.0	0.0	96	0.1863878219931697
121	184.0	0.0	184	0.186508868071858
122	108.0	1.0	108	0.1685032292648598
123	39.0	0.0	39	0.2158544273712696
124	43.0	1.0	43	0.15942958595101223
125	68.0	0.0	68	0.18644585821996718
126	51.0	0.0	51	0.16476205254302306
127	51.0	0.0	51	0.13897864038453384
128	163.0	1.0	163	0.2087892211425158
129	28.0	0.0	28	0.2052634178793856
130	21.0	0.0	21	0.19446200132369995
131	52.0	0.0	52	0.23221472980311283
132	51.0	0.0	51	0.20494845918580598
133	76.0	1.0	76	0.28252687177767877
134	69.0	0.0	69	0.27925529784482456
135	141.0	1.0	141	0.25577311883581444
136	104.0	1.0	104	0.2719506834490368
137	76.0	0.0	76	0.21455239034012744
138	42.0	0.0	42	0.24532187960687138
139	31.0	1.0	31	0.22911619419051754
140	177.0	3.0	177	0.265998399842762
141	37.0	0.0	37	0.3233525205302883
142	101.0	1.0	101	0.3487897243830237
143	186.0	2.0	186	0.3032937451035425
144	110.0	0.0	110	0.2826910280368545
145	23.0	0.0	23	0.35552100318929425
146	72.0	0.0	72	0.3458873589212696
147	176.0	1.0	176	0.3377715856344862
148	31.0	0.0	31	0.3765504463545738
149	56.0	0.0	56	0.36968552474198596
150	169.0	1.0	169	0.36279758493575825
151	141.0	3.0	141	0.3301849972377432
152	53.0	0.0	53	0.3711143068547519
153	35.0	0.0	35	0.283468496799469
154	31.0	0.0	31	0.38287428886659686
155	16.0	0.0	16	0.390529477968812
156	54.0	0.0	54	0.35529189129118566
157	43.0	0.0	43	0.34604310365610347
158	23.0	0.0	23	0.35566030863834464
159	56.0	1.0	56	0.37986775474356754
160	96.0	0.0	96	0.41204703141314286
161	89.0	0.0	89	0.4347441526276342
162	41.0	0.0	41	0.5042730704313372
163	31.0	0.0	31	0.5347094699259727
164	28.0	0.0	28	0.5437033272215298
165	101.0	1.0	101	0.47185019676638124
166	51.0	0.0	51	0.4180183527516384
167	78.0	0.0	78	0.45908627448937833
168	101.0	1.0	101	0.492979164318283
169	55.0	0.0	55	0.6036268464543603
170	55.0	0.0	55	0.5458452954888344
171	122.0	3.0	122	0.5832792927251488
172	81.0	1.0	81	0.6610395308629966
173	64.0	0.0	64	0.5971155061852187
174	43.0	0.0	43	0.8471045504475749
175	51.0	1.0	51	0.6476446445666107
176	42.0	0.0	42	0.6959629585700375
177	11.0	0.0	11	0.6186914755539461
178	131.0	2.0	131	0.6875108382629074
179	111.0	1.0	111	0.665835071657155
180	52.0	0.0	52	0.59559569765742
181	108.0	2.0	108	0.7213785119906619
182	131.0	1.0	131	0.7432263909860422
183	31.0	0.0	31	0.8027546069314403
184	81.0	0.0	81	0.7309677063682933
185	41.0	1.0	41	0.6143389195203781
186	103.0	1.0	103	0.6736184941622817
187	120.0	1.0	120	0.6705740065624316
188	21.0	0.0	21	0.8028708071935744
189	104.0	0.0	104	0.7047752647732313
190	66.0	0.0	66	0.739855846672347
191	11.0	0.0	11	0.950379344550046
192	66.0	1.0	66	0.9178866396347681
193	25.0	0.0	25	0.720074616074562
194	22.0	0.0	22	0.8337197534062646
195	94.0	0.0	94	0.9757810203318901
196	128.0	1.0	128	0.775065089808777
197	36.0	0.0	36	0.9102249228292041
198	81.0	0.0	81	0.8671084427171283
199	61.0	0.0	61	0.8080320519502046
200	41.0	0.0	41	0.9896404387020483
201	39.0	0.0	39	0.8216339770035866
202	250.0	2.0	250	0.888238507449627
203	78.0	0.0	78	0.8411811525240923
204	21.0	0.0	21	1.1391462002481734
205	63.0	2.0	63	0.9823547412478735
206	106.0	1.0	106	1.0235528455309149
207	18.0	0.0	18	1.429359541998969
208	61.0	0.0	61	1.361846607972364
209	51.0	0.0	51	1.1541101354009964
210	43.0	1.0	43	1.3265334707359935
211	54.0	0.0	54	1.1017393789909504
212	46.0	0.0	46	0.969250569201034
213	26.0	0.0	26	1.1492397349614363
214	91.0	0.0	91	1.0323937001464132
215	51.0	0.0	51	1.1115578886340647
216	116.0	1.0	116	1.1685325513625968
217	50.0	0.0	50	1.0671425372362138
218	135.0	1.0	135	1.0668831101170293
219	178.0	1.0	178	1.1788743782076943
220	61.0	0.0	61	1.0373900764789739
221	108.0	0.0	108	1.3323906973280288
222	52.0	0.0	52	1.1880544828107724
223	24.0	0.0	24	1.2174709128836791
224	46.0	1.0	46	1.6638971648138503
225	36.0	0.0	36	1.1505478281113837
226	51.0	0.0	51	1.2783586020563162
227	51.0	0.0	51	1.2583615084489186
228	36.0	1.0	36	1.371239744954639
229	33.0	0.0	33	1.1608354620861285
230	46.0	0.0	46	1.4769109986398532
231	21.0	0.0	21	1.1334252669697715
232	19.0	0.0	19	1.0521331994157088
233	258.0	4.0	258	1.3853115113668664
234	71.0	0.0	71	1.418783594604949
235	46.0	0.0	46	1.3106408158074254
236	56.0	0.0	56	1.7414489755673068
237	46.0	0.0	46	1.3984833780838095
238	41.0	0.0	41	1.3936983783070633
