Episode	Episode_Length	Episode_Reward	Training_Update_Count	Average_Training_Loss
1	6.0	0.0	0	0
2	16.0	1.0	0	0
3	6.0	0.0	0	0
4	6.0	0.0	3	0.020888051406169932
5	6.0	0.0	6	0.01953916399118801
6	6.0	0.0	6	0.014021114819721939
7	16.0	1.0	16	0.02805378950870363
8	28.0	2.0	28	0.021652701793105474
9	6.0	0.0	6	0.019073754626636703
10	6.0	0.0	6	0.021191228413954377
11	16.0	1.0	16	0.025690720038255677
12	6.0	0.0	6	0.02813270144785444
13	16.0	1.0	16	0.013337276672245935
14	6.0	0.0	6	0.009066680679097772
15	16.0	1.0	16	0.005667172801622655
16	6.0	0.0	6	0.00330916951255252
17	6.0	0.0	6	0.00732981398080786
18	6.0	0.0	6	0.011306460364721715
19	6.0	0.0	6	0.004699697834439576
20	6.0	0.0	6	0.006043578187624614
21	6.0	0.0	6	0.006590915358780573
22	6.0	0.0	6	0.01593470439547673
23	16.0	1.0	16	0.01510279450303642
24	16.0	1.0	16	0.005722397065255791
25	6.0	0.0	6	0.003223690097608293
26	6.0	0.0	6	0.002717966698886206
27	6.0	0.0	6	0.0017335950396955013
28	6.0	0.0	6	0.0016046797682065517
29	6.0	0.0	6	0.0015390431896472971
30	6.0	0.0	6	0.0014821577351540327
31	6.0	0.0	6	0.0006785048850967238
32	16.0	1.0	16	0.0010602526763250353
33	16.0	1.0	16	0.010073593934066594
34	6.0	0.0	6	0.009268532351901134
35	6.0	0.0	6	0.005461220978759229
36	6.0	0.0	6	0.0062995617821191745
37	6.0	0.0	6	0.0015595669392496347
38	16.0	1.0	16	0.001359640900773229
39	6.0	0.0	6	0.0015312481943207483
40	6.0	0.0	6	0.0011050879159787048
41	6.0	0.0	6	0.0007223295688163489
42	16.0	1.0	16	0.0007175610371632501
43	16.0	1.0	16	0.0008089691655186471
44	6.0	0.0	6	0.008843638778974613
45	6.0	0.0	6	0.005504060614233215
46	16.0	1.0	16	0.004898808383586584
47	6.0	0.0	6	0.004324278930046906
48	6.0	0.0	6	0.0031160726017939546
49	16.0	1.0	16	0.002223917810624698
50	6.0	0.0	6	0.0021609197719953954
51	6.0	0.0	6	0.0013419372068407636
52	6.0	0.0	6	0.0008004465974712124
53	6.0	0.0	6	0.0009645862640657773
54	6.0	0.0	6	0.0012265699236498524
55	6.0	0.0	6	0.0007208014042892804
56	6.0	0.0	6	0.0006003254723812764
57	16.0	1.0	16	0.009506097250778112
58	16.0	1.0	16	0.005185771893593483
59	6.0	0.0	6	0.004352549634252985
60	48.0	4.0	48	0.007337866890641938
61	6.0	0.0	6	0.0177570782834664
62	6.0	0.0	6	0.007894901015485326
63	6.0	0.0	6	0.014234952240561446
64	6.0	0.0	6	0.028996880787114303
65	6.0	0.0	6	0.019483643273512524
66	28.0	2.0	28	0.030525822142538215
67	26.0	2.0	26	0.021859979718171347
68	16.0	1.0	16	0.015237713261740282
69	6.0	0.0	6	0.019641647425790627
70	6.0	0.0	6	0.03044767351821065
71	6.0	0.0	6	0.0348184077690045
72	6.0	0.0	6	0.0349042039985458
73	6.0	0.0	6	0.044177356796960034
74	6.0	0.0	6	0.02378175687044859
75	6.0	0.0	6	0.027167868955681723
76	6.0	0.0	6	0.022438998489330213
77	6.0	0.0	6	0.020435492352892954
78	6.0	0.0	6	0.02069819951429963
79	16.0	1.0	16	0.0184506240329938
80	16.0	1.0	16	0.018258028954733163
81	16.0	1.0	16	0.014022185685462318
82	16.0	1.0	16	0.03584349970333278
