Episode	Episode_Length	Episode_Reward	Training_Update_Count	Average_Training_Loss
1	35.0	0.0	4	0.002160401279979851
2	67.0	1.0	67	0.003973030824576497
3	71.0	0.0	71	0.0013516043248491256
4	96.0	0.0	96	0.0012369443234092614
5	165.0	1.0	165	0.0018711528682615608
6	106.0	1.0	106	0.0015951203484909679
7	74.0	0.0	74	0.0006808605950838584
8	44.0	0.0	44	0.001686443638225848
9	86.0	0.0	86	0.0023015914535621006
10	12.0	0.0	12	0.0018736647495340246
11	64.0	0.0	64	0.002035899683505704
12	199.0	5.0	199	0.004056061655177674
13	81.0	2.0	81	0.004937170357960794
14	21.0	0.0	21	0.010826381111872337
15	22.0	0.0	22	0.012758674745617265
16	132.0	0.0	132	0.00754109247469442
17	43.0	0.0	43	0.008204324054531753
18	56.0	0.0	56	0.006183732036983461
19	35.0	0.0	35	0.005076697573531419
20	30.0	0.0	30	0.006212833539272348
21	87.0	1.0	87	0.005021238496832164
22	91.0	1.0	91	0.008284166591513166
23	61.0	0.0	61	0.011406438037768373
24	92.0	2.0	92	0.009272070471247982
25	36.0	0.0	36	0.008397908241022378
26	57.0	0.0	57	0.012088844246280036
27	85.0	3.0	85	0.012113062973024653
28	127.0	2.0	127	0.01563026978428967
29	104.0	1.0	104	0.024377055934075124
30	51.0	0.0	51	0.027388308361610946
31	156.0	2.0	156	0.02644431483125887
32	11.0	0.0	11	0.034423322840170426
33	130.0	2.0	130	0.022990785653774555
34	176.0	1.0	176	0.03181862087909725
35	38.0	0.0	38	0.03185438501991724
36	76.0	0.0	76	0.030152568599748377
37	85.0	1.0	85	0.028445108004790894
38	137.0	2.0	137	0.029443421506452083
39	41.0	0.0	41	0.03506746220334274
40	158.0	1.0	158	0.027220200505579197
41	66.0	0.0	66	0.027725736751700893
42	31.0	0.0	31	0.031952721186943596
43	80.0	0.0	80	0.02622374566271901
44	45.0	0.0	45	0.01987194698303938
45	83.0	1.0	83	0.02607879377003894
46	234.0	5.0	234	0.03832406900488795
47	16.0	0.0	16	0.04105059977155179
48	69.0	0.0	69	0.04296206789550142
49	91.0	1.0	91	0.046319729095877525
50	44.0	0.0	44	0.050051289991560305
51	90.0	1.0	90	0.061649070700837506
52	141.0	1.0	141	0.04655794630236659
53	63.0	0.0	63	0.04628352047727695
54	61.0	0.0	61	0.04449884627075469
55	50.0	0.0	50	0.05309740137308836
56	142.0	0.0	142	0.06684626756944287
57	46.0	0.0	46	0.05469538963845243
58	71.0	1.0	71	0.0571970477910109
59	16.0	0.0	16	0.05413366388529539
60	26.0	0.0	26	0.06078839208930731
61	61.0	0.0	61	0.071918821542478
62	35.0	0.0	35	0.07433001595948424
63	118.0	1.0	118	0.0822256960258898
64	55.0	0.0	55	0.06743129393593832
65	161.0	1.0	161	0.08439993419863792
66	66.0	1.0	66	0.09560424893755805
67	51.0	1.0	51	0.0947844339352028
68	43.0	1.0	43	0.13122979373952678
69	166.0	0.0	166	0.1178513501422951
70	115.0	1.0	115	0.13598667535444964
71	50.0	0.0	50	0.10262038111686707
72	81.0	2.0	81	0.11371124558794646
73	63.0	0.0	63	0.11709642398452001
74	18.0	0.0	18	0.16327140004270607
75	16.0	0.0	16	0.09597926726564765
76	24.0	0.0	24	0.1160322876336674
77	106.0	2.0	106	0.13319145269551366
78	45.0	0.0	45	0.14281453010108736
79	41.0	0.0	41	0.14700253017065001
80	53.0	0.0	53	0.11415592658351052
81	32.0	0.0	32	0.1258277869783342
82	161.0	3.0	161	0.14505226818717415
83	79.0	0.0	79	0.175619615925641
84	16.0	0.0	16	0.220296498388052
85	62.0	0.0	62	0.1936139883773942
86	31.0	0.0	31	0.20631652109084592
87	31.0	0.0	31	0.22562698707465204
88	11.0	0.0	11	0.20475781979885968
89	66.0	0.0	66	0.22830592649001064
90	44.0	0.0	44	0.2111765525557778
91	70.0	0.0	70	0.22013329448444502
92	81.0	2.0	81	0.2200200128150575
93	137.0	2.0	137	0.21422696450765985
94	59.0	0.0	59	0.30936966520749914
