Episode	Episode_Length	Episode_Reward	Training_Update_Count	Average_Training_Loss
1	6.0	0.0	0	0
2	6.0	0.0	5	0.0015929221699479967
3	16.0	1.0	16	0.06965921189839719
4	6.0	0.0	6	0.11392337138143678
5	6.0	0.0	6	0.045420083993424974
6	16.0	1.0	16	0.11754823345108889
7	6.0	0.0	6	0.105617873215427
8	6.0	0.0	6	0.022083801683038473
9	6.0	0.0	6	0.10813608237852652
10	16.0	1.0	16	0.062496734941305476
11	6.0	0.0	6	0.04323908888424436
12	6.0	0.0	6	0.050414164802835636
13	6.0	0.0	6	0.09310547060643633
14	6.0	0.0	6	0.050039056688547134
15	6.0	0.0	6	0.03763447222687925
16	6.0	0.0	6	0.09272671847914656
17	6.0	0.0	6	0.019638946590324242
18	16.0	1.0	16	0.029099510356900282
19	6.0	0.0	6	0.028821280226111412
20	6.0	0.0	6	0.014912254371059438
21	6.0	0.0	6	0.012136905919760466
22	6.0	0.0	6	0.02237224920342366
23	6.0	0.0	6	0.0227125723225375
24	6.0	0.0	6	0.007759238903721173
25	6.0	0.0	6	0.007928312290459871
26	6.0	0.0	6	0.014332537345277766
27	28.0	2.0	28	0.06422433727337713
28	6.0	0.0	6	0.07199310433740418
29	16.0	1.0	16	0.04928551451303065
30	6.0	0.0	6	0.06825293445338805
31	6.0	0.0	6	0.04547139536589384
32	6.0	0.0	6	0.08713996115451057
33	6.0	0.0	6	0.0441492716781795
34	6.0	0.0	6	0.05662788993989428
35	16.0	1.0	16	0.031183214974589646
36	6.0	0.0	6	0.05485465641443928
37	6.0	0.0	6	0.06493969494476914
38	6.0	0.0	6	0.1194530138745904
39	6.0	0.0	6	0.07493202978124221
40	6.0	0.0	6	0.04857981111854315
41	6.0	0.0	6	0.041984464041888714
42	6.0	0.0	6	0.03927864731910328
43	6.0	0.0	6	0.047847864140445985
44	6.0	0.0	6	0.06434717650214831
45	6.0	0.0	6	0.0504250672335426
46	6.0	0.0	6	0.040476115342850484
47	16.0	1.0	16	0.06633447465719655
48	6.0	0.0	6	0.032969288527965546
49	6.0	0.0	6	0.06274653536578019
50	6.0	0.0	6	0.05944189646591743
51	6.0	0.0	6	0.045438932720571756
52	16.0	1.0	16	0.0590201411396265
53	6.0	0.0	6	0.1486403172214826
54	6.0	0.0	6	0.11112351187815268
55	6.0	0.0	6	0.08573400477568309
56	6.0	0.0	6	0.11532523296773434
57	6.0	0.0	6	0.08250671997666359
58	6.0	0.0	6	0.0743729155510664
59	16.0	1.0	16	0.05796448483306449
60	6.0	0.0	6	0.11033262172713876
61	6.0	0.0	6	0.06614336309333642
62	26.0	2.0	26	0.07764762588060246
63	6.0	0.0	6	0.11653633695095778
64	6.0	0.0	6	0.0762527755772074
65	16.0	1.0	16	0.06197351560695097
66	16.0	1.0	16	0.08374420978361741
67	6.0	0.0	6	0.042651816892127194
68	16.0	1.0	16	0.08389220002572984
69	6.0	0.0	6	0.10119692981243134
70	6.0	0.0	6	0.11351837714513142
71	6.0	0.0	6	0.06267699785530567
72	6.0	0.0	6	0.08420053295170267
73	6.0	0.0	6	0.08309194166213274
74	6.0	0.0	6	0.07085250007609527
75	16.0	1.0	16	0.08635651436634362
76	16.0	1.0	16	0.07254417648073286
77	16.0	1.0	16	0.10330518637783825
78	6.0	0.0	6	0.07861210778355598
79	6.0	0.0	6	0.12886670449127755
80	6.0	0.0	6	0.04602900605338315
81	6.0	0.0	6	0.08418544506033261
82	6.0	0.0	6	0.07246332491437595
83	6.0	0.0	6	0.03323159987727801
84	6.0	0.0	6	0.0545213200772802
85	6.0	0.0	6	0.11849050441135962
86	6.0	0.0	6	0.13708380609750748
87	6.0	0.0	6	0.08153900348891814
88	16.0	1.0	16	0.1401077788323164
89	6.0	0.0	6	0.12693307300408682
90	28.0	2.0	28	0.10578360954033476
91	28.0	2.0	28	0.12904409857999002
92	6.0	0.0	6	0.12026159185916185
93	16.0	1.0	16	0.14119031955488026
94	38.0	3.0	38	0.10662167085530727
95	6.0	0.0	6	0.19897354828814665
96	6.0	0.0	6	0.11631932730476062
97	26.0	2.0	26	0.1358544661735113
98	6.0	0.0	6	0.13852958753705025
99	38.0	3.0	38	0.1063458951386182
100	16.0	1.0	16	0.1348736648214981
101	6.0	0.0	6	0.06112723828603824
102	16.0	1.0	16	0.11714721034513786
103	16.0	1.0	16	0.14563694992102683
104	38.0	3.0	38	0.11194501282941353
105	28.0	2.0	28	0.11463262300406184
106	28.0	2.0	28	0.09242845961957105
107	6.0	0.0	6	0.11921937515338261
108	6.0	0.0	6	0.10528292258580525
109	6.0	0.0	6	0.06528693344444036
110	38.0	3.0	38	0.17639223084245859
111	6.0	0.0	6	0.16703294962644577
112	16.0	1.0	16	0.19751948188059032
113	6.0	0.0	6	0.12646016168097654
114	6.0	0.0	6	0.18461296583215395
115	6.0	0.0	6	0.11043743354578812
116	6.0	0.0	6	0.12573440248767534
117	6.0	0.0	6	0.14878800635536513
118	50.0	4.0	50	0.167150716278702
119	16.0	1.0	16	0.19780295342206955
120	6.0	0.0	6	0.22541127850612006
121	50.0	4.0	50	0.15237499915063382
122	6.0	0.0	6	0.26532500485579175
123	16.0	1.0	16	0.20799719030037522
124	16.0	1.0	16	0.18375814333558083
125	38.0	3.0	38	0.23196382688260392
126	16.0	1.0	16	0.21605658973567188
127	38.0	3.0	38	0.19733193693192383
128	16.0	1.0	16	0.1651355060748756
129	16.0	1.0	16	0.17491389880888164
130	28.0	2.0	28	0.19086410710588098
131	6.0	0.0	6	0.20969092970093092
132	48.0	4.0	48	0.23770872907092175
133	6.0	0.0	6	0.15120503616829714
134	38.0	3.0	38	0.23267863749673492
135	16.0	1.0	16	0.2661575176753104
136	28.0	2.0	28	0.31917407736182213
137	6.0	0.0	6	0.39267608523368835
138	16.0	1.0	16	0.2094140702392906
139	6.0	0.0	6	0.3119640251000722
140	16.0	1.0	16	0.20910516800358891
141	26.0	2.0	26	0.31737635958080107
142	38.0	3.0	38	0.2574388319136281
143	16.0	1.0	16	0.2603316204622388
144	50.0	4.0	50	0.22638965521007776
145	16.0	1.0	16	0.3377374433912337
146	16.0	1.0	16	0.3009492475539446
147	28.0	2.0	28	0.27003573280360016
148	6.0	0.0	6	0.28681344787279767
149	16.0	1.0	16	0.22297875164076686
150	26.0	2.0	26	0.29436744262392706
151	38.0	3.0	38	0.3598938478451026
152	16.0	1.0	16	0.36738855484873056
153	38.0	3.0	38	0.29967681941037116
154	26.0	2.0	26	0.2853350169383563
155	16.0	1.0	16	0.2534250286407769
156	38.0	3.0	38	0.3283549198684724
157	38.0	3.0	38	0.32192046322712775
158	16.0	1.0	16	0.3089454604778439
159	6.0	0.0	6	0.37563195327917737
160	6.0	0.0	6	0.18027695889274278
161	26.0	2.0	26	0.30835454975469756
162	38.0	3.0	38	0.35367524172914655
163	70.0	6.0	70	0.3127459228038788
164	26.0	2.0	26	0.29132601690406984
165	28.0	2.0	28	0.28103495482355356
166	38.0	3.0	38	0.27431024620799643
167	38.0	3.0	38	0.3577026347384641
168	6.0	0.0	6	0.4019983857870102
169	48.0	4.0	48	0.43172670047109324
170	26.0	2.0	26	0.37925188415325606
171	62.0	5.0	62	0.43434035165175316
172	16.0	1.0	16	0.517124991863966
173	16.0	1.0	16	0.5296126385219395
174	62.0	5.0	62	0.5680647405885881
175	62.0	5.0	62	0.5600577229934354
176	38.0	3.0	38	0.6487860456109047
177	26.0	2.0	26	0.6084130208652753
178	26.0	2.0	26	0.5917614237047158
179	6.0	0.0	6	0.7670337110757828
180	6.0	0.0	6	0.7565185527006785
181	16.0	1.0	16	0.6099463868886232
182	38.0	3.0	38	0.7063534667617396
183	6.0	0.0	6	1.0426039770245552
184	6.0	0.0	6	0.6453683972358704
185	38.0	3.0	38	0.6146235446396627
186	16.0	1.0	16	0.5304462828207761
187	48.0	4.0	48	0.6134604279262325
188	38.0	3.0	38	0.41766862777110775
189	16.0	1.0	16	0.42275847494602203
190	38.0	3.0	38	0.3840266826905702
191	16.0	1.0	16	0.46593157574534416
192	16.0	1.0	16	0.47518347948789597
193	16.0	1.0	16	0.2980909417383373
194	70.0	6.0	70	0.37107636835426094
195	16.0	1.0	16	0.31039807479828596
196	70.0	6.0	70	0.37035954259335996
197	38.0	3.0	38	0.40279979729338694
198	6.0	0.0	6	0.7793029149373373
199	16.0	1.0	16	0.28305606660433114
200	26.0	2.0	26	0.38545261094203365
201	16.0	1.0	16	0.3824062687344849
202	26.0	2.0	26	0.440537390514062
203	26.0	2.0	26	0.3688630966039804
204	6.0	0.0	6	0.2813645526766777
205	6.0	0.0	6	0.2746589357654254
206	38.0	3.0	38	0.4132072696168172
207	16.0	1.0	16	0.6029461361467838
208	6.0	0.0	6	0.42927737285693485
209	38.0	3.0	38	0.38479366251512576
210	26.0	2.0	26	0.3838601072247212
211	38.0	3.0	38	0.3448345444508289
212	28.0	2.0	28	0.39468979156975237
213	28.0	2.0	28	0.2777277569153479
214	26.0	2.0	26	0.4033912827189152
215	28.0	2.0	28	0.2750172869169286
216	6.0	0.0	6	0.3025486295421918
217	16.0	1.0	16	0.287896822206676
218	6.0	0.0	6	0.43894513075550395
219	38.0	3.0	38	0.37137303638615105
220	38.0	3.0	38	0.32759028437890503
221	26.0	2.0	26	0.33641964627000004
222	28.0	2.0	28	0.35373061935284306
223	26.0	2.0	26	0.32218269029488933
224	48.0	4.0	48	0.39023457110549015
225	16.0	1.0	16	0.380561581812799
226	38.0	3.0	38	0.36116528295372663
227	60.0	5.0	60	0.3819946963340044
228	6.0	0.0	6	0.2744462837775548
229	16.0	1.0	16	0.3394792377948761
230	16.0	1.0	16	0.35760559886693954
231	38.0	3.0	38	0.36230732539766713
232	28.0	2.0	28	0.36677196781550137
233	38.0	3.0	38	0.34550344885179873
234	38.0	3.0	38	0.44753745247266796
235	26.0	2.0	26	0.4591970000989162
236	38.0	3.0	38	0.3176340221574432
237	38.0	3.0	38	0.3318473436428528
238	48.0	4.0	48	0.36797914824758965
239	26.0	2.0	26	0.38260154956235337
240	38.0	3.0	38	0.451411976233909
241	38.0	3.0	38	0.3765867402482974
242	26.0	2.0	26	0.39470842910500675
243	6.0	0.0	6	0.38491159956902266
244	38.0	3.0	38	0.4202301068917701
245	38.0	3.0	38	0.42440597046362727
246	16.0	1.0	16	0.31033936934545636
247	38.0	3.0	38	0.4232419687078187
248	6.0	0.0	6	0.6028382778167725
249	16.0	1.0	16	0.40029859240166843
250	38.0	3.0	38	0.3890348577773885
251	6.0	0.0	6	0.38029177983601886
252	48.0	4.0	48	0.3433469955343753
253	26.0	2.0	26	0.5150501281023026
254	6.0	0.0	6	0.5327330579360327
255	38.0	3.0	38	0.36517050872115714
256	26.0	2.0	26	0.3114679478682004
257	6.0	0.0	6	0.20552301748345295
258	6.0	0.0	6	0.24659145126740137
259	38.0	3.0	38	0.36704811512639646
260	38.0	3.0	38	0.3952606638991519
261	38.0	3.0	38	0.3097164279928333
262	38.0	3.0	38	0.345613045666955
263	28.0	2.0	28	0.2786273860505649
264	26.0	2.0	26	0.381964129037582
265	16.0	1.0	16	0.333709261380136
266	16.0	1.0	16	0.3580696205608547
267	26.0	2.0	26	0.30393282954509443
268	26.0	2.0	26	0.27879864607865995
269	28.0	2.0	28	0.23542122369898216
270	26.0	2.0	26	0.29676764587370247
271	6.0	0.0	6	0.23203447088599205
272	26.0	2.0	26	0.29088856580738837
273	26.0	2.0	26	0.38300208346201825
274	6.0	0.0	6	0.20112578198313713
275	26.0	2.0	26	0.37464383466599077
276	26.0	2.0	26	0.290423764489018
277	16.0	1.0	16	0.41366201639175415
278	48.0	4.0	48	0.3244251371361315
279	26.0	2.0	26	0.3664074848191096
280	26.0	2.0	26	0.35033451737119603
281	6.0	0.0	6	0.3287894626458486
282	16.0	1.0	16	0.33725623739883304
283	38.0	3.0	38	0.4054662512713357
284	28.0	2.0	28	0.35078718699514866
285	16.0	1.0	16	0.3687090181047097
286	50.0	4.0	50	0.3368906301632524
287	6.0	0.0	6	0.37218959629535675
288	16.0	1.0	16	0.39502311940304935
289	6.0	0.0	6	0.4179152399301529
290	28.0	2.0	28	0.4247174064761826
291	6.0	0.0	6	0.45876266062259674
292	26.0	2.0	26	0.43737691999054873
293	38.0	3.0	38	0.34670257788935777
294	28.0	2.0	28	0.3710373543602015
295	16.0	1.0	16	0.3342312416061759
296	38.0	3.0	38	0.3238931636473066
297	28.0	2.0	28	0.4114236839647804
298	70.0	6.0	70	0.3482812935752528
299	6.0	0.0	6	0.21600190425912538
300	16.0	1.0	16	0.2606098329415545
301	38.0	3.0	38	0.3176801293769753
302	28.0	2.0	28	0.31285046386931625
303	16.0	1.0	16	0.3235413720831275
304	16.0	1.0	16	0.41339225554838777
305	48.0	4.0	48	0.3986398890459289
306	16.0	1.0	16	0.34956996655091643
307	16.0	1.0	16	0.2662327226717025
308	16.0	1.0	16	0.4674020945094526
309	38.0	3.0	38	0.3626527599990368
310	6.0	0.0	6	0.232168755804499
311	26.0	2.0	26	0.37241940286297065
312	38.0	3.0	38	0.31785212805200563
313	6.0	0.0	6	0.24624348680178323
314	28.0	2.0	28	0.2818696717066424
315	26.0	2.0	26	0.3274797714100434
316	6.0	0.0	6	0.1394494380801916
317	6.0	0.0	6	0.3109399030605952
318	38.0	3.0	38	0.3463521797798182
319	60.0	5.0	60	0.27913686266789833
320	6.0	0.0	6	0.22101905817786852
