Episode	Episode_Length	Episode_Reward	Training_Update_Count	Average_Training_Loss
1	79.0	4.0	48	0.04859680198812081
2	57.0	5.0	57	0.03364087608561181
3	27.0	0.0	27	0.02901993897157135
4	68.0	8.0	68	0.03371374821290374
5	86.0	10.0	86	0.02653161769862785
6	17.0	1.0	17	0.024037318769842386
7	17.0	1.0	17	0.015228252474437742
8	37.0	2.0	37	0.01026274374610669
9	69.0	8.0	69	0.018089637771059854
10	88.0	11.0	88	0.015765930541833353
11	18.0	1.0	18	0.01104353435544504
12	215.0	14.0	215	0.021118823950027312
13	18.0	2.0	18	0.0233200920952691
14	57.0	2.0	57	0.04772502620165285
15	98.0	8.0	98	0.0292132936075938
16	17.0	2.0	17	0.030229078770122108
17	67.0	2.0	67	0.026543293884997047
18	68.0	2.0	68	0.025476211976424298
19	17.0	2.0	17	0.03382388973499045
20	57.0	3.0	57	0.027703371781267618
21	47.0	6.0	47	0.029452392791813994
22	118.0	13.0	118	0.036515282648536616
23	56.0	7.0	56	0.03161796386952379
24	27.0	3.0	27	0.04176887931923071
25	66.0	4.0	66	0.03611218930701866
26	56.0	5.0	56	0.037787895483363955
27	48.0	3.0	48	0.03755218357158204
28	27.0	0.0	27	0.05458172224462032
29	58.0	5.0	58	0.043441852410163344
30	27.0	3.0	27	0.07330840929514831
31	77.0	7.0	77	0.04923678566883137
32	27.0	4.0	27	0.06093178710175885
33	46.0	5.0	46	0.06277754708476689
34	56.0	1.0	56	0.0588684950822166
35	86.0	3.0	86	0.06858904145354795
36	18.0	2.0	18	0.08012454563544856
37	39.0	4.0	39	0.10460093980416274
38	77.0	6.0	77	0.08154940000408656
39	27.0	1.0	27	0.07714527224500974
40	186.0	14.0	186	0.06516266424929903
41	56.0	2.0	56	0.06110176340942936
42	38.0	4.0	38	0.06186128378306564
43	17.0	2.0	17	0.050023878650630224
44	47.0	7.0	47	0.07251802411802272
45	167.0	12.0	167	0.07459197983056486
46	17.0	2.0	17	0.07172343091053121
47	76.0	7.0	76	0.07145561731273406
48	37.0	2.0	37	0.09191074383419913
49	56.0	9.0	56	0.10743409475045544
