Episode	Episode_Length	Episode_Reward	Training_Update_Count	Average_Training_Loss
1	48.0	5.0	17	0.0978226587176323
2	66.0	1.0	66	0.04128487506232253
3	115.0	3.0	115	0.022621690415088897
4	17.0	2.0	17	0.011878589716027765
5	17.0	0.0	17	0.006098883199122022
6	67.0	7.0	67	0.01118632520326594
7	46.0	6.0	46	0.014159692577896234
8	76.0	4.0	76	0.02279196402339853
9	17.0	2.0	17	0.015188720940119204
10	57.0	6.0	57	0.02027385036885869
11	17.0	2.0	17	0.0137658044558895
12	27.0	1.0	27	0.010444006899854651
13	167.0	10.0	167	0.024697616798133995
14	46.0	1.0	46	0.017779816903740815
15	17.0	2.0	17	0.014430278227390611
16	28.0	2.0	28	0.04473492253704795
17	18.0	2.0	18	0.027650711902727682
18	27.0	2.0	27	0.02352908357150025
19	37.0	2.0	37	0.02645246357329794
20	116.0	11.0	116	0.03253280078382071
21	39.0	5.0	39	0.02809177914586587
22	39.0	4.0	39	0.03241703969736894
23	27.0	3.0	27	0.040847979210041185
24	66.0	2.0	66	0.029875404709442097
25	27.0	2.0	27	0.032246995372352774
26	76.0	1.0	76	0.02488671300785714
27	128.0	16.0	128	0.037551325105596334
28	18.0	2.0	18	0.039606238508390054
29	27.0	3.0	27	0.04138046268511702
30	96.0	8.0	96	0.05116138028097339
31	47.0	4.0	47	0.055073723791444554
32	27.0	3.0	27	0.052950085106271284
33	27.0	1.0	27	0.04262380308851048
34	48.0	3.0	48	0.05082541816712668
35	125.0	2.0	125	0.05407398534566164
36	28.0	3.0	28	0.048834950397057195
37	17.0	2.0	17	0.04438684946473907
38	37.0	2.0	37	0.057473119448971106
39	46.0	3.0	46	0.060810735813625484
40	27.0	2.0	27	0.052422906168633036
41	67.0	6.0	67	0.08947262254112692
42	46.0	2.0	46	0.10175647708060949
43	76.0	6.0	76	0.07523686698588886
44	17.0	1.0	17	0.05983037271482103
45	66.0	7.0	66	0.09458811016696872
46	225.0	12.0	225	0.07318110729257266
47	87.0	7.0	87	0.07874168791733253
48	58.0	8.0	58	0.08500592282106137
49	194.0	14.0	194	0.10650001312654044
50	18.0	1.0	18	0.10642369567520088
51	117.0	10.0	117	0.09024040474214105
52	39.0	6.0	39	0.12166641652584076
53	18.0	2.0	18	0.08932651931213008
54	145.0	10.0	145	0.11150808045319442
55	89.0	11.0	89	0.10115439561980494
56	39.0	4.0	39	0.09726610168432578
57	66.0	7.0	66	0.1177060953482534
58	27.0	3.0	27	0.11761667137896573
59	164.0	12.0	164	0.1230743376356436
60	17.0	2.0	17	0.08764075202976956
61	17.0	1.0	17	0.10855246773537468
62	38.0	5.0	38	0.11483930433659177
63	148.0	13.0	148	0.1404025637469179
64	155.0	13.0	155	0.1207320606035571
65	56.0	5.0	56	0.11425504520801562
66	67.0	8.0	67	0.1405272599476487
67	28.0	2.0	28	0.13518502536628926
68	126.0	11.0	126	0.14904491346152055
