Episode	Episode_Length	Episode_Reward	Training_Update_Count	Average_Training_Loss
1	18.0	2.0	0	0
2	38.0	4.0	25	0.025327754728496073
3	175.0	6.0	175	0.005993013890194041
4	77.0	8.0	77	0.004349565966502316
5	126.0	8.0	126	0.00528906102824424
6	76.0	2.0	76	0.004439910025164289
7	27.0	3.0	27	0.0066022393811080195
8	37.0	5.0	37	0.006689955197224343
9	27.0	3.0	27	0.004830562863153992
10	37.0	3.0	37	0.007232989184558392
11	18.0	2.0	18	0.008648550034397177
12	37.0	4.0	37	0.00663961551932467
13	28.0	2.0	28	0.007017763730670724
14	27.0	2.0	27	0.005055220616567466
15	17.0	2.0	17	0.005522691658424104
16	66.0	1.0	66	0.004751700646893093
17	87.0	9.0	87	0.004211589059760344
18	17.0	1.0	17	0.002989465863827397
19	17.0	2.0	17	0.003016585621106274
20	27.0	1.0	27	0.002935944530354054
21	98.0	12.0	98	0.0034457598765361675
22	17.0	1.0	17	0.0023207374684074346
23	56.0	4.0	56	0.002238606466562487
24	27.0	0.0	27	0.0020010553265887277
25	67.0	3.0	67	0.0018146416961229337
26	27.0	3.0	27	0.0015570223935086418
27	86.0	3.0	86	0.0014458136791417504
28	67.0	3.0	67	0.0015674485762450677
29	56.0	6.0	56	0.0017452992656866886
30	27.0	3.0	27	0.001173887804961177
31	225.0	11.0	225	0.0011774666096446
32	17.0	1.0	17	0.0008661551572218099
33	56.0	5.0	56	0.0008574634879810869
34	17.0	2.0	17	0.0008369231432238046
35	56.0	5.0	56	0.000749545765367137
36	66.0	2.0	66	0.0008228617432795352
37	46.0	5.0	46	0.0006655541858534613
38	18.0	3.0	18	0.0007699403892426441
39	17.0	2.0	17	0.0009483257548280937
40	46.0	6.0	46	0.001152389530983308
41	87.0	8.0	87	0.00112075742665978
42	18.0	1.0	18	0.0007587549916934222
43	18.0	2.0	18	0.0009205226896382454
44	46.0	7.0	46	0.0007981059366695421
45	177.0	12.0	177	0.0009659112902689662
46	47.0	2.0	47	0.0008057055714976121
47	46.0	1.0	46	0.0007563069362810853
48	27.0	2.0	27	0.0007552071948777195
49	126.0	13.0	126	0.0007265922514119349
50	77.0	3.0	77	0.0006828677157157814
51	17.0	1.0	17	0.0006170080587788321
52	17.0	2.0	17	0.0006698672796654351
53	39.0	6.0	39	0.000749336397394729
54	37.0	4.0	37	0.0007884832621375854
55	66.0	6.0	66	0.0006896693287699511
56	27.0	4.0	27	0.0013344150631585056
57	56.0	3.0	56	0.0008257147518244372
58	18.0	2.0	18	0.0006686618580715731
59	96.0	7.0	96	0.0008810757996495037
60	56.0	8.0	56	0.0008337755612696388
61	67.0	8.0	67	0.0007634267763498781
62	17.0	2.0	17	0.000756289905813687
63	87.0	7.0	87	0.0008783776757318055
64	29.0	3.0	29	0.0009269341866582118
65	27.0	3.0	27	0.0010136885620239708
66	27.0	4.0	27	0.0008496295238189676
67	88.0	9.0	88	0.0011044862783984916
68	27.0	2.0	27	0.0008935977282278516
69	117.0	7.0	117	0.0009766654220895253
70	96.0	10.0	96	0.0019652399932965636
71	76.0	1.0	76	0.0011589642166846285
72	37.0	4.0	37	0.0010459763973296897
73	17.0	1.0	17	0.0010790326118962292
74	156.0	9.0	156	0.0011670123901403246
75	17.0	3.0	17	0.000950766819775762
76	56.0	8.0	56	0.0011801414595018806
77	57.0	8.0	57	0.0012433444836029881
78	88.0	9.0	88	0.0009955362124442631
79	206.0	14.0	206	0.0014884942027545778
80	56.0	9.0	56	0.001382330024041169
81	17.0	2.0	17	0.0010259222609045751
82	27.0	4.0	27	0.0015163132769952495
83	27.0	3.0	27	0.001345763353768874
84	17.0	1.0	17	0.0020822113557883047
85	87.0	11.0	87	0.0016924368047647863
86	56.0	5.0	56	0.0016325757439647401
87	38.0	5.0	38	0.0016002355780648557
88	46.0	7.0	46	0.0013605163207419378
89	57.0	3.0	57	0.0020754377423017694
