Episode	Episode_Length	Episode_Reward	Training_Update_Count	Average_Training_Loss
1	116.0	3.0	85	0.015130324343986371
2	21.0	0.0	21	0.00737154374586507
3	141.0	1.0	141	0.008822584473148173
4	26.0	0.0	26	0.004990006138821348
5	63.0	1.0	63	0.009502824469809495
6	130.0	2.0	130	0.008090210024518176
7	107.0	2.0	107	0.008661550143298424
8	73.0	1.0	73	0.009884636562113485
9	96.0	1.0	96	0.008941310736796973
10	82.0	0.0	82	0.010805481956794677
11	57.0	1.0	57	0.008000061165116597
12	58.0	0.0	58	0.010988846192425438
13	104.0	0.0	104	0.010017536244749162
14	166.0	3.0	166	0.010395658536286777
15	43.0	0.0	43	0.009255282266801872
16	82.0	1.0	82	0.009397120067350022
17	16.0	0.0	16	0.0108766574121546
18	104.0	1.0	104	0.01418946787285117
19	122.0	3.0	122	0.018667672222602318
20	37.0	0.0	37	0.017501029362146918
21	128.0	3.0	128	0.014434657297897502
22	55.0	0.0	55	0.01655635568736629
23	35.0	0.0	35	0.01874688102730683
24	39.0	0.0	39	0.01662217770727017
25	164.0	1.0	164	0.01653489948068632
26	76.0	0.0	76	0.017058669105417243
27	85.0	1.0	85	0.019537846601622947
28	13.0	0.0	13	0.024629716224108752
29	46.0	0.0	46	0.01648094657930019
30	79.0	1.0	79	0.018783319476237403
31	81.0	1.0	81	0.01966772920647521
32	132.0	1.0	132	0.019869913586951567
33	46.0	1.0	46	0.027607631727891123
34	75.0	1.0	75	0.022474634560445943
35	52.0	0.0	52	0.026324362243310764
36	29.0	0.0	29	0.024323698518605066
37	28.0	0.0	28	0.01975527116363602
38	231.0	2.0	231	0.02773935575586506
39	82.0	1.0	82	0.029444310410947697
40	25.0	0.0	25	0.0337109150737524
41	37.0	0.0	37	0.025165467497867508
42	38.0	0.0	38	0.030486984791136103
43	40.0	0.0	40	0.026052025239914657
44	57.0	1.0	57	0.04154111735784171
45	36.0	0.0	36	0.03619513947827121
46	105.0	1.0	105	0.040323351527608575
47	37.0	0.0	37	0.02910414192120771
48	46.0	1.0	46	0.03623613543079599
49	83.0	2.0	83	0.04127397874078478
50	27.0	0.0	27	0.057637472809464844
51	45.0	0.0	45	0.0434311534381575
52	120.0	1.0	120	0.045939161985491715
53	115.0	1.0	115	0.05237165890310121
54	90.0	1.0	90	0.06022408817791276
55	97.0	1.0	97	0.04403594973468289
56	99.0	0.0	99	0.05075678549180127
57	142.0	2.0	142	0.063650904859508
58	87.0	1.0	87	0.05659044217104199
59	41.0	0.0	41	0.0647575780749321
60	81.0	1.0	81	0.06364075793528262
61	156.0	1.0	156	0.0800391988685498
62	80.0	1.0	80	0.08122920475434511
63	91.0	1.0	91	0.07683588283975701
64	96.0	2.0	96	0.10345503315329552
65	50.0	0.0	50	0.07593611896038055
66	18.0	0.0	18	0.12004598023162948
67	66.0	1.0	66	0.10635242865166881
68	135.0	1.0	135	0.10214625021649731
69	131.0	3.0	131	0.1045015444623605
70	202.0	0.0	202	0.10880074589190507
71	63.0	1.0	63	0.09880382606079655
72	87.0	1.0	87	0.13179160616007343
73	33.0	0.0	33	0.1303156658329747
74	97.0	0.0	97	0.1420569615342568
75	57.0	0.0	57	0.1510075220936223
76	59.0	0.0	59	0.13912292601445975
77	37.0	0.0	37	0.16602575638004252
78	41.0	0.0	41	0.16133679976550544
79	22.0	0.0	22	0.10913675498556007
80	93.0	1.0	93	0.16743682112584832
81	250.0	2.0	250	0.16651287819445132
82	51.0	0.0	51	0.14069775046378957
83	19.0	0.0	19	0.15672754555156357
84	66.0	1.0	66	0.13858782737092537
85	53.0	0.0	53	0.14924729165603529
86	97.0	2.0	97	0.154714470479599
87	44.0	0.0	44	0.2270460653711449
88	72.0	0.0	72	0.17565445964121157
89	38.0	0.0	38	0.1390514489459364
90	51.0	0.0	51	0.19271106199890958
91	41.0	0.0	41	0.1866889519662392
92	29.0	0.0	29	0.15955493123880748
93	71.0	0.0	71	0.1832664282074277
94	96.0	1.0	96	0.20192393202645084
95	93.0	1.0	93	0.23572193470693403
96	12.0	0.0	12	0.35438773532708484
97	27.0	0.0	27	0.2365057741602262
98	116.0	2.0	116	0.2676395073468829
99	75.0	0.0	75	0.2248946828643481
100	48.0	0.0	48	0.2415027723958095
101	63.0	0.0	63	0.23718650804625618
102	163.0	1.0	163	0.23208612948656082
103	34.0	0.0	34	0.3236079141497612
104	146.0	4.0	146	0.29583883022710883
105	261.0	2.0	261	0.23633650547585724
106	46.0	0.0	46	0.3272882722642111
107	41.0	0.0	41	0.27566845842250964
108	21.0	0.0	21	0.23698358379659198
109	94.0	0.0	94	0.24020672732211173
110	121.0	2.0	121	0.3003093986964423
