Episode	Episode_Length	Episode_Reward	Training_Update_Count	Average_Training_Loss
1	68.0	8.0	37	0.11624968253277443
2	28.0	2.0	28	0.08418007461088044
3	105.0	5.0	105	0.05578604961878487
4	27.0	2.0	27	0.047336579127996055
5	27.0	1.0	27	0.029907220284695977
6	126.0	7.0	126	0.02315275144896337
7	37.0	6.0	37	0.028117883170174586
8	106.0	7.0	106	0.02108702619278909
9	27.0	2.0	27	0.0187037014229982
10	17.0	1.0	17	0.021259501631207326
11	17.0	3.0	17	0.02053088481154512
12	38.0	4.0	38	0.024066698247272717
13	17.0	1.0	17	0.020660985151634496
14	27.0	2.0	27	0.018881033329914015
15	28.0	3.0	28	0.023177224128240987
16	56.0	8.0	56	0.023133517376014164
17	38.0	2.0	38	0.01785998842924049
18	106.0	5.0	106	0.024672145722433925
19	18.0	2.0	18	0.019853022777371936
20	105.0	4.0	105	0.022271233326977207
21	27.0	1.0	27	0.029002005682775268
22	126.0	6.0	126	0.02069318688858951
23	116.0	12.0	116	0.03075664797958372
24	17.0	2.0	17	0.0441316004623385
25	66.0	3.0	66	0.03376921826522007
26	176.0	15.0	176	0.030511425829238513
27	106.0	9.0	106	0.030213355613907554
28	17.0	2.0	17	0.027888755423619467
29	17.0	2.0	17	0.025958926471717218
30	77.0	6.0	77	0.028689492179395315
31	17.0	2.0	17	0.027640454854597065
32	18.0	2.0	18	0.02802005022143324
33	17.0	1.0	17	0.03867276429253466
34	126.0	6.0	126	0.03727555114199363
35	96.0	9.0	96	0.030677626045265544
36	17.0	1.0	17	0.03342354188070578
37	27.0	4.0	27	0.030512678574908664
38	17.0	2.0	17	0.03782004906850703
39	18.0	1.0	18	0.04236163374864393
40	66.0	7.0	66	0.0321115191715459
41	79.0	8.0	79	0.04461176028545899
42	38.0	5.0	38	0.04019306281483487
43	27.0	2.0	27	0.03746119693473533
44	37.0	4.0	37	0.03685056174022926
45	76.0	6.0	76	0.040087470895071566
46	67.0	3.0	67	0.046977483792536294
47	116.0	12.0	116	0.04753464071786609
48	18.0	2.0	18	0.056120600240925946
49	17.0	2.0	17	0.07477868359316797
50	17.0	1.0	17	0.05921554795521147
51	17.0	2.0	17	0.06951069755150992
52	27.0	4.0	27	0.04569187484405659
53	17.0	2.0	17	0.030462208587457153
54	17.0	2.0	17	0.06007014905266902
55	17.0	2.0	17	0.0465209907030358
56	27.0	3.0	27	0.06765967497119198
57	47.0	5.0	47	0.06408253044603353
58	46.0	5.0	46	0.05148318304639796
59	137.0	12.0	137	0.05965841758697137
60	56.0	9.0	56	0.06822602371019977
61	27.0	4.0	27	0.07161401419175996
62	17.0	1.0	17	0.06538982415462241
63	27.0	4.0	27	0.06409570498874893
64	48.0	7.0	48	0.08216825628187507
65	37.0	3.0	37	0.08904261887073517
66	17.0	1.0	17	0.09694795715896522
67	167.0	16.0	167	0.08403333751652055
68	37.0	6.0	37	0.0870472198301876
69	18.0	2.0	18	0.09692808023343484
70	17.0	2.0	17	0.08533584425116286
71	66.0	1.0	66	0.06796961980448528
72	37.0	5.0	37	0.06398518594938356
73	17.0	2.0	17	0.09557419094969244
74	17.0	2.0	17	0.08634970928816234
75	126.0	6.0	126	0.07904792259195967
76	37.0	5.0	37	0.10000686347484589
77	27.0	3.0	27	0.07954458216274227
78	46.0	6.0	46	0.09814864299867464
79	27.0	3.0	27	0.10722672021775334
80	66.0	7.0	66	0.07617477417895288
81	47.0	4.0	47	0.1010788711620138
82	17.0	2.0	17	0.06937800260151133
83	56.0	7.0	56	0.10675806372559496
84	57.0	4.0	57	0.09813215799237553
85	18.0	1.0	18	0.10878911966251002
86	18.0	2.0	18	0.10642034353481399
87	56.0	6.0	56	0.10826600066918347
88	56.0	4.0	56	0.09709925410736885
89	18.0	2.0	18	0.1033854592177603
90	59.0	6.0	59	0.09582465078871129
91	47.0	7.0	47	0.11228981653743601
92	46.0	5.0	46	0.14861059302221175
93	66.0	7.0	66	0.10470342359533816
94	46.0	6.0	46	0.08517637856952522
95	86.0	10.0	86	0.10765717325862063
96	38.0	4.0	38	0.08553146865022809
97	17.0	1.0	17	0.11477780583150246
98	47.0	2.0	47	0.16400420491365678
99	27.0	3.0	27	0.10210510005277616
100	38.0	5.0	38	0.14479367611439606
101	18.0	2.0	18	0.13945550181799465
102	17.0	2.0	17	0.16248259737211115
103	17.0	1.0	17	0.1510715646778836
104	76.0	10.0	76	0.13015538106035246
105	125.0	8.0	125	0.13501371230185033
106	17.0	2.0	17	0.1787452003096833
107	125.0	13.0	125	0.14380264221131803
108	117.0	13.0	117	0.1298312937410978
109	37.0	4.0	37	0.1418602238031658
110	46.0	5.0	46	0.12542724107270656
111	89.0	9.0	89	0.16839041678088434
112	98.0	8.0	98	0.1523139896441479
113	29.0	4.0	29	0.15457289640245767
114	68.0	7.0	68	0.17930598425514557
115	28.0	3.0	28	0.24345402898533003
116	17.0	1.0	17	0.19916211945169113
117	38.0	5.0	38	0.17052926358423734
118	28.0	4.0	28	0.19588629023305007
119	17.0	2.0	17	0.16544718645951328
120	137.0	14.0	137	0.18226734043037804
121	46.0	4.0	46	0.16066910261693207
122	166.0	14.0	166	0.18549265898764133
123	137.0	13.0	137	0.16885935517884518
124	28.0	3.0	28	0.2617180561646819
125	56.0	6.0	56	0.15227762223886593
126	47.0	7.0	47	0.20300998966744604
127	97.0	11.0	97	0.21601402010653437
128	157.0	17.0	157	0.22570600616893952
129	108.0	11.0	108	0.2534064963390982
130	57.0	5.0	57	0.2643699783243631
131	28.0	3.0	28	0.20596325450709888
132	88.0	10.0	88	0.21267089171504433
133	118.0	14.0	118	0.18871890027391708
134	158.0	14.0	158	0.24453807259096375
135	107.0	13.0	107	0.21641384152190707
136	136.0	17.0	136	0.23693471152664108
137	215.0	17.0	215	0.20169863359526147
138	147.0	12.0	147	0.17698988039680077
139	46.0	7.0	46	0.18451633684985017
140	167.0	18.0	167	0.2214893037732133
141	57.0	9.0	57	0.26460495610770424
142	69.0	8.0	69	0.23545286026985748
143	17.0	2.0	17	0.219881332534201
144	38.0	6.0	38	0.24755076691508293
145	27.0	3.0	27	0.2719799858276491
146	108.0	12.0	108	0.25188490061986224
147	37.0	5.0	37	0.23384051910928777
148	137.0	11.0	137	0.275079674039879
149	17.0	2.0	17	0.3461848926894805
150	17.0	1.0	17	0.2965044751763344
151	156.0	19.0	156	0.22893892696652657
152	27.0	3.0	27	0.2860967536215429
153	98.0	12.0	98	0.25425264300132283
154	29.0	4.0	29	0.15256896769178324
155	57.0	8.0	57	0.27534620437705726
156	89.0	14.0	89	0.25322123524847995
157	46.0	5.0	46	0.18539224330173887
158	37.0	6.0	37	0.24693355638835882
159	156.0	15.0	156	0.290693269803738
160	46.0	4.0	46	0.34332098228775937
161	68.0	8.0	68	0.28983475443194895
162	107.0	13.0	107	0.2819558096196607
163	67.0	10.0	67	0.27662690284092034
164	28.0	3.0	28	0.18986822824393
165	46.0	7.0	46	0.24892968562958034
166	77.0	10.0	77	0.263489606221775
167	97.0	11.0	97	0.2662304713553989
168	137.0	18.0	137	0.26125599558118484
169	79.0	12.0	79	0.29389478497301474
170	48.0	6.0	48	0.30481730711956817
171	184.0	15.0	184	0.3153526023556681
172	39.0	6.0	39	0.2856025888751715
173	37.0	7.0	37	0.30973911466630727
174	148.0	16.0	148	0.32227060802885005
175	77.0	6.0	77	0.3521361660647702
176	155.0	19.0	155	0.3347552420150849
177	48.0	7.0	48	0.29635615972802043
178	243.0	22.0	243	0.3183495511795268
179	38.0	5.0	38	0.3098985037129176
180	117.0	14.0	117	0.3520100500084396
181	136.0	19.0	136	0.28975639086874094
182	258.0	21.0	258	0.32257292376354685
183	46.0	5.0	46	0.3199327759768652
184	76.0	11.0	76	0.2757983733164637
185	76.0	9.0	76	0.36188362558421333
186	58.0	10.0	58	0.2154149920519056
187	17.0	3.0	17	0.2254420499152997
