Episode	Episode_Length	Episode_Reward	Training_Update_Count	Average_Training_Loss
1	77.0	5.0	46	0.07173552892535277
2	86.0	5.0	86	0.045277942860022534
3	56.0	4.0	56	0.04564725049671584
4	46.0	7.0	46	0.051320563779091055
5	17.0	1.0	17	0.06345613311757059
6	66.0	3.0	66	0.042498374273153866
7	17.0	1.0	17	0.024325509500854155
8	46.0	4.0	46	0.04036139648245728
9	224.0	15.0	224	0.03158949718635995
10	76.0	2.0	76	0.026705785568705516
11	67.0	3.0	67	0.02015051860431793
12	17.0	1.0	17	0.01619672410957077
13	106.0	10.0	106	0.025595644014483353
14	96.0	5.0	96	0.021994031543727033
15	17.0	1.0	17	0.04525666574344916
16	87.0	1.0	87	0.02748399185038161
17	47.0	6.0	47	0.024198793122505256
18	77.0	4.0	77	0.02974513943561099
19	28.0	4.0	28	0.034311717708728144
20	27.0	3.0	27	0.03376068512874621
21	17.0	1.0	17	0.032910463016699344
22	47.0	1.0	47	0.029490602896251578
23	28.0	2.0	28	0.02614341503275292
24	28.0	2.0	28	0.029103980482822017
25	105.0	8.0	105	0.04032329591434626
26	57.0	3.0	57	0.04011608630810913
27	47.0	6.0	47	0.03307016308795899
28	27.0	4.0	27	0.042795299328173754
29	116.0	12.0	116	0.036371071622225234
30	17.0	2.0	17	0.04981039886308067
31	38.0	3.0	38	0.05232131527736783
32	17.0	2.0	17	0.05970714580925072
33	17.0	1.0	17	0.051019840928561544
34	18.0	2.0	18	0.041403747681114406
35	18.0	3.0	18	0.04447552892896864
36	46.0	3.0	46	0.04892272186344084
37	38.0	2.0	38	0.04979844508986724
38	88.0	5.0	88	0.04672958023465154
39	48.0	4.0	48	0.03439122213361164
40	125.0	5.0	125	0.040196244843304155
41	27.0	4.0	27	0.07404898803819109
42	87.0	3.0	87	0.04352493189146806
43	97.0	8.0	97	0.053752404253584206
44	27.0	3.0	27	0.05382410581741068
45	56.0	6.0	56	0.05841841931188745
46	47.0	3.0	47	0.056784008589989325
47	58.0	5.0	58	0.0637654495297064
48	56.0	7.0	56	0.06322452136581498
49	98.0	11.0	98	0.05731726129900436
50	28.0	3.0	28	0.04967944194296641
51	27.0	2.0	27	0.07152572681230528
52	87.0	9.0	87	0.06580926443653545
53	37.0	5.0	37	0.062417668567315954
54	46.0	3.0	46	0.05603818567064793
55	66.0	6.0	66	0.06680042751020554
56	17.0	2.0	17	0.06997505400110693
57	66.0	9.0	66	0.06255848423549623
58	47.0	5.0	47	0.06664992718303457
59	17.0	2.0	17	0.05467327656772207
60	57.0	6.0	57	0.09477372862921472
61	57.0	6.0	57	0.0767342041393644
