episode,length,reward
1,6.0,0.0
2,26.0,2.0
3,6.0,0.0
4,28.0,2.0
5,6.0,0.0
6,16.0,1.0
7,6.0,0.0
8,6.0,0.0
9,16.0,1.0
10,6.0,0.0
11,6.0,0.0
12,16.0,1.0
13,6.0,0.0
14,16.0,1.0
15,16.0,1.0
16,16.0,1.0
17,6.0,0.0
18,6.0,0.0
19,16.0,1.0
20,6.0,0.0
21,28.0,2.0
22,6.0,0.0
23,16.0,1.0
24,6.0,0.0
25,16.0,1.0
26,6.0,0.0
27,6.0,0.0
28,16.0,1.0
29,6.0,0.0
30,6.0,0.0
31,6.0,0.0
32,16.0,1.0
33,6.0,0.0
34,6.0,0.0
35,6.0,0.0
36,16.0,1.0
37,6.0,0.0
38,6.0,0.0
39,6.0,0.0
40,16.0,1.0
41,6.0,0.0
42,28.0,2.0
43,16.0,1.0
44,16.0,1.0
45,6.0,0.0
46,6.0,0.0
47,16.0,1.0
48,6.0,0.0
49,16.0,1.0
50,16.0,1.0
51,6.0,0.0
52,6.0,0.0
53,16.0,1.0
54,6.0,0.0
55,6.0,0.0
56,6.0,0.0
57,6.0,0.0
58,6.0,0.0
59,6.0,0.0
60,6.0,0.0
61,6.0,0.0
62,6.0,0.0
63,6.0,0.0
64,16.0,1.0
65,6.0,0.0
66,16.0,1.0
67,6.0,0.0
68,6.0,0.0
69,26.0,2.0
70,16.0,1.0
71,26.0,2.0
72,16.0,1.0
73,6.0,0.0
74,6.0,0.0
75,6.0,0.0
76,16.0,1.0
77,6.0,0.0
78,16.0,1.0
79,6.0,0.0
80,6.0,0.0
81,6.0,0.0
82,6.0,0.0
83,16.0,1.0
84,6.0,0.0
85,6.0,0.0
86,6.0,0.0
87,16.0,1.0
88,6.0,0.0
89,6.0,0.0
90,6.0,0.0
91,6.0,0.0
92,6.0,0.0
93,6.0,0.0
94,16.0,1.0
95,16.0,1.0
96,6.0,0.0
97,6.0,0.0
98,6.0,0.0
99,6.0,0.0
100,16.0,1.0
101,6.0,0.0
102,6.0,0.0
103,6.0,0.0
104,38.0,3.0
105,6.0,0.0
106,6.0,0.0
107,6.0,0.0
108,6.0,0.0
109,6.0,0.0
110,6.0,0.0
111,6.0,0.0
112,6.0,0.0
113,48.0,4.0
114,6.0,0.0
115,16.0,1.0
116,28.0,2.0
117,6.0,0.0
118,6.0,0.0
119,6.0,0.0
120,6.0,0.0
121,16.0,1.0
122,26.0,2.0
123,6.0,0.0
124,6.0,0.0
125,26.0,2.0
126,16.0,1.0
127,6.0,0.0
128,6.0,0.0
129,6.0,0.0
130,6.0,0.0
131,16.0,1.0
132,16.0,1.0
133,16.0,1.0
134,6.0,0.0
135,6.0,0.0
136,6.0,0.0
137,26.0,2.0
138,6.0,0.0
139,6.0,0.0
140,16.0,1.0
141,6.0,0.0
142,16.0,1.0
143,16.0,1.0
144,6.0,0.0
145,6.0,0.0
146,6.0,0.0
147,16.0,1.0
148,6.0,0.0
149,6.0,0.0
150,6.0,0.0
151,16.0,1.0
152,6.0,0.0
153,6.0,0.0
154,6.0,0.0
155,16.0,1.0
156,16.0,1.0
157,6.0,0.0
158,6.0,0.0
159,6.0,0.0
160,16.0,1.0
161,16.0,1.0
162,16.0,1.0
163,16.0,1.0
164,26.0,2.0
165,16.0,1.0
166,6.0,0.0
167,16.0,1.0
168,16.0,1.0
169,16.0,1.0
170,26.0,2.0
171,6.0,0.0
172,6.0,0.0
173,16.0,1.0
174,16.0,1.0
175,6.0,0.0
176,6.0,0.0
177,6.0,0.0
178,6.0,0.0
179,16.0,1.0
180,6.0,0.0
181,26.0,2.0
182,6.0,0.0
183,16.0,1.0
184,6.0,0.0
185,6.0,0.0
186,26.0,2.0
187,6.0,0.0
188,6.0,0.0
189,16.0,1.0
190,6.0,0.0
191,16.0,1.0
192,6.0,0.0
193,38.0,3.0
194,16.0,1.0
195,6.0,0.0
196,6.0,0.0
197,28.0,2.0
198,6.0,0.0
199,6.0,0.0
200,6.0,0.0
201,6.0,0.0
202,6.0,0.0
203,6.0,0.0
204,6.0,0.0
205,6.0,0.0
206,6.0,0.0
207,16.0,1.0
208,16.0,1.0
209,6.0,0.0
210,16.0,1.0
211,6.0,0.0
212,6.0,0.0
213,6.0,0.0
214,6.0,0.0
215,6.0,0.0
216,16.0,1.0
217,6.0,0.0
218,28.0,2.0
219,16.0,1.0
220,6.0,0.0
221,16.0,1.0
222,6.0,0.0
223,6.0,0.0
224,6.0,0.0
225,6.0,0.0
226,16.0,1.0
227,6.0,0.0
228,6.0,0.0
229,6.0,0.0
230,6.0,0.0
231,6.0,0.0
232,16.0,1.0
233,6.0,0.0
234,16.0,1.0
235,6.0,0.0
236,16.0,1.0
237,26.0,2.0
238,6.0,0.0
239,16.0,1.0
240,6.0,0.0
241,16.0,1.0
242,28.0,2.0
243,6.0,0.0
244,16.0,1.0
245,6.0,0.0
246,6.0,0.0
247,16.0,1.0
248,16.0,1.0
249,16.0,1.0
250,16.0,1.0
251,6.0,0.0
252,28.0,2.0
253,6.0,0.0
254,16.0,1.0
255,16.0,1.0
256,6.0,0.0
257,16.0,1.0
258,6.0,0.0
259,16.0,1.0
260,6.0,0.0
261,6.0,0.0
