episode,length,reward
1,16.0,1.0
2,6.0,0.0
3,6.0,0.0
4,6.0,0.0
5,16.0,1.0
6,6.0,0.0
7,6.0,0.0
8,6.0,0.0
9,6.0,0.0
10,6.0,0.0
11,6.0,0.0
12,6.0,0.0
13,6.0,0.0
14,16.0,1.0
15,6.0,0.0
16,16.0,1.0
17,16.0,1.0
18,6.0,0.0
19,6.0,0.0
20,6.0,0.0
21,6.0,0.0
22,6.0,0.0
23,6.0,0.0
24,6.0,0.0
25,6.0,0.0
26,6.0,0.0
27,6.0,0.0
28,16.0,1.0
29,16.0,1.0
30,6.0,0.0
31,16.0,1.0
32,6.0,0.0
33,6.0,0.0
34,6.0,0.0
35,16.0,1.0
36,6.0,0.0
37,16.0,1.0
38,6.0,0.0
39,6.0,0.0
40,6.0,0.0
41,6.0,0.0
42,6.0,0.0
43,16.0,1.0
44,16.0,1.0
45,6.0,0.0
46,6.0,0.0
47,6.0,0.0
48,6.0,0.0
49,6.0,0.0
50,16.0,1.0
51,6.0,0.0
52,6.0,0.0
53,16.0,1.0
54,16.0,1.0
55,6.0,0.0
56,6.0,0.0
57,16.0,1.0
58,16.0,1.0
59,16.0,1.0
60,6.0,0.0
61,16.0,1.0
62,6.0,0.0
63,16.0,1.0
64,6.0,0.0
65,6.0,0.0
66,6.0,0.0
67,6.0,0.0
68,6.0,0.0
69,6.0,0.0
70,6.0,0.0
71,6.0,0.0
72,16.0,1.0
73,6.0,0.0
74,6.0,0.0
75,6.0,0.0
76,6.0,0.0
77,16.0,1.0
78,6.0,0.0
79,6.0,0.0
80,6.0,0.0
81,6.0,0.0
82,16.0,1.0
83,6.0,0.0
84,6.0,0.0
85,16.0,1.0
86,16.0,1.0
87,6.0,0.0
88,16.0,1.0
89,6.0,0.0
90,6.0,0.0
91,16.0,1.0
92,6.0,0.0
93,6.0,0.0
94,6.0,0.0
95,6.0,0.0
96,6.0,0.0
97,6.0,0.0
98,6.0,0.0
99,6.0,0.0
100,6.0,0.0
101,6.0,0.0
102,16.0,1.0
103,6.0,0.0
104,6.0,0.0
105,6.0,0.0
106,6.0,0.0
107,6.0,0.0
108,6.0,0.0
109,16.0,1.0
110,16.0,1.0
111,6.0,0.0
112,6.0,0.0
113,6.0,0.0
114,6.0,0.0
115,16.0,1.0
116,6.0,0.0
117,6.0,0.0
118,6.0,0.0
119,6.0,0.0
120,6.0,0.0
121,6.0,0.0
122,6.0,0.0
123,6.0,0.0
124,28.0,2.0
125,16.0,1.0
126,6.0,0.0
127,6.0,0.0
128,6.0,0.0
129,6.0,0.0
130,26.0,2.0
131,6.0,0.0
132,28.0,2.0
133,16.0,1.0
134,16.0,1.0
135,16.0,1.0
136,6.0,0.0
137,6.0,0.0
138,6.0,0.0
139,6.0,0.0
140,6.0,0.0
141,6.0,0.0
142,6.0,0.0
143,16.0,1.0
144,6.0,0.0
145,6.0,0.0
