episode,length,reward
1,101.0,0.0
2,146.0,2.0
3,35.0,0.0
4,56.0,0.0
5,22.0,0.0
6,76.0,0.0
7,14.0,0.0
8,117.0,2.0
9,109.0,2.0
10,142.0,1.0
11,31.0,0.0
12,116.0,2.0
13,23.0,0.0
14,41.0,0.0
15,38.0,0.0
16,26.0,0.0
17,93.0,1.0
18,63.0,1.0
19,43.0,0.0
20,42.0,1.0
21,56.0,1.0
22,76.0,0.0
23,46.0,0.0
24,55.0,0.0
25,46.0,0.0
26,63.0,0.0
27,116.0,3.0
28,33.0,0.0
29,71.0,1.0
30,63.0,0.0
31,93.0,2.0
32,86.0,0.0
33,18.0,0.0
34,41.0,0.0
35,61.0,0.0
36,31.0,0.0
37,35.0,1.0
38,51.0,0.0
39,59.0,0.0
40,52.0,0.0
41,105.0,2.0
42,89.0,1.0
43,53.0,0.0
44,75.0,1.0
45,33.0,0.0
46,90.0,0.0
47,21.0,0.0
48,46.0,0.0
49,132.0,1.0
50,42.0,0.0
51,24.0,0.0
52,55.0,1.0
53,25.0,0.0
54,64.0,0.0
55,31.0,0.0
56,41.0,0.0
57,117.0,2.0
58,102.0,1.0
59,11.0,0.0
60,53.0,0.0
61,28.0,0.0
62,52.0,0.0
63,93.0,0.0
64,89.0,0.0
65,66.0,1.0
66,173.0,1.0
67,94.0,1.0
68,98.0,1.0
69,37.0,0.0
70,67.0,2.0
71,28.0,0.0
72,28.0,0.0
73,60.0,0.0
74,31.0,0.0
75,19.0,0.0
76,61.0,1.0
77,28.0,0.0
78,35.0,0.0
79,46.0,0.0
80,73.0,0.0
81,76.0,0.0
82,67.0,0.0
83,67.0,0.0
84,86.0,1.0
85,61.0,0.0
86,51.0,0.0
87,131.0,1.0
88,136.0,2.0
89,94.0,0.0
90,85.0,1.0
91,126.0,3.0
92,66.0,0.0
93,19.0,0.0
94,41.0,0.0
95,195.0,3.0
96,202.0,3.0
97,46.0,0.0
98,222.0,4.0
99,87.0,0.0
100,81.0,0.0
101,111.0,1.0
102,61.0,1.0
103,36.0,0.0
104,156.0,4.0
105,52.0,0.0
106,50.0,0.0
107,31.0,0.0
108,50.0,0.0
109,56.0,0.0
110,26.0,0.0
111,51.0,0.0
112,90.0,1.0
113,34.0,0.0
114,156.0,1.0
115,31.0,0.0
116,146.0,1.0
117,54.0,0.0
118,60.0,0.0
119,98.0,1.0
120,68.0,0.0
121,130.0,1.0
122,28.0,0.0
123,41.0,0.0
124,66.0,0.0
125,53.0,1.0
126,129.0,2.0
127,45.0,0.0
128,95.0,0.0
129,29.0,0.0
130,61.0,0.0
131,133.0,1.0
132,66.0,0.0
133,71.0,0.0
134,26.0,0.0
135,101.0,0.0
136,111.0,2.0
137,52.0,0.0
138,101.0,1.0
139,111.0,1.0
140,41.0,0.0
141,33.0,0.0
142,50.0,1.0
143,61.0,0.0
144,101.0,1.0
145,83.0,0.0
146,63.0,0.0
147,136.0,1.0
148,54.0,1.0
149,41.0,0.0
150,42.0,0.0
151,372.0,8.0
152,31.0,0.0
153,69.0,0.0
154,51.0,0.0
155,63.0,0.0
156,31.0,0.0
157,91.0,1.0
158,39.0,0.0
159,138.0,3.0
160,101.0,2.0
161,131.0,0.0
162,71.0,0.0
163,44.0,0.0
164,37.0,0.0
165,62.0,0.0
166,41.0,0.0
167,29.0,0.0
168,151.0,1.0
169,17.0,0.0
170,31.0,0.0
171,51.0,0.0
172,50.0,0.0
173,76.0,0.0
174,66.0,0.0
175,31.0,0.0
176,191.0,3.0
177,71.0,1.0
178,16.0,0.0
179,41.0,0.0
180,72.0,1.0
181,129.0,2.0
182,56.0,0.0
183,73.0,0.0
184,61.0,0.0
185,63.0,0.0
186,155.0,1.0
187,36.0,1.0
188,258.0,5.0
189,50.0,0.0
190,51.0,0.0
191,66.0,0.0
192,87.0,0.0
193,91.0,0.0
194,318.0,3.0
195,61.0,0.0
196,85.0,0.0
197,24.0,0.0
198,101.0,0.0
199,24.0,0.0
200,66.0,0.0
201,31.0,0.0
202,72.0,0.0
203,200.0,1.0
204,44.0,1.0
205,33.0,0.0
206,183.0,1.0
207,41.0,0.0
208,90.0,1.0
209,48.0,0.0
210,158.0,2.0
211,103.0,0.0
212,282.0,2.0
213,39.0,0.0
214,12.0,0.0
215,31.0,0.0
216,47.0,0.0
217,51.0,0.0
218,56.0,0.0
219,212.0,3.0
220,65.0,0.0
221,71.0,1.0
222,34.0,0.0
223,61.0,0.0
224,31.0,0.0
225,71.0,0.0
226,101.0,1.0
227,159.0,1.0
