episode,length,reward
1,136.0,2.0
2,31.0,0.0
3,39.0,0.0
4,38.0,0.0
5,39.0,1.0
6,61.0,0.0
7,88.0,2.0
8,16.0,0.0
9,94.0,1.0
10,61.0,0.0
11,40.0,0.0
12,35.0,0.0
13,21.0,0.0
14,55.0,0.0
15,98.0,1.0
16,73.0,0.0
17,61.0,0.0
18,177.0,2.0
19,19.0,0.0
20,142.0,2.0
21,47.0,0.0
22,73.0,0.0
23,58.0,0.0
24,46.0,0.0
25,36.0,0.0
26,82.0,1.0
27,35.0,0.0
28,45.0,0.0
29,17.0,0.0
30,111.0,0.0
31,102.0,1.0
32,90.0,1.0
33,141.0,1.0
34,36.0,0.0
35,71.0,0.0
36,33.0,0.0
37,65.0,0.0
38,64.0,1.0
39,73.0,0.0
40,53.0,0.0
41,27.0,0.0
42,51.0,0.0
43,12.0,0.0
44,133.0,1.0
45,61.0,1.0
46,31.0,0.0
47,72.0,0.0
48,98.0,1.0
49,57.0,0.0
50,101.0,1.0
51,61.0,0.0
52,132.0,0.0
53,27.0,0.0
54,72.0,0.0
55,58.0,0.0
56,38.0,1.0
57,166.0,3.0
58,47.0,0.0
59,156.0,3.0
60,92.0,2.0
61,43.0,0.0
62,116.0,1.0
63,57.0,1.0
64,25.0,0.0
65,129.0,0.0
66,51.0,2.0
67,57.0,0.0
68,68.0,0.0
69,111.0,1.0
70,111.0,1.0
71,99.0,1.0
72,71.0,0.0
73,14.0,0.0
74,111.0,0.0
75,96.0,1.0
76,106.0,0.0
77,23.0,0.0
78,112.0,0.0
79,56.0,0.0
80,126.0,1.0
81,128.0,0.0
82,40.0,0.0
83,41.0,0.0
84,113.0,1.0
85,32.0,0.0
86,102.0,2.0
87,71.0,0.0
88,91.0,1.0
89,31.0,0.0
90,77.0,1.0
91,201.0,3.0
92,104.0,3.0
93,157.0,2.0
94,109.0,0.0
95,40.0,0.0
96,125.0,1.0
97,71.0,0.0
98,14.0,0.0
99,56.0,0.0
100,50.0,0.0
101,59.0,1.0
102,136.0,3.0
103,33.0,0.0
104,70.0,1.0
105,21.0,0.0
106,151.0,1.0
107,96.0,1.0
108,42.0,0.0
109,154.0,1.0
110,48.0,0.0
111,56.0,0.0
112,119.0,3.0
113,76.0,0.0
114,64.0,1.0
115,65.0,0.0
116,31.0,0.0
117,58.0,0.0
118,31.0,0.0
119,201.0,3.0
