episode,length,reward
1,56.0,1.0
2,17.0,1.0
3,87.0,6.0
4,17.0,2.0
5,27.0,3.0
6,29.0,4.0
7,17.0,2.0
8,37.0,2.0
9,27.0,3.0
10,77.0,9.0
11,66.0,1.0
12,27.0,1.0
13,115.0,4.0
14,46.0,2.0
15,66.0,1.0
16,37.0,3.0
17,47.0,1.0
18,17.0,2.0
19,117.0,8.0
20,38.0,2.0
21,56.0,1.0
22,27.0,2.0
23,17.0,1.0
24,27.0,3.0
25,17.0,2.0
26,28.0,4.0
27,118.0,12.0
28,17.0,1.0
29,126.0,6.0
30,57.0,3.0
31,106.0,9.0
32,57.0,4.0
33,17.0,2.0
34,125.0,3.0
35,38.0,6.0
36,17.0,1.0
37,27.0,2.0
38,37.0,4.0
39,176.0,15.0
40,17.0,2.0
41,27.0,3.0
42,157.0,17.0
43,125.0,14.0
44,17.0,1.0
45,17.0,1.0
46,47.0,7.0
47,56.0,2.0
48,46.0,3.0
49,67.0,2.0
50,46.0,1.0
51,86.0,7.0
52,27.0,2.0
53,17.0,1.0
54,116.0,14.0
55,58.0,5.0
56,48.0,5.0
57,38.0,6.0
58,78.0,6.0
59,28.0,3.0
60,97.0,11.0
61,27.0,4.0
62,56.0,6.0
63,77.0,7.0
64,29.0,4.0
65,443.0,45.0
66,175.0,19.0
67,27.0,4.0
68,76.0,7.0
69,40.0,6.0
70,17.0,2.0
71,18.0,1.0
72,105.0,8.0
73,27.0,4.0
74,66.0,5.0
75,37.0,6.0
76,17.0,2.0
77,56.0,6.0
78,17.0,2.0
79,28.0,3.0
80,27.0,2.0
81,186.0,15.0
82,56.0,6.0
83,224.0,11.0
84,17.0,0.0
85,38.0,4.0
86,56.0,6.0
87,56.0,8.0
88,17.0,2.0
89,18.0,2.0
90,46.0,5.0
91,27.0,3.0
92,17.0,2.0
93,37.0,4.0
94,17.0,1.0
95,48.0,3.0
96,27.0,2.0
97,58.0,5.0
98,27.0,3.0
99,17.0,2.0
100,17.0,2.0
101,27.0,2.0
102,37.0,1.0
103,18.0,2.0
104,56.0,2.0
105,56.0,4.0
106,57.0,7.0
107,27.0,2.0
108,46.0,5.0
109,18.0,3.0
110,47.0,5.0
111,67.0,9.0
112,66.0,7.0
113,56.0,8.0
114,127.0,14.0
115,18.0,2.0
116,17.0,1.0
117,66.0,7.0
118,39.0,5.0
119,46.0,6.0
120,77.0,7.0
121,46.0,2.0
122,38.0,5.0
123,29.0,5.0
124,17.0,2.0
125,29.0,3.0
126,17.0,2.0
127,17.0,2.0
128,37.0,2.0
129,48.0,8.0
130,66.0,5.0
131,184.0,11.0
132,105.0,9.0
133,125.0,7.0
134,78.0,3.0
135,77.0,9.0
136,86.0,9.0
137,147.0,10.0
138,67.0,9.0
139,77.0,7.0
140,39.0,4.0
141,47.0,5.0
142,57.0,5.0
143,58.0,7.0
144,58.0,7.0
145,17.0,2.0
146,77.0,7.0
147,294.0,21.0
148,155.0,10.0
149,136.0,8.0
150,304.0,23.0
151,27.0,3.0
152,57.0,6.0
153,242.0,23.0
154,68.0,8.0
155,230.0,22.0
156,27.0,4.0
157,105.0,6.0
158,29.0,5.0
159,66.0,6.0
160,66.0,8.0
161,29.0,4.0
162,67.0,8.0
163,56.0,5.0
164,77.0,5.0
165,146.0,20.0
166,17.0,2.0
167,232.0,20.0
168,148.0,19.0
169,67.0,9.0
170,148.0,15.0
171,245.0,20.0
172,18.0,3.0
173,118.0,15.0
174,38.0,3.0
175,66.0,7.0
176,145.0,14.0
177,18.0,2.0
178,262.0,20.0
179,253.0,22.0
180,17.0,0.0
181,37.0,6.0
182,37.0,4.0
183,117.0,14.0
184,116.0,12.0
185,59.0,7.0
186,39.0,5.0
187,155.0,16.0
188,86.0,11.0
189,196.0,20.0
190,272.0,22.0
191,186.0,22.0
192,309.0,21.0
193,46.0,2.0
194,66.0,10.0
195,147.0,16.0
196,57.0,6.0
197,216.0,15.0
198,37.0,3.0
199,165.0,18.0
200,232.0,23.0
201,18.0,3.0
202,47.0,7.0
203,206.0,17.0
204,315.0,14.0
205,66.0,8.0
206,105.0,11.0
207,96.0,10.0
208,27.0,2.0
209,46.0,6.0
210,155.0,15.0
211,86.0,1.0
212,146.0,15.0
213,107.0,9.0
214,86.0,12.0
215,205.0,18.0
216,27.0,2.0
217,27.0,3.0
218,253.0,15.0
219,96.0,15.0
220,225.0,18.0
221,232.0,23.0
222,157.0,20.0
223,89.0,8.0
224,292.0,21.0
225,265.0,16.0
226,291.0,23.0
227,79.0,11.0
228,117.0,20.0
229,28.0,4.0
230,260.0,23.0
231,234.0,19.0
232,264.0,20.0
233,48.0,8.0
234,216.0,12.0
235,47.0,3.0
236,177.0,13.0
237,18.0,3.0
238,275.0,23.0
239,165.0,14.0
240,37.0,1.0
241,97.0,3.0
242,145.0,13.0
243,244.0,21.0
244,67.0,6.0
245,37.0,4.0
246,224.0,19.0
247,185.0,21.0
248,96.0,9.0
249,27.0,4.0
250,347.0,33.0
251,282.0,21.0
252,357.0,34.0
253,66.0,8.0
254,244.0,22.0
255,57.0,8.0
256,87.0,6.0
257,243.0,16.0
258,148.0,17.0
259,296.0,26.0
260,59.0,8.0
261,18.0,3.0
262,227.0,26.0
263,97.0,6.0
264,128.0,16.0
265,17.0,0.0
266,229.0,23.0
267,18.0,3.0
268,254.0,22.0
269,47.0,5.0
270,322.0,22.0
271,59.0,10.0
272,108.0,14.0
273,99.0,16.0
274,99.0,16.0
275,205.0,17.0
276,230.0,23.0
277,39.0,3.0
278,46.0,5.0
279,88.0,7.0
280,268.0,23.0
281,314.0,19.0
282,223.0,23.0
283,235.0,21.0
284,148.0,15.0
285,184.0,14.0
286,264.0,18.0
287,176.0,17.0
288,126.0,19.0
289,37.0,6.0
290,66.0,8.0
291,501.0,43.0
292,37.0,5.0
293,117.0,13.0
294,105.0,15.0
295,244.0,23.0
296,356.0,29.0
297,164.0,8.0
298,158.0,10.0
299,47.0,4.0
300,17.0,3.0
301,97.0,16.0
302,207.0,20.0
303,125.0,15.0
304,147.0,17.0
305,48.0,7.0
306,58.0,9.0
307,225.0,23.0
308,305.0,23.0
309,18.0,3.0
310,265.0,23.0
311,57.0,9.0
312,66.0,3.0
313,425.0,13.0
314,96.0,10.0
315,138.0,14.0
316,87.0,13.0
317,272.0,23.0
318,210.0,23.0
319,18.0,2.0
320,361.0,21.0
321,176.0,19.0
322,68.0,6.0
323,237.0,23.0
324,373.0,13.0
325,226.0,11.0
326,17.0,3.0
327,115.0,10.0
328,27.0,4.0
329,155.0,18.0
330,137.0,12.0
331,239.0,21.0
332,234.0,22.0
333,48.0,4.0
334,107.0,13.0
335,266.0,23.0
336,117.0,14.0
337,46.0,3.0
338,17.0,1.0
339,254.0,13.0
340,136.0,19.0
341,155.0,13.0
342,323.0,21.0
343,501.0,40.0
344,96.0,12.0
345,175.0,16.0
346,315.0,21.0
347,98.0,15.0
348,256.0,22.0
349,147.0,12.0
350,243.0,19.0
351,86.0,10.0
352,177.0,26.0
353,27.0,5.0
354,282.0,20.0
355,249.0,23.0
356,270.0,21.0
357,67.0,9.0
358,157.0,19.0
359,77.0,8.0
360,215.0,20.0
361,288.0,38.0
362,240.0,23.0
363,28.0,5.0
364,68.0,9.0
365,146.0,22.0
366,96.0,7.0
367,245.0,22.0
368,303.0,23.0
369,295.0,23.0
370,147.0,18.0
371,227.0,23.0
372,197.0,20.0
373,47.0,5.0
374,165.0,14.0
375,284.0,21.0
376,336.0,38.0
377,193.0,20.0
378,98.0,10.0
379,18.0,3.0
380,59.0,8.0
381,167.0,16.0
382,98.0,9.0
383,291.0,23.0
384,126.0,12.0
385,27.0,3.0
386,195.0,13.0
387,98.0,7.0
388,105.0,12.0
389,138.0,19.0
390,501.0,47.0
391,294.0,21.0
392,105.0,12.0
