episode,length,reward
1,37.0,3.0
2,96.0,7.0
3,17.0,2.0
4,17.0,2.0
5,136.0,11.0
6,106.0,10.0
7,27.0,2.0
8,57.0,3.0
9,18.0,3.0
10,37.0,4.0
11,116.0,11.0
12,27.0,3.0
13,27.0,2.0
14,47.0,6.0
15,117.0,10.0
16,27.0,1.0
17,17.0,2.0
18,28.0,4.0
19,194.0,13.0
20,148.0,18.0
21,97.0,6.0
22,67.0,4.0
23,27.0,3.0
24,17.0,2.0
25,27.0,3.0
26,27.0,0.0
27,37.0,2.0
28,28.0,3.0
29,96.0,11.0
30,106.0,8.0
31,97.0,9.0
32,27.0,3.0
33,37.0,3.0
34,88.0,11.0
35,27.0,2.0
36,57.0,2.0
37,68.0,5.0
38,17.0,2.0
39,97.0,5.0
40,49.0,5.0
41,58.0,7.0
42,37.0,0.0
43,68.0,9.0
44,17.0,3.0
45,66.0,2.0
46,18.0,1.0
47,17.0,2.0
48,17.0,2.0
49,17.0,2.0
50,27.0,3.0
51,56.0,4.0
52,56.0,5.0
53,17.0,2.0
54,46.0,3.0
55,17.0,2.0
56,27.0,1.0
57,76.0,6.0
58,37.0,5.0
59,27.0,3.0
60,105.0,6.0
61,67.0,7.0
62,27.0,3.0
63,76.0,4.0
64,17.0,2.0
65,37.0,4.0
66,27.0,3.0
67,67.0,5.0
68,59.0,8.0
69,77.0,8.0
70,56.0,3.0
71,67.0,5.0
72,135.0,11.0
73,66.0,8.0
74,46.0,5.0
75,57.0,5.0
76,96.0,7.0
77,29.0,3.0
78,17.0,2.0
79,17.0,1.0
80,37.0,6.0
81,27.0,3.0
82,146.0,12.0
83,47.0,6.0
84,89.0,10.0
85,56.0,7.0
86,46.0,6.0
87,37.0,5.0
88,37.0,6.0
89,47.0,6.0
90,18.0,1.0
91,37.0,2.0
92,137.0,11.0
93,88.0,13.0
94,37.0,4.0
95,18.0,2.0
96,47.0,6.0
97,96.0,6.0
98,69.0,9.0
99,37.0,2.0
100,18.0,2.0
101,68.0,6.0
102,164.0,13.0
103,105.0,13.0
104,117.0,6.0
105,58.0,4.0
106,78.0,11.0
107,17.0,2.0
108,46.0,3.0
109,17.0,2.0
110,27.0,3.0
111,38.0,5.0
112,29.0,3.0
113,58.0,9.0
114,56.0,5.0
115,56.0,5.0
116,68.0,8.0
117,77.0,7.0
118,27.0,3.0
119,96.0,10.0
120,138.0,12.0
121,37.0,4.0
122,67.0,8.0
123,67.0,8.0
124,48.0,6.0
125,118.0,9.0
126,27.0,3.0
127,47.0,6.0
128,105.0,9.0
129,27.0,1.0
130,39.0,3.0
131,195.0,13.0
132,78.0,9.0
133,167.0,12.0
134,158.0,14.0
135,38.0,5.0
136,86.0,8.0
137,67.0,7.0
138,86.0,6.0
139,155.0,12.0
140,48.0,5.0
141,37.0,4.0
142,107.0,14.0
143,148.0,9.0
144,77.0,10.0
145,46.0,7.0
146,56.0,9.0
147,28.0,3.0
148,137.0,12.0
149,309.0,23.0
150,244.0,16.0
151,115.0,12.0
152,18.0,3.0
153,196.0,14.0
154,56.0,7.0
155,86.0,8.0
156,56.0,5.0
157,17.0,1.0
158,68.0,7.0
159,96.0,9.0
160,126.0,12.0
161,292.0,19.0
162,37.0,6.0
163,37.0,4.0
164,38.0,4.0
165,46.0,5.0
166,186.0,17.0
167,223.0,18.0
168,47.0,8.0
169,184.0,15.0
170,275.0,16.0
171,56.0,6.0
172,206.0,17.0
173,194.0,16.0
174,148.0,16.0
175,224.0,15.0
176,79.0,12.0
177,27.0,4.0
178,167.0,15.0
179,28.0,4.0
180,107.0,5.0
181,86.0,9.0
182,164.0,14.0
183,184.0,17.0
184,287.0,22.0
185,206.0,16.0
186,273.0,20.0
187,57.0,8.0
188,276.0,14.0
189,136.0,9.0
190,215.0,19.0
191,176.0,12.0
192,323.0,17.0
193,86.0,6.0
194,146.0,12.0
195,86.0,9.0
196,388.0,16.0
197,77.0,8.0
198,362.0,20.0
199,194.0,11.0
200,157.0,14.0
201,157.0,13.0
202,344.0,15.0
203,47.0,6.0
204,158.0,9.0
205,303.0,19.0
206,346.0,18.0
207,136.0,11.0
208,411.0,19.0
209,216.0,11.0
210,365.0,16.0
211,363.0,17.0
212,284.0,20.0
213,205.0,15.0
214,138.0,12.0
215,443.0,15.0
216,274.0,11.0
217,117.0,9.0
218,156.0,12.0
219,207.0,17.0
220,164.0,10.0
221,147.0,12.0
222,115.0,16.0
223,377.0,20.0
224,345.0,22.0
225,47.0,4.0
226,229.0,23.0
227,67.0,6.0
228,312.0,20.0
229,263.0,23.0
230,265.0,23.0
231,222.0,23.0
232,245.0,17.0
233,215.0,21.0
234,273.0,12.0
235,254.0,21.0
236,77.0,7.0
237,38.0,5.0
238,247.0,16.0
239,272.0,22.0
240,136.0,12.0
241,271.0,21.0
242,348.0,22.0
243,86.0,6.0
244,164.0,9.0
245,346.0,21.0
246,184.0,14.0
247,383.0,23.0
248,326.0,18.0
249,294.0,12.0
250,244.0,21.0
251,309.0,23.0
252,245.0,18.0
253,271.0,22.0
254,352.0,14.0
255,324.0,18.0
256,362.0,18.0
257,283.0,13.0
258,185.0,13.0
259,326.0,22.0
260,206.0,18.0
261,259.0,20.0
262,27.0,3.0
263,285.0,16.0
264,86.0,8.0
265,223.0,17.0
266,39.0,5.0
267,284.0,17.0
268,17.0,1.0
269,226.0,18.0
270,275.0,19.0
271,322.0,19.0
272,456.0,35.0
273,126.0,12.0
274,244.0,19.0
275,56.0,5.0
276,174.0,16.0
277,106.0,9.0
278,205.0,20.0
279,57.0,8.0
280,37.0,1.0
281,293.0,20.0
282,501.0,43.0
283,501.0,38.0
284,166.0,16.0
285,354.0,14.0
286,116.0,10.0
287,206.0,8.0
288,265.0,14.0
289,107.0,16.0
290,313.0,20.0
291,337.0,20.0
292,147.0,14.0
293,273.0,15.0
294,304.0,16.0
295,197.0,18.0
296,136.0,8.0
297,115.0,12.0
298,158.0,8.0
299,195.0,6.0
300,264.0,23.0
301,17.0,2.0
302,291.0,20.0
303,293.0,19.0
304,271.0,23.0
305,225.0,11.0
306,127.0,7.0
307,194.0,20.0
308,234.0,22.0
309,252.0,17.0
310,351.0,19.0
311,325.0,14.0
312,365.0,22.0
313,165.0,13.0
314,335.0,23.0
315,265.0,20.0
316,313.0,20.0
317,339.0,21.0
318,290.0,23.0
319,158.0,15.0
320,274.0,21.0
321,253.0,14.0
322,98.0,9.0
323,235.0,19.0
324,262.0,21.0
325,274.0,18.0
326,187.0,17.0
327,89.0,7.0
328,176.0,23.0
329,56.0,4.0
330,383.0,20.0
331,96.0,9.0
332,380.0,18.0
333,282.0,17.0
334,344.0,19.0
335,116.0,12.0
336,224.0,14.0
337,98.0,14.0
338,46.0,3.0
339,364.0,35.0
340,318.0,22.0
341,253.0,22.0
342,223.0,15.0
343,214.0,15.0
344,187.0,16.0
345,333.0,14.0
346,215.0,17.0
347,293.0,20.0
348,175.0,10.0
349,315.0,18.0
350,320.0,21.0
351,128.0,13.0
352,274.0,22.0
353,207.0,12.0
354,353.0,23.0
355,77.0,10.0
356,184.0,14.0
357,285.0,18.0
358,367.0,22.0
359,353.0,19.0
360,215.0,20.0
361,297.0,22.0
362,187.0,17.0
363,322.0,22.0
364,365.0,20.0
365,233.0,21.0
366,106.0,11.0
367,37.0,3.0
368,370.0,22.0
369,425.0,38.0
370,342.0,19.0
371,96.0,8.0
372,242.0,21.0
373,246.0,23.0
374,339.0,22.0
375,138.0,13.0
376,66.0,9.0
377,294.0,22.0
378,350.0,22.0
379,245.0,17.0
380,56.0,5.0
381,89.0,12.0
382,295.0,23.0
383,125.0,9.0
384,322.0,23.0
385,46.0,2.0
386,17.0,1.0
387,379.0,23.0
388,332.0,21.0
389,245.0,19.0
390,165.0,16.0
391,116.0,9.0
392,318.0,23.0
393,342.0,23.0
394,224.0,17.0
395,257.0,23.0
396,312.0,16.0
397,290.0,23.0
398,309.0,22.0
399,66.0,6.0
400,224.0,21.0
401,205.0,8.0
402,165.0,12.0
403,244.0,23.0
404,284.0,23.0
405,366.0,32.0
406,319.0,22.0
407,248.0,22.0
408,18.0,3.0
409,37.0,3.0
410,245.0,19.0
411,224.0,12.0
412,295.0,23.0
413,279.0,22.0
414,206.0,20.0
415,117.0,13.0
416,56.0,6.0
417,244.0,20.0
418,108.0,13.0
419,271.0,21.0
420,274.0,21.0
421,501.0,41.0
422,494.0,47.0
423,501.0,42.0
424,156.0,13.0
425,306.0,22.0
426,225.0,22.0
427,252.0,21.0
428,205.0,20.0
429,293.0,22.0
430,147.0,20.0
431,367.0,44.0
432,294.0,23.0
433,115.0,10.0
434,67.0,9.0
435,17.0,2.0
436,292.0,22.0
437,288.0,21.0
438,154.0,17.0
439,224.0,23.0
440,215.0,20.0
441,235.0,22.0
442,38.0,3.0
443,76.0,8.0
444,238.0,23.0
445,270.0,23.0
446,231.0,23.0
447,214.0,21.0
448,253.0,23.0
449,67.0,8.0
450,252.0,22.0
451,38.0,5.0
452,76.0,7.0
453,214.0,19.0
454,291.0,22.0
455,127.0,14.0
456,235.0,23.0
457,501.0,40.0
458,118.0,17.0
459,287.0,22.0
460,46.0,4.0
461,501.0,43.0
462,270.0,23.0
463,313.0,23.0
464,57.0,9.0
465,319.0,23.0
466,235.0,18.0
467,184.0,23.0
468,176.0,16.0
469,227.0,21.0
470,167.0,16.0
471,106.0,11.0
472,296.0,23.0
473,105.0,9.0
474,247.0,24.0
475,225.0,20.0
476,315.0,22.0
477,18.0,3.0
478,326.0,19.0
479,315.0,23.0
480,335.0,23.0
481,96.0,7.0
482,273.0,22.0
483,287.0,20.0
484,262.0,20.0
485,241.0,23.0
486,204.0,23.0
487,304.0,18.0
488,245.0,22.0
489,250.0,23.0
490,276.0,28.0
491,260.0,22.0
492,166.0,12.0
493,87.0,9.0
494,277.0,35.0
495,392.0,14.0
496,245.0,16.0
497,296.0,23.0
498,47.0,6.0
499,185.0,15.0
500,274.0,23.0
501,233.0,23.0
502,266.0,23.0
503,48.0,7.0
504,437.0,23.0
505,118.0,14.0
506,76.0,7.0
507,501.0,42.0
508,229.0,22.0
509,261.0,21.0
510,97.0,12.0
511,234.0,18.0
512,156.0,16.0
513,268.0,23.0
514,27.0,2.0
515,242.0,23.0
516,241.0,23.0
517,167.0,20.0
518,67.0,11.0
519,253.0,23.0
520,147.0,10.0
521,456.0,41.0
522,243.0,20.0
523,280.0,23.0
524,303.0,21.0
525,105.0,10.0
526,127.0,14.0
527,261.0,22.0
528,223.0,23.0
529,253.0,23.0
530,196.0,22.0
531,225.0,23.0
532,357.0,40.0
533,274.0,22.0
534,77.0,10.0
535,290.0,23.0
536,276.0,20.0
537,56.0,9.0
538,66.0,9.0
539,28.0,4.0
540,185.0,16.0
541,290.0,22.0
542,335.0,22.0
543,167.0,17.0
544,197.0,19.0
545,78.0,11.0
546,308.0,26.0
547,427.0,40.0
548,273.0,20.0
549,214.0,20.0
550,215.0,19.0
551,406.0,22.0
552,86.0,13.0
553,216.0,23.0
554,209.0,22.0
555,87.0,12.0
556,216.0,23.0
557,89.0,11.0
558,147.0,15.0
559,491.0,43.0
560,501.0,67.0
561,272.0,20.0
562,246.0,23.0
563,273.0,22.0
564,333.0,23.0
565,274.0,23.0
566,197.0,25.0
567,232.0,22.0
568,247.0,23.0
569,46.0,3.0
570,138.0,15.0
571,282.0,18.0
572,263.0,15.0
573,273.0,22.0
574,226.0,18.0
575,265.0,17.0
576,203.0,22.0
577,345.0,34.0
578,147.0,14.0
579,253.0,22.0
580,255.0,21.0
581,193.0,21.0
582,205.0,19.0
583,251.0,23.0
584,37.0,2.0
585,167.0,18.0
586,303.0,23.0
587,209.0,22.0
588,116.0,8.0
589,105.0,14.0
590,256.0,22.0
591,234.0,21.0
592,253.0,23.0
593,279.0,23.0
594,27.0,3.0
595,296.0,29.0
596,165.0,14.0
597,76.0,11.0
598,321.0,20.0
599,501.0,46.0
600,243.0,23.0
601,157.0,17.0
602,38.0,4.0
603,148.0,14.0
604,265.0,20.0
605,304.0,12.0
606,268.0,22.0
607,290.0,22.0
608,165.0,19.0
609,240.0,22.0
610,217.0,16.0
611,248.0,23.0
612,246.0,23.0
613,223.0,23.0
614,108.0,16.0
615,243.0,23.0
616,244.0,22.0
