episode,length,reward
1,59.0,4.0
2,17.0,2.0
3,17.0,2.0
4,17.0,2.0
5,17.0,1.0
6,27.0,2.0
7,67.0,5.0
8,28.0,1.0
9,17.0,0.0
10,28.0,2.0
11,98.0,7.0
12,66.0,4.0
13,17.0,1.0
14,56.0,1.0
15,17.0,2.0
16,17.0,2.0
17,265.0,22.0
18,37.0,5.0
19,27.0,1.0
20,28.0,3.0
21,138.0,7.0
22,47.0,6.0
23,27.0,1.0
24,66.0,1.0
25,67.0,5.0
26,37.0,6.0
27,46.0,5.0
28,27.0,3.0
29,27.0,3.0
30,37.0,4.0
31,115.0,3.0
32,47.0,4.0
33,17.0,0.0
34,17.0,1.0
35,57.0,1.0
36,126.0,14.0
37,28.0,3.0
38,106.0,7.0
39,57.0,4.0
40,17.0,2.0
41,38.0,3.0
42,58.0,6.0
43,37.0,3.0
44,136.0,4.0
45,38.0,6.0
46,283.0,20.0
47,118.0,13.0
48,47.0,4.0
49,17.0,2.0
50,56.0,1.0
51,17.0,2.0
52,47.0,5.0
53,47.0,3.0
54,27.0,4.0
55,57.0,6.0
56,66.0,2.0
57,76.0,7.0
58,17.0,2.0
59,98.0,5.0
60,17.0,2.0
61,57.0,7.0
62,17.0,1.0
63,68.0,3.0
64,37.0,5.0
65,17.0,1.0
66,27.0,4.0
67,47.0,7.0
68,17.0,2.0
69,27.0,4.0
70,27.0,3.0
71,27.0,0.0
72,46.0,3.0
73,98.0,10.0
74,37.0,3.0
75,27.0,3.0
76,47.0,6.0
77,38.0,5.0
78,17.0,2.0
79,37.0,3.0
80,37.0,3.0
81,17.0,1.0
82,116.0,11.0
83,38.0,4.0
84,58.0,5.0
85,17.0,2.0
86,27.0,2.0
87,38.0,3.0
88,47.0,4.0
89,38.0,3.0
90,77.0,6.0
91,17.0,3.0
92,48.0,5.0
93,38.0,4.0
94,66.0,6.0
95,47.0,4.0
96,38.0,2.0
97,17.0,2.0
98,186.0,14.0
99,37.0,2.0
100,27.0,1.0
101,66.0,4.0
102,57.0,6.0
103,67.0,8.0
104,46.0,3.0
105,46.0,5.0
106,18.0,2.0
107,38.0,3.0
108,98.0,11.0
109,165.0,6.0
110,57.0,5.0
111,77.0,8.0
112,76.0,1.0
113,57.0,7.0
114,28.0,2.0
115,27.0,2.0
116,39.0,4.0
117,66.0,5.0
118,66.0,7.0
119,38.0,4.0
120,17.0,2.0
121,156.0,18.0
122,67.0,10.0
123,37.0,4.0
124,118.0,8.0
125,66.0,2.0
126,17.0,1.0
127,56.0,4.0
128,27.0,3.0
129,138.0,13.0
130,78.0,10.0
131,76.0,7.0
132,47.0,5.0
133,76.0,10.0
134,27.0,2.0
135,86.0,3.0
136,27.0,3.0
137,67.0,8.0
138,155.0,10.0
139,47.0,7.0
140,27.0,3.0
141,46.0,5.0
142,17.0,3.0
143,46.0,4.0
144,137.0,16.0
145,125.0,5.0
146,18.0,2.0
147,47.0,6.0
148,46.0,6.0
149,66.0,2.0
150,27.0,3.0
151,205.0,16.0
152,17.0,2.0
153,37.0,6.0
154,28.0,3.0
155,17.0,2.0
156,28.0,3.0
157,28.0,4.0
158,17.0,1.0
159,17.0,2.0
160,146.0,11.0
161,17.0,2.0
162,18.0,2.0
163,165.0,13.0
164,48.0,4.0
165,37.0,3.0
166,167.0,14.0
167,17.0,2.0
168,18.0,2.0
169,97.0,7.0
170,17.0,2.0
171,17.0,2.0
172,96.0,6.0
173,137.0,13.0
174,27.0,3.0
175,38.0,5.0
176,66.0,10.0
177,18.0,3.0
178,17.0,2.0
179,283.0,14.0
180,126.0,12.0
181,67.0,4.0
182,18.0,2.0
