episode,length,reward
1,17.0,2.0
2,47.0,3.0
3,37.0,5.0
4,17.0,1.0
5,28.0,2.0
6,135.0,8.0
7,37.0,4.0
8,56.0,4.0
9,18.0,2.0
10,97.0,4.0
11,18.0,1.0
12,27.0,3.0
13,18.0,2.0
14,67.0,6.0
15,17.0,2.0
16,67.0,4.0
17,57.0,4.0
18,58.0,6.0
19,108.0,12.0
20,38.0,5.0
21,37.0,1.0
22,56.0,1.0
23,46.0,3.0
24,27.0,4.0
25,17.0,1.0
26,47.0,5.0
27,18.0,2.0
28,105.0,4.0
29,37.0,5.0
30,46.0,3.0
31,58.0,4.0
32,27.0,3.0
33,77.0,6.0
34,17.0,2.0
35,17.0,2.0
36,17.0,2.0
37,27.0,2.0
38,17.0,1.0
39,17.0,2.0
40,27.0,1.0
41,38.0,2.0
42,17.0,2.0
43,27.0,2.0
44,27.0,1.0
45,99.0,11.0
46,195.0,14.0
47,37.0,4.0
48,17.0,1.0
49,17.0,2.0
50,77.0,9.0
51,46.0,4.0
52,17.0,2.0
53,233.0,11.0
54,135.0,8.0
55,135.0,11.0
56,48.0,7.0
57,157.0,12.0
58,37.0,3.0
59,56.0,5.0
60,56.0,7.0
61,46.0,4.0
62,59.0,5.0
63,37.0,4.0
64,37.0,4.0
65,27.0,3.0
66,125.0,10.0
67,37.0,4.0
68,27.0,2.0
69,37.0,4.0
70,18.0,2.0
71,46.0,1.0
72,56.0,7.0
73,38.0,3.0
74,18.0,1.0
75,27.0,4.0
76,352.0,22.0
77,47.0,4.0
78,46.0,3.0
79,47.0,7.0
80,156.0,9.0
81,28.0,3.0
82,17.0,2.0
83,38.0,4.0
84,27.0,2.0
85,136.0,12.0
86,38.0,4.0
87,18.0,2.0
88,37.0,4.0
89,86.0,8.0
90,18.0,2.0
91,27.0,3.0
92,17.0,2.0
93,105.0,5.0
94,47.0,5.0
95,105.0,8.0
96,145.0,6.0
97,76.0,2.0
98,264.0,17.0
99,146.0,12.0
100,38.0,3.0
101,28.0,3.0
102,116.0,8.0
103,87.0,7.0
104,37.0,4.0
105,76.0,6.0
106,28.0,3.0
107,37.0,3.0
108,89.0,11.0
109,126.0,13.0
110,18.0,2.0
111,46.0,7.0
112,48.0,7.0
113,28.0,3.0
114,57.0,6.0
115,48.0,8.0
116,37.0,5.0
117,27.0,3.0
118,96.0,8.0
119,17.0,1.0
120,17.0,2.0
121,195.0,15.0
122,106.0,10.0
123,27.0,1.0
124,27.0,2.0
125,17.0,1.0
126,58.0,9.0
127,66.0,5.0
128,243.0,14.0
129,17.0,0.0
130,27.0,4.0
131,27.0,1.0
132,17.0,2.0
133,47.0,4.0
134,37.0,3.0
135,56.0,7.0
136,37.0,5.0
137,57.0,6.0
138,166.0,11.0
139,27.0,4.0
140,117.0,8.0
141,40.0,4.0
142,57.0,7.0
143,29.0,3.0
144,59.0,7.0
145,46.0,5.0
146,17.0,2.0
147,39.0,6.0
148,68.0,11.0
149,17.0,1.0
150,37.0,4.0
151,37.0,5.0
152,98.0,14.0
153,57.0,6.0
154,38.0,5.0
155,67.0,5.0
156,18.0,3.0
157,146.0,10.0
158,156.0,10.0
159,117.0,9.0
160,17.0,2.0
161,28.0,5.0
162,40.0,6.0
163,106.0,7.0
164,233.0,13.0
165,17.0,1.0
166,86.0,8.0
167,96.0,12.0
168,17.0,2.0
169,126.0,11.0
170,39.0,5.0
171,56.0,4.0
172,243.0,17.0
173,39.0,5.0
174,17.0,3.0
175,46.0,8.0
176,46.0,6.0
177,76.0,9.0
178,48.0,6.0
179,17.0,2.0
180,244.0,13.0
181,99.0,10.0
182,38.0,6.0
183,27.0,3.0
184,27.0,2.0
185,28.0,3.0
186,27.0,2.0
187,28.0,4.0
188,56.0,6.0
189,38.0,6.0
190,27.0,5.0
191,87.0,11.0
192,76.0,8.0
193,156.0,7.0
194,47.0,4.0
195,245.0,18.0
196,126.0,9.0
197,17.0,2.0
198,76.0,3.0
199,106.0,9.0
200,136.0,12.0
201,46.0,1.0
202,46.0,8.0
203,77.0,9.0
204,17.0,2.0
205,48.0,7.0
206,167.0,14.0
207,18.0,2.0
208,68.0,5.0
209,37.0,5.0
210,17.0,2.0
211,116.0,8.0
212,66.0,6.0
213,97.0,6.0
214,37.0,5.0
215,27.0,5.0
216,17.0,2.0
217,126.0,5.0
218,224.0,10.0
219,27.0,4.0
220,76.0,8.0
221,156.0,12.0
222,106.0,12.0
223,46.0,6.0
224,137.0,9.0
225,47.0,8.0
226,18.0,3.0
227,37.0,5.0
228,17.0,3.0
229,27.0,4.0
230,58.0,7.0
231,49.0,9.0
232,164.0,10.0
233,256.0,18.0
234,17.0,3.0
235,68.0,9.0
236,96.0,8.0
237,38.0,5.0
238,147.0,14.0
239,76.0,9.0
240,27.0,4.0
241,117.0,9.0
242,245.0,12.0
243,148.0,8.0
244,117.0,8.0
245,116.0,11.0
246,87.0,9.0
247,37.0,6.0
248,48.0,7.0
249,47.0,7.0
250,27.0,4.0
251,47.0,6.0
252,37.0,6.0
253,37.0,4.0
254,46.0,5.0
255,48.0,6.0
256,165.0,10.0
257,78.0,6.0
258,155.0,9.0
259,37.0,6.0
260,57.0,7.0
261,257.0,23.0
262,126.0,12.0
263,58.0,8.0
264,47.0,4.0
265,38.0,6.0
266,335.0,18.0
267,86.0,7.0
268,86.0,10.0
269,18.0,3.0
270,46.0,3.0
271,135.0,3.0
272,166.0,14.0
273,59.0,9.0
274,138.0,17.0
275,37.0,6.0
276,117.0,13.0
277,96.0,8.0
278,253.0,18.0
279,37.0,5.0
280,37.0,6.0
281,98.0,10.0
282,38.0,5.0
283,97.0,11.0
284,136.0,13.0
285,263.0,22.0
286,146.0,13.0
287,27.0,4.0
288,215.0,12.0
289,57.0,9.0
290,48.0,8.0
291,156.0,10.0
292,37.0,4.0
293,97.0,7.0
294,27.0,4.0
295,37.0,7.0
296,27.0,4.0
297,37.0,7.0
298,166.0,11.0
299,39.0,6.0
300,96.0,8.0
301,253.0,9.0
302,197.0,17.0
303,49.0,7.0
304,47.0,7.0
305,86.0,5.0
306,138.0,15.0
307,57.0,8.0
308,46.0,7.0
309,37.0,6.0
310,79.0,12.0
311,77.0,12.0
312,196.0,7.0
313,86.0,14.0
314,177.0,14.0
315,225.0,20.0
316,234.0,16.0
317,216.0,21.0
318,58.0,10.0
319,86.0,9.0
320,67.0,10.0
321,67.0,10.0
322,264.0,20.0
323,97.0,8.0
324,27.0,4.0
325,27.0,4.0
326,214.0,16.0
327,174.0,7.0
328,126.0,18.0
329,87.0,15.0
330,116.0,11.0
331,135.0,10.0
332,166.0,19.0
333,57.0,8.0
334,274.0,12.0
335,225.0,17.0
336,146.0,11.0
337,158.0,13.0
338,117.0,11.0
339,136.0,12.0
340,27.0,4.0
341,322.0,18.0
342,47.0,8.0
343,37.0,7.0
344,242.0,20.0
345,46.0,8.0
346,353.0,19.0
347,303.0,19.0
348,274.0,17.0
349,157.0,13.0
350,303.0,11.0
351,126.0,16.0
352,444.0,17.0
353,383.0,16.0
354,76.0,9.0
355,97.0,13.0
356,264.0,11.0
357,187.0,12.0
358,67.0,9.0
359,293.0,17.0
