episode,length,reward
1,5000.0,11.0
2,78.0,4.0
3,106.0,4.0
4,57.0,7.0
5,57.0,2.0
6,46.0,4.0
7,37.0,3.0
8,234.0,17.0
9,17.0,1.0
10,17.0,2.0
11,115.0,12.0
12,37.0,0.0
13,17.0,2.0
14,135.0,14.0
15,17.0,1.0
16,96.0,4.0
17,98.0,10.0
18,38.0,3.0
19,78.0,6.0
20,17.0,2.0
21,17.0,1.0
22,38.0,2.0
23,27.0,3.0
24,17.0,1.0
25,17.0,1.0
26,47.0,4.0
27,17.0,1.0
28,37.0,4.0
29,38.0,4.0
30,38.0,6.0
31,76.0,7.0
32,56.0,1.0
33,38.0,5.0
34,47.0,4.0
35,46.0,5.0
36,17.0,1.0
37,27.0,1.0
38,40.0,4.0
39,17.0,0.0
40,37.0,3.0
41,46.0,7.0
42,99.0,9.0
43,66.0,1.0
44,164.0,13.0
45,66.0,1.0
46,87.0,9.0
47,17.0,2.0
48,27.0,3.0
49,37.0,5.0
50,67.0,8.0
51,27.0,2.0
52,147.0,10.0
53,67.0,1.0
54,27.0,3.0
55,87.0,8.0
56,27.0,3.0
57,17.0,2.0
58,18.0,2.0
59,17.0,1.0
60,66.0,4.0
61,27.0,4.0
62,66.0,7.0
63,28.0,1.0
64,96.0,5.0
65,46.0,4.0
66,99.0,13.0
67,17.0,1.0
68,78.0,9.0
69,37.0,5.0
70,46.0,3.0
71,37.0,6.0
72,67.0,5.0
73,17.0,1.0
74,115.0,6.0
75,47.0,5.0
76,18.0,2.0
77,38.0,4.0
78,28.0,2.0
79,137.0,7.0
80,46.0,3.0
81,17.0,0.0
82,76.0,1.0
83,174.0,10.0
84,56.0,5.0
85,17.0,1.0
86,106.0,10.0
87,37.0,5.0
88,96.0,10.0
89,66.0,1.0
90,47.0,7.0
91,18.0,2.0
92,145.0,5.0
93,176.0,9.0
94,107.0,4.0
95,18.0,2.0
96,67.0,3.0
97,17.0,3.0
98,66.0,4.0
99,17.0,2.0
100,67.0,6.0
101,135.0,5.0
102,115.0,4.0
103,27.0,4.0
104,27.0,1.0
105,68.0,8.0
106,17.0,2.0
107,58.0,2.0
108,17.0,2.0
109,116.0,10.0
110,77.0,3.0
111,59.0,8.0
112,76.0,6.0
113,46.0,5.0
114,27.0,3.0
115,17.0,2.0
116,27.0,1.0
117,38.0,5.0
118,27.0,2.0
119,38.0,6.0
120,28.0,3.0
121,27.0,1.0
122,66.0,2.0
123,87.0,6.0
124,27.0,2.0
125,147.0,13.0
