episode,length,reward
1,5000.0,2.0
2,77.0,2.0
3,88.0,8.0
4,17.0,2.0
5,125.0,6.0
6,28.0,2.0
7,37.0,1.0
8,56.0,2.0
9,17.0,1.0
10,117.0,10.0
11,66.0,5.0
12,37.0,2.0
13,37.0,4.0
14,217.0,12.0
15,125.0,16.0
16,56.0,1.0
17,76.0,4.0
18,136.0,7.0
19,69.0,10.0
20,37.0,4.0
21,46.0,4.0
22,27.0,3.0
23,78.0,8.0
24,28.0,2.0
25,86.0,5.0
26,194.0,11.0
27,38.0,4.0
28,27.0,4.0
29,57.0,2.0
30,67.0,4.0
31,106.0,9.0
32,27.0,2.0
33,115.0,10.0
34,38.0,5.0
35,37.0,5.0
36,135.0,11.0
37,37.0,4.0
38,18.0,1.0
39,27.0,4.0
40,27.0,2.0
41,17.0,0.0
42,97.0,6.0
43,56.0,4.0
44,87.0,3.0
45,27.0,3.0
46,56.0,1.0
47,17.0,2.0
48,27.0,1.0
49,37.0,6.0
50,27.0,3.0
51,106.0,6.0
52,17.0,1.0
53,56.0,7.0
54,18.0,2.0
55,27.0,3.0
56,77.0,6.0
57,18.0,2.0
58,86.0,7.0
59,58.0,4.0
60,28.0,4.0
61,29.0,4.0
62,37.0,5.0
63,46.0,3.0
64,37.0,5.0
65,18.0,3.0
66,126.0,9.0
67,27.0,2.0
68,27.0,3.0
69,115.0,9.0
70,37.0,6.0
71,17.0,2.0
72,66.0,2.0
73,27.0,1.0
74,18.0,2.0
75,37.0,3.0
76,27.0,4.0
77,46.0,3.0
78,125.0,5.0
79,27.0,4.0
80,37.0,5.0
81,17.0,2.0
82,68.0,7.0
83,17.0,1.0
84,17.0,2.0
85,58.0,8.0
86,17.0,1.0
87,76.0,6.0
88,86.0,4.0
89,37.0,5.0
90,28.0,3.0
91,37.0,6.0
92,28.0,4.0
93,18.0,2.0
94,57.0,7.0
95,27.0,1.0
96,27.0,4.0
97,28.0,1.0
98,18.0,2.0
99,333.0,22.0
100,66.0,8.0
101,17.0,3.0
102,46.0,4.0
103,28.0,3.0
104,17.0,2.0
105,68.0,5.0
106,28.0,2.0
107,157.0,10.0
108,17.0,2.0
109,27.0,4.0
110,18.0,1.0
111,38.0,5.0
112,39.0,5.0
113,38.0,1.0
114,28.0,4.0
115,17.0,2.0
116,108.0,7.0
117,38.0,6.0
118,147.0,12.0
119,58.0,6.0
120,39.0,4.0
121,17.0,1.0
122,28.0,4.0
123,105.0,9.0
124,86.0,5.0
125,18.0,1.0
126,76.0,11.0
127,37.0,3.0
128,68.0,9.0
129,46.0,7.0
130,77.0,9.0
131,97.0,5.0
132,17.0,3.0
133,17.0,2.0
134,18.0,2.0
135,165.0,12.0
136,86.0,2.0
137,86.0,1.0
138,46.0,6.0
139,18.0,3.0
140,37.0,6.0
141,47.0,4.0
142,27.0,4.0
143,37.0,6.0
144,17.0,1.0
145,77.0,3.0
146,48.0,7.0
147,68.0,11.0
148,125.0,7.0
149,27.0,3.0
150,37.0,4.0
151,135.0,4.0
152,17.0,1.0
153,17.0,3.0
154,56.0,3.0
155,17.0,2.0
156,58.0,9.0
157,17.0,2.0
158,27.0,4.0
159,99.0,10.0
160,87.0,12.0
161,28.0,3.0
162,98.0,12.0
163,17.0,2.0
164,28.0,2.0
165,186.0,11.0
166,28.0,3.0
167,56.0,8.0
168,58.0,8.0
169,18.0,3.0
170,38.0,4.0
171,27.0,4.0
172,17.0,2.0
173,77.0,7.0
174,17.0,2.0
175,87.0,3.0
176,67.0,5.0
177,38.0,6.0
178,37.0,6.0
179,38.0,4.0
180,38.0,5.0
181,28.0,4.0
182,27.0,3.0
183,17.0,2.0
184,225.0,12.0
185,57.0,9.0
186,67.0,7.0
187,27.0,2.0
188,17.0,2.0
189,37.0,5.0
190,27.0,3.0
191,48.0,7.0
192,66.0,6.0
193,17.0,2.0
194,38.0,6.0
195,78.0,5.0
196,17.0,2.0
197,17.0,1.0
198,17.0,2.0
199,47.0,4.0
200,117.0,8.0
201,27.0,2.0
202,66.0,10.0
203,46.0,4.0
204,38.0,6.0
205,77.0,6.0
206,185.0,14.0
207,66.0,10.0
208,106.0,13.0
209,38.0,6.0
210,18.0,2.0
211,46.0,1.0
212,86.0,12.0
213,48.0,8.0
214,28.0,5.0
215,76.0,3.0
216,86.0,12.0
217,27.0,3.0
218,18.0,2.0
219,17.0,2.0
220,37.0,6.0
221,87.0,8.0
222,206.0,20.0
223,38.0,4.0
224,38.0,6.0
225,106.0,5.0
226,48.0,7.0
