episode,length,reward
1,5000.0,3.0
2,87.0,6.0
3,28.0,2.0
4,28.0,2.0
5,17.0,0.0
6,46.0,0.0
7,67.0,1.0
8,27.0,3.0
9,27.0,2.0
10,28.0,4.0
11,37.0,2.0
12,78.0,3.0
13,37.0,3.0
14,67.0,5.0
15,98.0,4.0
16,76.0,0.0
17,66.0,5.0
18,106.0,6.0
19,105.0,8.0
20,46.0,3.0
21,68.0,4.0
22,37.0,2.0
23,105.0,7.0
24,116.0,8.0
25,47.0,6.0
26,17.0,2.0
27,17.0,1.0
28,27.0,4.0
29,145.0,9.0
30,96.0,5.0
31,148.0,8.0
32,117.0,8.0
33,67.0,4.0
34,68.0,5.0
35,27.0,2.0
36,96.0,3.0
37,17.0,1.0
38,87.0,9.0
39,17.0,1.0
40,67.0,2.0
41,38.0,5.0
42,28.0,3.0
43,17.0,2.0
44,17.0,2.0
45,27.0,4.0
46,136.0,11.0
47,57.0,9.0
48,17.0,1.0
49,46.0,1.0
50,56.0,3.0
51,96.0,4.0
52,46.0,6.0
53,28.0,2.0
54,17.0,2.0
55,136.0,11.0
56,17.0,0.0
57,38.0,3.0
58,18.0,2.0
59,17.0,1.0
60,38.0,4.0
61,47.0,4.0
62,96.0,2.0
63,17.0,1.0
64,47.0,4.0
65,127.0,12.0
66,165.0,4.0
67,56.0,3.0
68,77.0,6.0
69,76.0,5.0
70,125.0,3.0
71,97.0,7.0
72,27.0,2.0
73,46.0,5.0
74,17.0,2.0
75,57.0,5.0
76,47.0,2.0
77,17.0,1.0
78,17.0,3.0
79,17.0,2.0
80,86.0,5.0
81,57.0,2.0
82,49.0,4.0
83,28.0,3.0
84,57.0,2.0
85,46.0,2.0
86,17.0,2.0
87,37.0,1.0
88,17.0,0.0
89,66.0,5.0
90,97.0,8.0
91,27.0,2.0
92,89.0,10.0
93,86.0,2.0
94,56.0,3.0
95,66.0,5.0
96,47.0,3.0
97,46.0,5.0
98,37.0,3.0
99,66.0,2.0
100,29.0,3.0
101,47.0,3.0
102,47.0,1.0
103,27.0,1.0
104,46.0,4.0
105,27.0,2.0
106,48.0,6.0
107,29.0,4.0
108,88.0,7.0
109,56.0,8.0
110,46.0,4.0
111,157.0,8.0
112,76.0,1.0
113,27.0,2.0
114,38.0,4.0
115,28.0,2.0
116,18.0,2.0
117,39.0,5.0
118,97.0,7.0
119,37.0,5.0
120,86.0,6.0
121,17.0,2.0
122,157.0,9.0
123,17.0,0.0
124,77.0,5.0
125,105.0,7.0
126,57.0,5.0
