episode,length,reward
1,5000.0,2.0
2,57.0,4.0
3,37.0,4.0
4,27.0,2.0
5,125.0,7.0
6,17.0,1.0
7,37.0,1.0
8,18.0,3.0
9,86.0,5.0
10,37.0,1.0
11,17.0,1.0
12,17.0,2.0
13,40.0,5.0
14,37.0,3.0
15,18.0,2.0
16,28.0,3.0
17,27.0,1.0
18,76.0,3.0
19,17.0,1.0
20,18.0,2.0
21,47.0,2.0
22,126.0,4.0
23,87.0,4.0
24,87.0,4.0
25,76.0,2.0
26,18.0,2.0
27,47.0,5.0
28,37.0,2.0
29,38.0,5.0
30,66.0,7.0
31,17.0,1.0
32,185.0,11.0
33,17.0,2.0
34,18.0,1.0
35,46.0,3.0
36,27.0,2.0
37,117.0,13.0
38,28.0,3.0
39,66.0,5.0
40,27.0,2.0
41,37.0,4.0
42,28.0,2.0
43,17.0,2.0
44,156.0,11.0
45,125.0,7.0
46,57.0,3.0
47,107.0,10.0
48,27.0,3.0
49,27.0,3.0
50,116.0,6.0
51,38.0,4.0
52,145.0,10.0
53,125.0,10.0
54,17.0,3.0
55,136.0,13.0
56,214.0,16.0
57,96.0,5.0
58,17.0,3.0
59,57.0,7.0
60,27.0,0.0
61,46.0,6.0
62,57.0,7.0
63,27.0,1.0
64,39.0,4.0
65,37.0,5.0
66,147.0,8.0
67,17.0,1.0
68,27.0,4.0
69,17.0,1.0
70,86.0,7.0
71,17.0,2.0
72,56.0,0.0
73,38.0,4.0
74,57.0,3.0
75,96.0,5.0
76,233.0,14.0
77,97.0,6.0
78,184.0,12.0
79,37.0,4.0
80,87.0,4.0
81,174.0,7.0
82,115.0,4.0
83,108.0,10.0
84,17.0,2.0
85,18.0,3.0
86,106.0,5.0
87,46.0,5.0
88,47.0,6.0
89,57.0,2.0
90,28.0,3.0
91,135.0,5.0
92,37.0,6.0
93,28.0,4.0
94,29.0,4.0
95,56.0,5.0
96,38.0,5.0
97,76.0,1.0
98,68.0,7.0
99,37.0,1.0
100,97.0,7.0
101,29.0,4.0
102,18.0,2.0
103,177.0,11.0
104,76.0,10.0
105,17.0,2.0
106,27.0,4.0
107,17.0,1.0
108,66.0,0.0
109,37.0,1.0
110,156.0,10.0
111,28.0,3.0
112,17.0,2.0
113,39.0,4.0
114,17.0,2.0
115,46.0,1.0
116,18.0,2.0
117,37.0,1.0
118,147.0,11.0
119,302.0,14.0
120,76.0,5.0
121,76.0,5.0
122,88.0,8.0
123,46.0,5.0
124,17.0,1.0
125,66.0,7.0
126,17.0,2.0
127,27.0,1.0
128,66.0,6.0
129,167.0,15.0
130,47.0,5.0
131,37.0,3.0
132,17.0,3.0
133,157.0,8.0
134,27.0,0.0
135,68.0,3.0
136,46.0,6.0
137,56.0,5.0
138,97.0,10.0
139,116.0,6.0
140,27.0,3.0
141,17.0,3.0
142,234.0,13.0
143,46.0,1.0
144,57.0,5.0
145,17.0,2.0
146,47.0,4.0
147,28.0,4.0
148,37.0,5.0
149,37.0,7.0
150,135.0,9.0
151,17.0,2.0
152,28.0,4.0
153,117.0,9.0
154,87.0,8.0
155,56.0,4.0
156,37.0,3.0
157,244.0,13.0
158,76.0,5.0
159,76.0,4.0
160,138.0,15.0
161,206.0,8.0
162,47.0,5.0
163,87.0,10.0
164,27.0,4.0
165,18.0,2.0
166,46.0,5.0
167,27.0,3.0
168,47.0,6.0
169,27.0,3.0
170,96.0,7.0
171,47.0,3.0
172,49.0,7.0
173,27.0,3.0
174,38.0,5.0
175,38.0,5.0
176,46.0,4.0
177,58.0,7.0
178,27.0,4.0
179,48.0,6.0
180,17.0,2.0
181,97.0,6.0
182,17.0,1.0
183,115.0,5.0
184,17.0,2.0
185,39.0,6.0
186,56.0,8.0
187,125.0,10.0
188,27.0,4.0
189,174.0,13.0
190,38.0,6.0
191,27.0,4.0
192,39.0,5.0
193,17.0,2.0
194,164.0,7.0
195,59.0,8.0
196,59.0,9.0
197,17.0,1.0
198,96.0,7.0
199,106.0,14.0
200,17.0,2.0
201,56.0,7.0
202,17.0,3.0
203,27.0,4.0
204,56.0,8.0
205,255.0,19.0
206,27.0,3.0
207,29.0,5.0
208,59.0,9.0
209,37.0,6.0
210,37.0,5.0
211,28.0,5.0
212,136.0,16.0
213,67.0,7.0
214,37.0,5.0
215,27.0,4.0
216,27.0,4.0
217,27.0,4.0
218,86.0,12.0
219,127.0,9.0
220,58.0,8.0
221,27.0,3.0
222,27.0,4.0
223,46.0,8.0
224,137.0,15.0
225,47.0,7.0
226,17.0,2.0
227,37.0,5.0
228,37.0,5.0
229,27.0,4.0
230,18.0,3.0
231,37.0,6.0
232,18.0,3.0
233,105.0,9.0
234,17.0,2.0
235,17.0,2.0
236,28.0,4.0
237,47.0,7.0
238,38.0,6.0
239,38.0,6.0
240,108.0,7.0
241,38.0,6.0
242,27.0,4.0
243,38.0,6.0
244,27.0,3.0
245,37.0,6.0
246,125.0,8.0
247,27.0,3.0
248,27.0,4.0
249,68.0,12.0
250,27.0,4.0
251,18.0,3.0
252,17.0,1.0
253,17.0,1.0
254,86.0,9.0
255,145.0,13.0
256,27.0,5.0
257,29.0,5.0
258,17.0,3.0
259,27.0,4.0
260,87.0,10.0
261,27.0,2.0
262,39.0,6.0
263,38.0,6.0
264,27.0,4.0
265,27.0,4.0
266,27.0,4.0
267,27.0,4.0
268,27.0,3.0
269,38.0,5.0
270,27.0,3.0
271,27.0,4.0
272,38.0,5.0
273,18.0,3.0
274,28.0,4.0
275,18.0,3.0
276,18.0,3.0
277,17.0,2.0
278,17.0,3.0
279,17.0,3.0
280,37.0,6.0
281,17.0,2.0
282,27.0,5.0
283,27.0,4.0
284,48.0,7.0
285,18.0,3.0
286,59.0,8.0
287,47.0,8.0
288,17.0,3.0
289,17.0,3.0
290,17.0,3.0
291,88.0,11.0
292,98.0,11.0
293,17.0,2.0
294,17.0,1.0
295,27.0,2.0
296,27.0,3.0
297,37.0,7.0
298,37.0,4.0
299,27.0,4.0
300,28.0,4.0
301,165.0,17.0
302,29.0,4.0
303,39.0,6.0
304,48.0,6.0
305,135.0,7.0
306,27.0,2.0
307,38.0,6.0
308,27.0,2.0
309,66.0,9.0
310,27.0,4.0
311,46.0,8.0
312,28.0,4.0
313,97.0,8.0
314,57.0,8.0
315,58.0,8.0
316,37.0,6.0
317,37.0,7.0
318,37.0,3.0
319,27.0,2.0
320,47.0,7.0
321,27.0,2.0
322,46.0,6.0
323,58.0,6.0
324,38.0,4.0
325,38.0,4.0
326,27.0,4.0
327,29.0,5.0
328,17.0,0.0
329,17.0,1.0
330,17.0,2.0
331,18.0,3.0
332,39.0,3.0
333,17.0,0.0
334,38.0,5.0
335,87.0,9.0
336,27.0,2.0
337,38.0,4.0
338,39.0,4.0
339,37.0,4.0
340,37.0,5.0
341,27.0,2.0
342,46.0,4.0
343,38.0,4.0
344,27.0,5.0
345,27.0,3.0
346,38.0,4.0
347,27.0,5.0
348,27.0,3.0
349,37.0,4.0
350,27.0,2.0
351,27.0,2.0
352,46.0,6.0
353,38.0,4.0
354,27.0,2.0
355,38.0,4.0
356,27.0,2.0
357,27.0,2.0
358,39.0,4.0
359,27.0,2.0
360,47.0,6.0
361,38.0,6.0
362,27.0,5.0
363,27.0,4.0
364,27.0,2.0
365,39.0,4.0
366,157.0,11.0
367,27.0,4.0
368,38.0,4.0
369,98.0,11.0
370,217.0,11.0
371,29.0,5.0
372,27.0,4.0
373,138.0,14.0
374,27.0,2.0
375,27.0,2.0
376,27.0,5.0
377,59.0,9.0
378,38.0,7.0
379,27.0,5.0
380,27.0,2.0
381,27.0,5.0
382,37.0,4.0
383,27.0,2.0
384,28.0,4.0
385,39.0,5.0
386,27.0,2.0
387,27.0,2.0
388,38.0,4.0
389,39.0,4.0
390,27.0,5.0
391,27.0,2.0
392,37.0,5.0
393,38.0,4.0
394,27.0,2.0
395,47.0,6.0
396,27.0,2.0
397,38.0,4.0
398,47.0,7.0
399,56.0,5.0
400,47.0,5.0
401,66.0,4.0
402,68.0,9.0
403,46.0,4.0
404,38.0,4.0
405,77.0,11.0
406,27.0,2.0
407,29.0,5.0
408,27.0,2.0
409,27.0,2.0
410,38.0,5.0
411,146.0,19.0
412,38.0,4.0
413,38.0,6.0
414,27.0,2.0
415,17.0,1.0
416,39.0,5.0
417,27.0,2.0
418,38.0,4.0
419,27.0,2.0
420,254.0,16.0
421,27.0,2.0
422,38.0,4.0
