episode,length,reward
1,5000.0,3.0
2,27.0,2.0
3,27.0,4.0
4,47.0,2.0
5,27.0,3.0
6,118.0,14.0
7,96.0,7.0
8,56.0,1.0
9,128.0,12.0
10,37.0,1.0
11,76.0,7.0
12,56.0,1.0
13,66.0,4.0
14,286.0,15.0
15,66.0,1.0
16,106.0,6.0
17,17.0,2.0
18,117.0,12.0
19,66.0,5.0
20,78.0,9.0
21,38.0,4.0
22,79.0,5.0
23,37.0,3.0
24,17.0,2.0
25,17.0,1.0
26,115.0,4.0
27,135.0,6.0
28,76.0,5.0
29,66.0,5.0
30,47.0,5.0
31,17.0,0.0
32,196.0,13.0
33,17.0,1.0
34,57.0,3.0
35,27.0,2.0
36,27.0,1.0
37,46.0,3.0
38,46.0,5.0
39,27.0,0.0
40,207.0,10.0
41,77.0,6.0
42,205.0,7.0
43,67.0,6.0
44,46.0,3.0
45,27.0,1.0
46,18.0,1.0
47,97.0,4.0
48,37.0,2.0
49,67.0,5.0
50,105.0,6.0
51,99.0,11.0
52,46.0,4.0
53,47.0,4.0
54,67.0,6.0
55,17.0,1.0
56,17.0,1.0
57,46.0,3.0
58,56.0,2.0
59,17.0,1.0
60,17.0,2.0
61,38.0,4.0
62,17.0,2.0
63,67.0,3.0
64,66.0,3.0
65,17.0,1.0
66,17.0,1.0
67,105.0,2.0
68,56.0,1.0
69,115.0,5.0
70,37.0,2.0
71,27.0,0.0
72,66.0,8.0
73,98.0,5.0
74,195.0,12.0
75,39.0,4.0
76,27.0,1.0
77,17.0,1.0
78,47.0,4.0
79,57.0,7.0
80,17.0,2.0
81,17.0,2.0
82,128.0,7.0
83,17.0,2.0
84,17.0,3.0
85,56.0,4.0
86,18.0,1.0
87,106.0,12.0
88,47.0,3.0
89,38.0,2.0
90,66.0,5.0
91,67.0,3.0
92,48.0,7.0
93,37.0,3.0
94,28.0,2.0
95,46.0,6.0
96,66.0,2.0
97,66.0,1.0
98,147.0,6.0
99,106.0,11.0
100,47.0,5.0
101,17.0,2.0
102,17.0,1.0
103,27.0,1.0
104,27.0,4.0
105,97.0,8.0
106,127.0,10.0
107,117.0,6.0
108,27.0,2.0
109,27.0,2.0
110,97.0,4.0
111,27.0,2.0
112,66.0,1.0
113,17.0,2.0
114,27.0,2.0
115,186.0,10.0
116,28.0,2.0
117,28.0,3.0
118,76.0,4.0
119,117.0,6.0
120,17.0,2.0
121,116.0,2.0
122,18.0,1.0
123,66.0,3.0
124,86.0,2.0
125,27.0,3.0
126,18.0,3.0
127,37.0,1.0
128,37.0,5.0
129,215.0,15.0
130,79.0,6.0
131,57.0,6.0
132,67.0,5.0
133,17.0,2.0
134,28.0,2.0
135,56.0,1.0
136,66.0,3.0
137,136.0,7.0
138,17.0,1.0
139,46.0,4.0
140,236.0,16.0
141,56.0,2.0
142,196.0,13.0
143,66.0,5.0
144,39.0,5.0
145,37.0,1.0
146,38.0,5.0
147,125.0,11.0
148,66.0,6.0
149,165.0,11.0
150,28.0,1.0
151,17.0,1.0
152,18.0,2.0
153,96.0,6.0
154,49.0,5.0
155,56.0,4.0
156,18.0,2.0
157,265.0,13.0
158,125.0,7.0
159,18.0,2.0
160,17.0,2.0
161,37.0,5.0
162,56.0,4.0
163,17.0,2.0
164,116.0,14.0
165,17.0,2.0
166,87.0,3.0
167,57.0,5.0
168,96.0,4.0
169,28.0,2.0
170,17.0,1.0
171,17.0,2.0
172,37.0,3.0
173,27.0,4.0
174,46.0,4.0
175,17.0,1.0
176,17.0,1.0
177,76.0,4.0
178,66.0,4.0
179,17.0,2.0
180,27.0,3.0
181,77.0,4.0
182,48.0,8.0
183,17.0,2.0
184,17.0,2.0
185,56.0,1.0
186,79.0,7.0
187,107.0,9.0
188,17.0,2.0
