episode,length,reward
1,5000.0,3.0
2,56.0,2.0
3,39.0,3.0
4,17.0,1.0
5,167.0,13.0
6,77.0,1.0
7,66.0,3.0
8,17.0,2.0
9,17.0,1.0
10,17.0,1.0
11,29.0,4.0
12,128.0,7.0
13,17.0,2.0
14,96.0,6.0
15,66.0,0.0
16,46.0,5.0
17,135.0,7.0
18,28.0,2.0
19,56.0,6.0
20,17.0,1.0
21,17.0,1.0
22,28.0,3.0
23,76.0,2.0
24,37.0,3.0
25,37.0,1.0
26,17.0,1.0
27,47.0,3.0
28,28.0,4.0
29,37.0,3.0
30,17.0,0.0
31,17.0,2.0
32,27.0,3.0
33,37.0,4.0
34,46.0,4.0
35,98.0,5.0
36,17.0,1.0
37,37.0,3.0
38,17.0,1.0
39,27.0,4.0
40,17.0,2.0
41,67.0,1.0
42,88.0,11.0
43,18.0,3.0
44,48.0,4.0
45,216.0,15.0
46,37.0,2.0
47,157.0,15.0
48,27.0,2.0
49,27.0,2.0
50,67.0,8.0
51,57.0,6.0
52,57.0,4.0
53,17.0,0.0
54,17.0,0.0
55,17.0,1.0
56,66.0,2.0
57,17.0,2.0
58,27.0,3.0
59,66.0,0.0
60,78.0,5.0
61,17.0,1.0
62,17.0,0.0
63,27.0,2.0
64,17.0,2.0
65,314.0,16.0
66,48.0,7.0
67,76.0,8.0
68,17.0,1.0
69,86.0,11.0
70,48.0,5.0
71,37.0,5.0
72,137.0,10.0
73,27.0,3.0
74,17.0,1.0
75,27.0,2.0
76,56.0,6.0
77,66.0,1.0
78,68.0,3.0
79,37.0,3.0
80,38.0,5.0
81,27.0,0.0
82,68.0,6.0
83,17.0,2.0
84,17.0,2.0
85,88.0,6.0
86,226.0,20.0
87,28.0,4.0
88,27.0,4.0
89,46.0,5.0
90,38.0,5.0
91,125.0,6.0
92,157.0,14.0
93,66.0,0.0
94,17.0,2.0
95,28.0,3.0
96,57.0,6.0
97,97.0,4.0
98,49.0,4.0
99,28.0,2.0
100,48.0,5.0
101,46.0,1.0
102,78.0,7.0
103,27.0,3.0
104,56.0,4.0
105,17.0,3.0
106,38.0,6.0
107,27.0,2.0
108,58.0,9.0
109,27.0,2.0
110,17.0,2.0
111,66.0,5.0
112,46.0,4.0
113,17.0,2.0
114,87.0,8.0
115,227.0,16.0
116,126.0,6.0
117,17.0,2.0
118,47.0,5.0
119,18.0,2.0
120,127.0,8.0
121,57.0,3.0
122,17.0,2.0
123,37.0,3.0
124,18.0,2.0
125,105.0,10.0
126,97.0,13.0
127,38.0,2.0
128,96.0,9.0
129,76.0,8.0
130,56.0,5.0
131,17.0,0.0
132,157.0,16.0
133,66.0,5.0
134,46.0,3.0
135,37.0,5.0
136,27.0,3.0
137,17.0,2.0
138,38.0,5.0
139,17.0,1.0
140,47.0,6.0
141,17.0,3.0
142,46.0,6.0
143,28.0,2.0
144,47.0,6.0
145,224.0,22.0
146,38.0,5.0
147,158.0,10.0
148,37.0,1.0
149,17.0,3.0
150,87.0,13.0
151,57.0,5.0
152,48.0,6.0
153,18.0,2.0
154,67.0,5.0
155,68.0,8.0
156,17.0,3.0
157,17.0,2.0
158,47.0,3.0
159,17.0,1.0
160,27.0,3.0
161,17.0,2.0
162,37.0,2.0
163,17.0,2.0
164,274.0,9.0
165,17.0,1.0
166,17.0,2.0
167,27.0,2.0
168,57.0,3.0
169,37.0,5.0
170,17.0,2.0
171,46.0,8.0
172,39.0,6.0
173,96.0,7.0
174,165.0,11.0
175,76.0,11.0
176,27.0,0.0
177,17.0,2.0
178,17.0,2.0
179,46.0,4.0
180,27.0,3.0
181,245.0,16.0
182,27.0,3.0
183,66.0,3.0
184,98.0,8.0
185,145.0,11.0
186,17.0,1.0
187,96.0,6.0
188,86.0,3.0
189,38.0,4.0
190,17.0,2.0
191,77.0,11.0
192,17.0,2.0
193,57.0,2.0
194,88.0,4.0
195,39.0,6.0
196,28.0,4.0
197,27.0,0.0
198,39.0,5.0
199,56.0,9.0
200,27.0,2.0
201,37.0,6.0
202,66.0,9.0
203,57.0,8.0
204,28.0,5.0
205,37.0,4.0
206,18.0,3.0
207,27.0,4.0
208,46.0,6.0
209,28.0,4.0
210,27.0,4.0
211,37.0,6.0
212,39.0,4.0
213,27.0,4.0
214,47.0,7.0
215,165.0,14.0
216,37.0,5.0
217,17.0,2.0
218,66.0,11.0
219,27.0,4.0
220,48.0,7.0
221,40.0,5.0
222,38.0,5.0
223,17.0,2.0
224,27.0,4.0
225,66.0,11.0
226,27.0,3.0
227,99.0,6.0
228,46.0,7.0
229,18.0,2.0
230,27.0,3.0
231,67.0,10.0
232,17.0,2.0
233,88.0,10.0
234,27.0,4.0
235,27.0,4.0
236,47.0,7.0
237,27.0,3.0
238,46.0,6.0
239,46.0,7.0
240,77.0,12.0
241,18.0,2.0
242,27.0,1.0
243,27.0,4.0
244,66.0,8.0
245,17.0,2.0
246,17.0,2.0
247,17.0,2.0
248,17.0,2.0
249,17.0,2.0
250,17.0,1.0
251,27.0,4.0
252,46.0,4.0
253,99.0,10.0
254,76.0,7.0
255,39.0,5.0
256,17.0,2.0
257,39.0,6.0
258,27.0,1.0
259,27.0,3.0
260,27.0,4.0
261,57.0,8.0
262,27.0,4.0
263,28.0,4.0
264,27.0,0.0
265,28.0,4.0
266,37.0,5.0
267,66.0,9.0
268,17.0,1.0
269,67.0,10.0
270,48.0,7.0
271,38.0,5.0
272,49.0,8.0
273,46.0,6.0
274,28.0,4.0
275,126.0,14.0
276,38.0,6.0
277,39.0,5.0
278,27.0,1.0
279,28.0,3.0
280,27.0,3.0
281,37.0,5.0
282,38.0,5.0
283,17.0,2.0
284,27.0,3.0
285,37.0,3.0
286,46.0,5.0
287,17.0,2.0
288,206.0,15.0
289,38.0,7.0
290,17.0,1.0
291,66.0,7.0
292,17.0,3.0
293,27.0,3.0
294,37.0,6.0
295,17.0,2.0
296,17.0,1.0
297,37.0,5.0
298,48.0,4.0
299,118.0,11.0
300,17.0,2.0
301,49.0,8.0
302,37.0,5.0
303,47.0,5.0
304,67.0,9.0
305,47.0,1.0
306,79.0,9.0
307,165.0,17.0
