episode,length,reward
1,5000.0,1.0
2,97.0,11.0
3,17.0,0.0
4,76.0,4.0
5,27.0,1.0
6,17.0,1.0
7,58.0,3.0
8,17.0,0.0
9,38.0,5.0
10,126.0,5.0
11,46.0,3.0
12,27.0,1.0
13,78.0,3.0
14,37.0,3.0
15,17.0,1.0
16,17.0,2.0
17,46.0,1.0
18,58.0,6.0
19,97.0,6.0
20,175.0,10.0
21,17.0,1.0
22,17.0,1.0
23,216.0,16.0
24,77.0,2.0
25,56.0,3.0
26,27.0,3.0
27,66.0,1.0
28,195.0,15.0
29,46.0,2.0
30,56.0,4.0
31,39.0,4.0
32,76.0,2.0
33,17.0,0.0
34,87.0,6.0
35,88.0,8.0
36,59.0,6.0
37,27.0,2.0
38,66.0,8.0
39,225.0,14.0
40,46.0,2.0
41,37.0,2.0
42,355.0,17.0
43,86.0,8.0
44,66.0,3.0
45,17.0,2.0
46,17.0,1.0
47,67.0,3.0
48,27.0,1.0
49,17.0,1.0
50,27.0,3.0
51,97.0,8.0
52,47.0,2.0
53,37.0,3.0
54,98.0,9.0
55,136.0,9.0
56,96.0,8.0
57,56.0,6.0
58,105.0,10.0
59,38.0,3.0
60,57.0,7.0
61,17.0,1.0
62,37.0,3.0
63,46.0,1.0
64,136.0,5.0
65,27.0,2.0
66,17.0,2.0
67,17.0,3.0
68,118.0,9.0
69,37.0,1.0
70,125.0,5.0
71,88.0,7.0
72,76.0,2.0
73,37.0,2.0
74,17.0,1.0
75,17.0,2.0
76,127.0,11.0
77,37.0,2.0
78,37.0,2.0
79,187.0,14.0
80,17.0,2.0
81,17.0,2.0
82,57.0,5.0
83,27.0,4.0
84,27.0,2.0
85,17.0,1.0
86,97.0,6.0
87,58.0,7.0
88,17.0,1.0
89,17.0,2.0
90,87.0,5.0
91,48.0,6.0
92,37.0,6.0
93,87.0,4.0
94,27.0,2.0
95,46.0,2.0
96,145.0,13.0
97,135.0,5.0
98,27.0,1.0
99,56.0,5.0
100,46.0,7.0
101,178.0,16.0
102,67.0,8.0
103,117.0,12.0
104,27.0,2.0
105,17.0,1.0
106,87.0,2.0
107,37.0,4.0
108,38.0,6.0
109,69.0,5.0
110,27.0,4.0
111,105.0,6.0
112,67.0,2.0
113,17.0,2.0
114,66.0,0.0
115,56.0,6.0
116,27.0,2.0
117,97.0,5.0
118,27.0,2.0
119,17.0,3.0
120,37.0,6.0
121,27.0,4.0
122,46.0,5.0
123,97.0,4.0
124,146.0,12.0
125,40.0,5.0
126,77.0,9.0
127,147.0,13.0
128,17.0,2.0
129,17.0,2.0
130,66.0,3.0
131,157.0,14.0
132,177.0,19.0
133,18.0,2.0
134,28.0,1.0
135,117.0,10.0
136,17.0,2.0
137,56.0,8.0
138,27.0,4.0
139,29.0,3.0
140,17.0,2.0
141,69.0,10.0
142,145.0,15.0
143,47.0,8.0
144,37.0,5.0
145,158.0,12.0
146,17.0,2.0
147,38.0,5.0
148,46.0,4.0
149,67.0,9.0
150,47.0,6.0
151,135.0,9.0
152,27.0,4.0
153,96.0,4.0
154,40.0,4.0
155,59.0,6.0
156,38.0,4.0
157,37.0,6.0
158,18.0,2.0
159,56.0,0.0
160,148.0,16.0
161,77.0,3.0
162,46.0,7.0
163,115.0,8.0
164,27.0,4.0
165,27.0,3.0
166,18.0,1.0
167,18.0,2.0
168,38.0,3.0
169,17.0,2.0
170,17.0,1.0
171,37.0,5.0
172,177.0,13.0
173,136.0,9.0
174,18.0,2.0
175,37.0,6.0
176,98.0,4.0
177,18.0,2.0
178,57.0,7.0
179,66.0,1.0
180,38.0,4.0
181,68.0,2.0
182,17.0,2.0
183,17.0,2.0
184,17.0,2.0
185,28.0,4.0
186,77.0,2.0
187,27.0,4.0
188,116.0,6.0
189,86.0,5.0
190,37.0,6.0
191,57.0,2.0
192,186.0,17.0
193,106.0,8.0
194,56.0,7.0
195,17.0,2.0
196,18.0,2.0
197,38.0,6.0
198,47.0,5.0
199,66.0,2.0
200,17.0,2.0
201,17.0,2.0
202,145.0,5.0
203,47.0,4.0
204,66.0,0.0
205,47.0,5.0
206,38.0,5.0
207,135.0,9.0
208,18.0,2.0
209,96.0,2.0
210,27.0,3.0
211,87.0,2.0
212,136.0,10.0
213,47.0,6.0
214,17.0,2.0
215,147.0,9.0
216,37.0,5.0
217,38.0,4.0
218,58.0,8.0
219,17.0,2.0
220,105.0,6.0
221,97.0,6.0
222,27.0,2.0
223,17.0,2.0
224,17.0,2.0
225,17.0,3.0
226,67.0,9.0
227,98.0,12.0
228,98.0,9.0
229,17.0,2.0
230,27.0,4.0
231,29.0,5.0
232,276.0,18.0
233,17.0,2.0
234,47.0,4.0
235,105.0,14.0
236,38.0,5.0
237,17.0,2.0
238,37.0,6.0
