episode,length,reward
1,5000.0,5.0
2,37.0,3.0
3,67.0,5.0
4,165.0,5.0
5,37.0,4.0
6,18.0,2.0
7,28.0,4.0
8,27.0,2.0
9,37.0,2.0
10,18.0,2.0
11,86.0,4.0
12,47.0,4.0
13,27.0,1.0
14,27.0,3.0
15,27.0,0.0
16,66.0,2.0
17,115.0,8.0
18,48.0,3.0
19,56.0,3.0
20,157.0,15.0
21,17.0,2.0
22,105.0,3.0
23,115.0,11.0
24,37.0,1.0
25,18.0,2.0
26,66.0,3.0
27,76.0,0.0
28,66.0,2.0
29,17.0,3.0
30,37.0,1.0
31,57.0,5.0
32,28.0,2.0
33,17.0,1.0
34,27.0,3.0
35,46.0,6.0
36,86.0,4.0
37,17.0,2.0
38,115.0,11.0
39,17.0,1.0
40,17.0,2.0
41,185.0,9.0
42,17.0,2.0
43,76.0,5.0
44,48.0,3.0
45,66.0,5.0
46,17.0,1.0
47,27.0,1.0
48,17.0,2.0
49,27.0,1.0
50,39.0,5.0
51,77.0,3.0
52,99.0,12.0
53,17.0,2.0
54,86.0,3.0
55,17.0,1.0
56,86.0,3.0
57,67.0,6.0
58,76.0,3.0
59,28.0,2.0
60,38.0,5.0
61,68.0,7.0
62,118.0,10.0
63,76.0,5.0
64,117.0,5.0
65,67.0,3.0
66,27.0,3.0
67,68.0,7.0
68,138.0,5.0
69,46.0,5.0
70,138.0,10.0
71,106.0,4.0
72,18.0,2.0
73,38.0,4.0
74,17.0,3.0
75,86.0,3.0
76,67.0,8.0
77,67.0,5.0
78,17.0,2.0
79,56.0,5.0
80,38.0,5.0
81,37.0,5.0
82,117.0,12.0
83,56.0,3.0
84,17.0,2.0
85,77.0,10.0
86,125.0,3.0
87,27.0,0.0
88,164.0,13.0
89,56.0,2.0
90,17.0,1.0
91,86.0,9.0
92,66.0,7.0
93,28.0,2.0
94,187.0,11.0
95,76.0,3.0
96,116.0,14.0
97,27.0,2.0
98,86.0,8.0
99,17.0,1.0
100,17.0,1.0
101,37.0,5.0
102,17.0,2.0
103,117.0,9.0
104,57.0,3.0
105,137.0,14.0
106,27.0,3.0
107,17.0,2.0
108,28.0,2.0
109,17.0,1.0
110,205.0,13.0
111,18.0,2.0
112,27.0,4.0
113,29.0,4.0
114,27.0,3.0
115,28.0,5.0
116,17.0,2.0
117,18.0,2.0
118,17.0,1.0
119,57.0,5.0
120,17.0,2.0
121,67.0,2.0
122,28.0,1.0
123,38.0,4.0
124,135.0,16.0
125,69.0,10.0
126,66.0,8.0
127,106.0,6.0
128,17.0,2.0
129,86.0,9.0
130,27.0,4.0
131,136.0,10.0
132,17.0,3.0
133,69.0,8.0
134,28.0,3.0
135,17.0,2.0
136,27.0,5.0
137,37.0,6.0
138,127.0,10.0
139,115.0,4.0
140,105.0,5.0
141,66.0,3.0
142,138.0,11.0
143,27.0,3.0
144,77.0,8.0
145,17.0,2.0
146,87.0,9.0
147,76.0,7.0
148,58.0,7.0
149,17.0,2.0
150,17.0,1.0
151,28.0,3.0
152,58.0,5.0
153,27.0,3.0
154,187.0,17.0
155,17.0,2.0
156,79.0,9.0
157,37.0,4.0
158,17.0,2.0
159,17.0,2.0
160,66.0,9.0
161,17.0,2.0
162,27.0,3.0
163,27.0,4.0
164,87.0,10.0
165,27.0,3.0
166,17.0,2.0
167,17.0,2.0
168,28.0,4.0
169,47.0,7.0
170,76.0,6.0
171,18.0,3.0
172,46.0,6.0
173,98.0,14.0
174,46.0,0.0
175,17.0,2.0
176,17.0,3.0
177,17.0,2.0
178,78.0,8.0
179,47.0,6.0
180,38.0,7.0
181,66.0,5.0
182,38.0,5.0
183,27.0,1.0
184,37.0,2.0
185,38.0,6.0
186,37.0,4.0
187,47.0,5.0
188,47.0,2.0
189,17.0,1.0
190,57.0,5.0
191,77.0,11.0
192,18.0,2.0
193,29.0,4.0
194,126.0,11.0
195,18.0,2.0
196,28.0,4.0
197,116.0,9.0
198,59.0,10.0
199,47.0,6.0
200,56.0,6.0
201,17.0,0.0
202,38.0,4.0
203,17.0,2.0
204,27.0,2.0
205,17.0,2.0
206,46.0,6.0
207,38.0,6.0
208,115.0,10.0
209,28.0,4.0
210,17.0,2.0
211,28.0,4.0
212,56.0,8.0
213,39.0,6.0
214,46.0,6.0
215,27.0,4.0
216,28.0,1.0
217,17.0,2.0
218,17.0,2.0
219,47.0,6.0
220,86.0,10.0
221,118.0,12.0
222,28.0,1.0
223,37.0,5.0
224,28.0,4.0
225,17.0,2.0
226,128.0,15.0
227,37.0,5.0
228,76.0,6.0
229,17.0,2.0
230,96.0,9.0
231,38.0,5.0
232,66.0,10.0
233,28.0,5.0
234,48.0,6.0
235,17.0,1.0
236,37.0,5.0
237,97.0,13.0
238,37.0,5.0
239,67.0,6.0
240,127.0,12.0
241,127.0,14.0
242,97.0,12.0
243,37.0,4.0
244,17.0,0.0
245,69.0,9.0
246,18.0,2.0
247,37.0,3.0
248,68.0,10.0
249,27.0,3.0
250,48.0,7.0
251,49.0,7.0
252,57.0,8.0
253,47.0,7.0
254,76.0,4.0
255,27.0,4.0
256,56.0,7.0
257,17.0,2.0
258,17.0,2.0
259,48.0,8.0
260,57.0,5.0
261,67.0,9.0
262,27.0,3.0
263,66.0,8.0
264,28.0,5.0
265,46.0,7.0
266,38.0,4.0
267,17.0,2.0
268,58.0,7.0
269,57.0,7.0
270,68.0,9.0
271,97.0,13.0
272,38.0,6.0
273,78.0,9.0
274,38.0,6.0
275,27.0,4.0
276,47.0,8.0
277,17.0,2.0
278,17.0,2.0
279,27.0,4.0
280,27.0,4.0
281,17.0,1.0
282,37.0,5.0
283,69.0,10.0
284,39.0,5.0
285,78.0,9.0
286,17.0,2.0
287,157.0,12.0
288,27.0,4.0
289,28.0,3.0
290,47.0,5.0
291,46.0,3.0
292,28.0,4.0
293,17.0,2.0
294,78.0,9.0
295,56.0,8.0
296,27.0,3.0
297,38.0,5.0
298,17.0,2.0
299,29.0,5.0
300,57.0,7.0
301,39.0,6.0
302,18.0,2.0
303,59.0,8.0
304,46.0,6.0
305,27.0,4.0
306,27.0,4.0
307,17.0,2.0
308,147.0,15.0
309,47.0,8.0
310,17.0,2.0
311,96.0,13.0
312,58.0,8.0
313,17.0,2.0
314,117.0,14.0
315,27.0,4.0
316,67.0,6.0
317,17.0,2.0
318,48.0,8.0
319,17.0,2.0
320,37.0,5.0
321,27.0,4.0
322,69.0,10.0
323,37.0,5.0
324,38.0,6.0
325,96.0,13.0
326,27.0,1.0
327,58.0,6.0
328,17.0,2.0
329,56.0,5.0
330,17.0,2.0
331,76.0,13.0
332,17.0,1.0
333,166.0,21.0
334,28.0,2.0
335,66.0,9.0
336,17.0,2.0
337,48.0,6.0
338,27.0,3.0
339,86.0,10.0
340,18.0,3.0
341,28.0,3.0
342,46.0,7.0
343,27.0,4.0
344,37.0,3.0
345,46.0,8.0
346,46.0,6.0
347,99.0,15.0
348,27.0,3.0
349,37.0,4.0
350,96.0,13.0
351,59.0,8.0
352,17.0,1.0
353,37.0,5.0
354,47.0,7.0
355,37.0,6.0
356,27.0,3.0
357,27.0,3.0
358,37.0,4.0
359,56.0,9.0
360,18.0,2.0
361,148.0,18.0
362,57.0,8.0
363,17.0,2.0
364,49.0,8.0
365,27.0,2.0
366,17.0,2.0
367,59.0,8.0
368,17.0,2.0
369,17.0,2.0
370,18.0,1.0
371,56.0,9.0
372,17.0,2.0
373,58.0,9.0
374,37.0,6.0
375,58.0,9.0
376,59.0,10.0
377,27.0,4.0
378,69.0,11.0
379,37.0,6.0
380,27.0,2.0
381,216.0,20.0
382,47.0,7.0
383,46.0,6.0
384,87.0,13.0
385,176.0,17.0
386,57.0,10.0
387,18.0,3.0
388,27.0,4.0
389,17.0,2.0
390,17.0,2.0
391,17.0,2.0
392,37.0,4.0
393,219.0,23.0
394,58.0,8.0
395,46.0,3.0
396,97.0,12.0
397,27.0,3.0
398,29.0,4.0
399,28.0,4.0
400,48.0,7.0
401,37.0,3.0
402,79.0,12.0
403,29.0,3.0
404,37.0,5.0
405,27.0,4.0
406,18.0,2.0
407,28.0,3.0
408,48.0,7.0
409,27.0,4.0
410,57.0,9.0
411,18.0,2.0
412,98.0,10.0
413,59.0,9.0
414,89.0,13.0
415,18.0,2.0
416,46.0,8.0
417,89.0,11.0
418,79.0,12.0
419,37.0,5.0
420,76.0,12.0
421,27.0,4.0
422,18.0,3.0
423,88.0,12.0
424,66.0,9.0
425,37.0,6.0
426,17.0,2.0
427,18.0,3.0
428,17.0,2.0
429,145.0,18.0
430,47.0,7.0
431,17.0,2.0
432,39.0,7.0
433,39.0,6.0
434,58.0,10.0
435,136.0,20.0
436,27.0,4.0
437,48.0,8.0
438,17.0,2.0
439,18.0,3.0
440,37.0,5.0
441,47.0,8.0
442,18.0,3.0
443,67.0,10.0
444,67.0,12.0
445,17.0,3.0
446,37.0,6.0
447,128.0,16.0
448,46.0,6.0
449,98.0,14.0
450,48.0,7.0
451,47.0,7.0
452,28.0,3.0
453,67.0,11.0
454,99.0,12.0
455,18.0,3.0
456,37.0,6.0
457,87.0,15.0
458,17.0,2.0
459,46.0,7.0
460,27.0,4.0
461,46.0,8.0
462,79.0,11.0
463,67.0,10.0
464,88.0,13.0
465,27.0,4.0
466,17.0,2.0
467,18.0,3.0
468,28.0,4.0
469,68.0,11.0
470,57.0,8.0
471,18.0,2.0
472,47.0,7.0
473,17.0,3.0
474,28.0,4.0
475,17.0,2.0
476,46.0,8.0
477,38.0,6.0
478,57.0,9.0
479,79.0,12.0
480,96.0,15.0
481,37.0,6.0
482,27.0,3.0
483,77.0,12.0
484,69.0,8.0
485,66.0,9.0
486,27.0,4.0
487,18.0,2.0
488,17.0,2.0
489,47.0,7.0
490,28.0,4.0
491,37.0,6.0
492,17.0,2.0
493,38.0,5.0
494,47.0,8.0
495,88.0,13.0
496,27.0,4.0
497,118.0,16.0
498,126.0,14.0
499,118.0,16.0
500,17.0,2.0
501,17.0,2.0
502,18.0,3.0
503,17.0,2.0
504,76.0,13.0
505,37.0,5.0
506,27.0,4.0
507,59.0,10.0
508,17.0,2.0
509,28.0,4.0
510,68.0,9.0
511,59.0,10.0
512,106.0,15.0
513,17.0,2.0
514,138.0,19.0
515,18.0,3.0
516,79.0,11.0
517,18.0,3.0
518,38.0,7.0
519,56.0,10.0
520,154.0,16.0
521,76.0,12.0
522,38.0,6.0
523,27.0,4.0
524,58.0,9.0
525,56.0,10.0
526,106.0,15.0
527,17.0,2.0
528,27.0,4.0
529,48.0,5.0
530,87.0,13.0
531,38.0,7.0
532,117.0,14.0
533,27.0,3.0
534,27.0,4.0
535,37.0,6.0
536,28.0,4.0
537,39.0,7.0
538,17.0,3.0
539,89.0,15.0
540,18.0,3.0
541,46.0,8.0
542,67.0,12.0
543,99.0,15.0
544,57.0,9.0
545,47.0,7.0
546,66.0,10.0
547,27.0,4.0
548,57.0,9.0
549,27.0,4.0
550,38.0,6.0
551,106.0,15.0
552,98.0,16.0
553,77.0,11.0
554,248.0,22.0
555,46.0,8.0
556,69.0,12.0
557,67.0,11.0
558,107.0,15.0
559,38.0,7.0
560,18.0,2.0
561,89.0,14.0
562,17.0,2.0
563,67.0,12.0
564,37.0,5.0
565,38.0,6.0
566,27.0,4.0
567,17.0,2.0
568,99.0,14.0
569,59.0,9.0
570,69.0,9.0
571,137.0,19.0
572,47.0,8.0
573,17.0,2.0
574,27.0,4.0
575,28.0,4.0
576,88.0,14.0
577,117.0,17.0
578,27.0,3.0
579,27.0,4.0
580,37.0,6.0
581,27.0,5.0
582,118.0,16.0
583,88.0,13.0
584,48.0,8.0
585,89.0,15.0
586,89.0,12.0
587,39.0,6.0
588,87.0,13.0
589,147.0,15.0
590,39.0,7.0
591,17.0,2.0
592,38.0,5.0
593,165.0,20.0
594,97.0,18.0
595,89.0,16.0
596,185.0,20.0
597,97.0,14.0
598,58.0,9.0
599,116.0,16.0
600,39.0,5.0
601,17.0,2.0
602,27.0,4.0
603,18.0,2.0
604,17.0,2.0
605,78.0,14.0
606,57.0,10.0
607,88.0,15.0
608,39.0,7.0
609,27.0,4.0
610,37.0,6.0
611,18.0,2.0
612,107.0,15.0
613,107.0,17.0
614,18.0,3.0
615,47.0,7.0
616,46.0,8.0
617,37.0,6.0
618,96.0,10.0
619,137.0,21.0
620,18.0,3.0
621,47.0,8.0
622,68.0,11.0
623,97.0,14.0
624,69.0,11.0
625,97.0,15.0
626,68.0,11.0
627,39.0,7.0
628,96.0,15.0
629,59.0,10.0
630,28.0,4.0
631,69.0,12.0
632,137.0,19.0
633,88.0,14.0
634,48.0,8.0
635,18.0,3.0
636,46.0,7.0
637,49.0,8.0
638,79.0,13.0
639,106.0,16.0
640,17.0,2.0
641,38.0,6.0
642,48.0,8.0
643,39.0,7.0
644,67.0,11.0
645,89.0,16.0
646,46.0,8.0
647,135.0,21.0
648,66.0,12.0
649,18.0,2.0
650,137.0,17.0
651,145.0,18.0
652,27.0,4.0
653,87.0,12.0
654,157.0,19.0
655,37.0,5.0
656,106.0,17.0
657,39.0,7.0
658,57.0,10.0
659,237.0,23.0
660,38.0,6.0
661,27.0,4.0
662,165.0,20.0
663,156.0,16.0
664,46.0,8.0
665,108.0,17.0
666,68.0,12.0
667,146.0,15.0
668,39.0,7.0
669,47.0,7.0
670,223.0,20.0
671,117.0,18.0
672,175.0,21.0
673,79.0,14.0
674,37.0,5.0
675,47.0,7.0
676,46.0,8.0
677,195.0,20.0
678,47.0,7.0
679,146.0,18.0
680,27.0,4.0
681,38.0,7.0
682,46.0,7.0
683,69.0,12.0
684,136.0,19.0
685,88.0,15.0
686,66.0,12.0
687,67.0,11.0
688,49.0,9.0
689,99.0,17.0
690,99.0,16.0
691,67.0,10.0
692,58.0,9.0
693,79.0,12.0
694,138.0,18.0
695,27.0,4.0
696,97.0,15.0
697,97.0,17.0
698,87.0,16.0
699,69.0,12.0
700,148.0,16.0
701,18.0,3.0
702,67.0,11.0
703,126.0,19.0
704,69.0,12.0
705,166.0,21.0
706,28.0,4.0
707,58.0,9.0
