episode,length,reward
1,5000.0,13.0
2,67.0,3.0
3,28.0,2.0
4,38.0,2.0
5,46.0,3.0
6,125.0,8.0
7,17.0,1.0
8,105.0,3.0
9,38.0,4.0
10,17.0,2.0
11,27.0,2.0
12,47.0,3.0
13,27.0,4.0
14,17.0,0.0
15,39.0,5.0
16,17.0,1.0
17,264.0,18.0
18,27.0,2.0
19,37.0,3.0
20,56.0,5.0
21,46.0,4.0
22,96.0,5.0
23,66.0,5.0
24,17.0,2.0
25,87.0,4.0
26,18.0,1.0
27,38.0,4.0
28,27.0,2.0
29,18.0,2.0
30,46.0,5.0
31,37.0,5.0
32,38.0,6.0
33,17.0,2.0
34,56.0,6.0
35,28.0,2.0
36,136.0,8.0
37,28.0,4.0
38,46.0,2.0
39,96.0,1.0
40,27.0,3.0
41,86.0,6.0
42,56.0,2.0
43,39.0,4.0
44,67.0,2.0
45,27.0,3.0
46,57.0,3.0
47,46.0,4.0
48,46.0,6.0
49,27.0,1.0
50,127.0,4.0
51,48.0,7.0
52,57.0,4.0
53,17.0,2.0
54,98.0,8.0
55,46.0,1.0
56,86.0,7.0
57,17.0,1.0
58,28.0,1.0
59,69.0,8.0
60,46.0,2.0
61,115.0,5.0
62,27.0,0.0
63,87.0,5.0
64,76.0,8.0
65,28.0,4.0
66,27.0,4.0
67,27.0,3.0
68,39.0,4.0
69,58.0,6.0
70,77.0,7.0
71,66.0,1.0
72,27.0,4.0
73,37.0,2.0
74,17.0,2.0
75,17.0,0.0
76,27.0,2.0
77,88.0,4.0
78,17.0,2.0
79,67.0,1.0
80,46.0,1.0
81,57.0,7.0
82,27.0,2.0
83,76.0,7.0
84,46.0,7.0
85,59.0,8.0
86,56.0,5.0
87,17.0,1.0
88,27.0,2.0
89,56.0,0.0
90,125.0,5.0
91,38.0,4.0
92,17.0,1.0
93,27.0,2.0
94,87.0,4.0
95,137.0,8.0
96,27.0,3.0
97,115.0,8.0
98,77.0,4.0
99,17.0,1.0
100,28.0,4.0
101,27.0,1.0
102,17.0,2.0
103,29.0,2.0
104,28.0,3.0
105,47.0,1.0
106,17.0,1.0
107,146.0,16.0
108,88.0,6.0
109,48.0,6.0
110,147.0,13.0
111,27.0,3.0
112,78.0,5.0
113,137.0,7.0
114,27.0,3.0
115,47.0,5.0
116,98.0,10.0
117,37.0,1.0
118,158.0,17.0
119,56.0,1.0
120,67.0,2.0
121,67.0,5.0
122,27.0,3.0
123,157.0,15.0
124,37.0,3.0
125,67.0,4.0
126,66.0,4.0
127,69.0,8.0
128,27.0,1.0
129,47.0,4.0
130,27.0,4.0
131,76.0,2.0
132,17.0,1.0
133,156.0,8.0
134,69.0,8.0
135,17.0,3.0
136,27.0,3.0
137,56.0,5.0
138,78.0,3.0
139,57.0,3.0
140,77.0,6.0
141,47.0,6.0
142,18.0,2.0
143,47.0,6.0
144,17.0,2.0
145,59.0,8.0
146,28.0,2.0
147,28.0,2.0
148,234.0,13.0
149,18.0,2.0
150,77.0,3.0
151,56.0,3.0
152,17.0,2.0
153,234.0,13.0
154,57.0,6.0
155,17.0,3.0
156,127.0,7.0
157,29.0,3.0
158,76.0,5.0
159,27.0,3.0
160,68.0,7.0
161,38.0,5.0
162,77.0,8.0
163,17.0,1.0
164,157.0,13.0
165,46.0,5.0
166,67.0,1.0
167,37.0,3.0
168,27.0,5.0
169,40.0,6.0
170,28.0,2.0
171,17.0,2.0
172,87.0,4.0
173,78.0,8.0
174,17.0,2.0
175,105.0,9.0
176,99.0,5.0
177,17.0,1.0
178,77.0,4.0
179,137.0,9.0
180,56.0,6.0
181,28.0,4.0
182,56.0,4.0
183,135.0,10.0
184,27.0,2.0
185,47.0,5.0
186,17.0,2.0
187,18.0,2.0
188,89.0,5.0
189,38.0,5.0
190,78.0,9.0
191,17.0,1.0
192,27.0,1.0
193,77.0,11.0
194,38.0,6.0
195,28.0,1.0
196,116.0,13.0
197,76.0,4.0
198,17.0,1.0
199,48.0,6.0
200,88.0,5.0
201,97.0,5.0
202,88.0,7.0
203,97.0,13.0
204,37.0,1.0
205,66.0,4.0
206,66.0,3.0
207,17.0,2.0
208,47.0,1.0
209,57.0,3.0
210,66.0,4.0
211,58.0,8.0
212,88.0,6.0
213,27.0,2.0
214,18.0,1.0
215,67.0,9.0
216,252.0,22.0
217,174.0,10.0
218,66.0,9.0
219,27.0,3.0
220,59.0,5.0
221,76.0,4.0
222,37.0,3.0
223,17.0,2.0
224,67.0,3.0
225,17.0,3.0
226,38.0,2.0
227,105.0,9.0
228,17.0,2.0
229,66.0,11.0
230,46.0,4.0
231,17.0,2.0
232,38.0,5.0
233,76.0,8.0
234,47.0,8.0
235,87.0,5.0
236,46.0,5.0
237,17.0,2.0
238,17.0,2.0
239,17.0,2.0
240,18.0,2.0
241,17.0,2.0
242,48.0,5.0
243,79.0,12.0
244,147.0,11.0
245,27.0,4.0
246,17.0,2.0
247,78.0,9.0
248,27.0,4.0
249,28.0,3.0
250,117.0,7.0
251,67.0,4.0
252,57.0,7.0
253,17.0,2.0
