episode,length,reward
1,5000.0,5.0
2,77.0,4.0
3,27.0,2.0
4,17.0,2.0
5,46.0,5.0
6,29.0,4.0
7,27.0,3.0
8,46.0,5.0
9,17.0,1.0
10,28.0,3.0
11,105.0,6.0
12,27.0,3.0
13,87.0,8.0
14,37.0,4.0
15,127.0,12.0
16,17.0,1.0
17,47.0,6.0
18,17.0,3.0
19,17.0,1.0
20,76.0,2.0
21,67.0,2.0
22,166.0,10.0
23,27.0,3.0
24,17.0,1.0
25,27.0,3.0
26,146.0,9.0
27,118.0,5.0
28,125.0,6.0
29,116.0,5.0
30,17.0,3.0
31,136.0,12.0
32,56.0,2.0
33,17.0,2.0
34,27.0,3.0
35,86.0,5.0
36,98.0,9.0
37,37.0,4.0
38,17.0,2.0
39,282.0,19.0
40,17.0,2.0
41,76.0,3.0
42,37.0,5.0
43,27.0,1.0
44,206.0,16.0
45,106.0,7.0
46,17.0,1.0
47,46.0,5.0
48,76.0,2.0
49,17.0,1.0
50,38.0,4.0
51,27.0,1.0
52,47.0,3.0
53,17.0,1.0
54,28.0,2.0
55,76.0,5.0
56,38.0,3.0
57,37.0,5.0
58,56.0,6.0
59,27.0,4.0
60,97.0,4.0
61,56.0,1.0
62,27.0,2.0
63,17.0,0.0
64,17.0,2.0
65,27.0,2.0
66,86.0,5.0
67,56.0,5.0
68,28.0,2.0
69,57.0,3.0
70,17.0,2.0
71,47.0,6.0
72,27.0,2.0
73,56.0,5.0
74,28.0,3.0
75,37.0,4.0
76,46.0,5.0
77,68.0,5.0
78,86.0,7.0
79,177.0,7.0
80,87.0,4.0
81,27.0,4.0
82,47.0,6.0
83,27.0,3.0
84,58.0,7.0
85,98.0,6.0
86,17.0,3.0
87,37.0,4.0
88,38.0,2.0
89,137.0,9.0
90,28.0,2.0
91,37.0,1.0
92,37.0,5.0
93,17.0,1.0
94,17.0,1.0
95,115.0,6.0
96,17.0,2.0
97,48.0,5.0
98,17.0,0.0
99,37.0,2.0
100,117.0,6.0
101,56.0,5.0
102,96.0,2.0
103,57.0,9.0
104,17.0,2.0
105,27.0,2.0
106,28.0,3.0
107,66.0,1.0
108,38.0,4.0
109,136.0,10.0
110,27.0,2.0
111,27.0,4.0
112,96.0,5.0
113,18.0,1.0
114,56.0,7.0
115,28.0,4.0
116,27.0,4.0
117,39.0,3.0
118,97.0,5.0
119,37.0,4.0
120,37.0,2.0
121,27.0,3.0
122,77.0,7.0
123,47.0,5.0
124,37.0,2.0
125,174.0,12.0
126,38.0,3.0
127,17.0,1.0
128,56.0,1.0
129,17.0,0.0
130,155.0,6.0
131,17.0,1.0
132,37.0,1.0
133,155.0,7.0
134,28.0,4.0
135,27.0,2.0
136,116.0,9.0
137,17.0,2.0
138,69.0,6.0
139,47.0,6.0
140,28.0,3.0
141,56.0,5.0
142,37.0,1.0
143,46.0,1.0
144,46.0,3.0
145,46.0,4.0
146,27.0,3.0
147,97.0,2.0
148,17.0,0.0
149,37.0,3.0
150,78.0,5.0
151,17.0,3.0
152,39.0,5.0
153,17.0,2.0
